pmcid,abstract
8883821," 
One important aspect for managing social interactions is the ability to perceive and respond to facial expressions rapidly and accurately. This ability is highly dependent upon intact processing within both cortical and subcortical components of the early visual pathways. Social cognitive deficits, including face emotion recognition (FER) deficits, are characteristic of several neuropsychiatric disorders including schizophrenia (Sz) and autism spectrum disorders (ASD). Here, we investigated potential visual sensory contributions to FER deficits in Sz (  n   = 28, 8/20 female/male; age 21–54 years) and adult ASD (  n   = 20, 4/16 female/male; age 19–43 years) participants compared to neurotypical (  n   = 30, 8/22 female/male; age 19–54 years) controls using task-based fMRI during an implicit static/dynamic FER task. Compared to neurotypical controls, both Sz (  d   = 1.97) and ASD (  d   = 1.13) participants had significantly lower FER scores which interrelated with diminished activation of the superior temporal sulcus (STS). In Sz, STS deficits were predicted by reduced activation of early visual regions (  d   = 0.85,   p   = 0.002) and of the pulvinar nucleus of the thalamus (  d   = 0.44,   p   = 0.042), along with impaired cortico-pulvinar interaction. By contrast, ASD participants showed patterns of increased early visual cortical (  d   = 1.03,   p   = 0.001) and pulvinar (  d   = 0.71,   p   = 0.015) activation. Large effect-size structural and histological abnormalities of pulvinar have previously been documented in Sz. Moreover, we have recently demonstrated impaired pulvinar activation to simple visual stimuli in Sz. Here, we provide the first demonstration of a disease-specific contribution of impaired pulvinar activation to social cognitive impairment in Sz. 
 "
9407088," 
As the brain standard template for medical image registration has only been constructed with an MRI template, there is no three-dimensional fMRI standard template for use, and when the subject’s brain structure is quite different from the standard brain structure, the registration to the standard space will lead to large errors. Registration to an individual space can avoid this problem. However, in the current fMRI registration algorithm based on individual space, the reference image is often selected by researchers or randomly selected fMRI images at a certain time point. This makes the quality of the reference image very dependent on the experience and ability of the researchers and has great contingency. Whether the reference image is appropriate and reasonable affects the rationality and accuracy of the registration results to a great extent. Therefore, a method for constructing a 3D custom fMRI template is proposed. First, the data are preprocessed; second, by taking a group of two-dimensional slices corresponding to the same layer of the brain in three-dimensional fMRI images at multiple time points as image sequences, each group of slice sequences are registered and fused; and finally, a group of fused slices corresponding to different layers of the brain are obtained. In the process of registration, in order to make full use of the correlation information between the sequence data, the feature points of each two slices of adjacent time points in the sequence are matched, and then according to the transformation relationship between the adjacent images, they are recursively forwarded and mapped to the same space. Then, the fused slices are stacked in order to form a three-dimensional customized fMRI template with individual pertinence. Finally, in the classic registration algorithm, the difference in the registration accuracy between using a custom fMRI template and different standard spaces is compared, which proves that using a custom template can improve the registration effect to a certain extent. 
 "
8785614," 
Perinatal stroke affects ∼1 in 1000 births and concomitant cognitive impairments are common but poorly understood. Rates of Attention Deficit/Hyperactivity Disorder (ADHD) are increased 5–10× and executive dysfunction can be disabling. We used diffusion imaging to investigate whether stroke‐related differences in frontal white matter (WM) relate to cognitive impairments. Anterior forceps were isolated using tractography and sampled along the tract. Resulting metrics quantified frontal WM microstructure. Associations between WM metrics and parent ratings of ADHD symptoms (ADHD‐5 rating scale) and executive functioning (Behavior Rating Inventory of Executive Function (BRIEF)) were explored. Eighty‐three children were recruited (arterial ischemic stroke [AIS]   n   = 26; periventricular venous infarction [PVI]   n   = 26; controls   n   = 31). WM metrics were altered for stroke groups compared to controls. Along‐tract analyses showed differences in WM metrics in areas approximating the lesion as well as more remote differences at midline and in the nonlesioned hemisphere. WM metrics correlated with parental ratings of ADHD and executive function such that higher diffusivity values were associated with poorer function. These findings suggest that underlying microstructure of frontal white matter quantified via tractography may provide a relevant biomarker associated with cognition and behavior in children with perinatal stroke. 
  
Perinatal stroke affects ∼1 in 1000 births and concomitant cognitive impairments such as Attention Deficit/Hyperactivity Disorder (ADHD) and executive dysfunction can be disabling. We used diffusion tensor imaging (DTI) to investigate whether stroke‐related differences in frontal white matter (WM) relate to cognitive impairments. WM metrics correlated with parental ratings of ADHD and executive function suggesting that underlying microstructure of frontal white matter quantified via tractography may provide a relevant biomarker associated with cognition and behavior in children with perinatal stroke.
   
 "
9230060," 
Purpose: Violent subjects were demonstrated to exhibit abnormal brain structures; however, the brain changes may be different between criminals committing affective (VA), predatory violence (VP), and non-violence (NV). Therefore, the purpose of this study was to compare the differences in brain structures and psychological characteristics between VA, VP, and NV offenders. Methods: Twenty male criminal subjects (7 VP; 6 VA; and 7 NV) offenders; and twenty age-matched male healthy non-criminals were enrolled in this study. All subjects received psychological assessments as well as magnetic resonance imaging scans of the brain. Analysis of variance (ANOVA) was performed to understand the differences among four groups with Bonferroni correction. The voxel-based morphometry and voxel-wise diffusion tensor imaging analyses were performed to compare the gray matter (GM) volume and white matter (WM) integrity between the groups. In significant regions, a Spearman correlation analysis was performed to understand the relationship between the brain changes and psychological scores. Results: The ANOVA analysis showed that AUDIT scores were significantly different among four groups, but no significant group difference was noted after Bonferroni correction. The imaging comparisons further demonstrated that the VP and NV offenders exhibited significant alterations of WM and GM tissues in the rectus and superior temporal gyrus, respectively. In addition, the VP offenders exhibited greater GM volumes than VA offenders in the right middle frontal gyrus, and NV offenders had greater GM volumes than VP offenders in the bilateral thalamus. Conclusion: We concluded that the VA, VP, and NV groups exhibited different degrees of alterations in GM and WM tissues in regions involved in emotion and cognition. 
 "
9108497," 
Pediatric neuroimaging is a quickly developing field that still faces important methodological challenges. Pediatric images usually have more motion artifact than adult images. The artifact can cause visible errors in brain segmentation, and one way to address it is to manually edit the segmented images. Variability in editing and quality control protocols may complicate comparisons between studies. In this article, we describe in detail the semiautomated segmentation and quality control protocol of structural brain images that was used in FinnBrain Birth Cohort Study and relies on the well-established FreeSurfer v6.0 and ENIGMA (Enhancing Neuro Imaging Genetics through Meta Analysis) consortium tools. The participants were typically developing 5-year-olds [  n   = 134, 5.34 (SD 0.06) years, 62 girls]. Following a dichotomous quality rating scale for inclusion and exclusion of images, we explored the quality on a region of interest level to exclude all regions with major segmentation errors. The effects of manual edits on cortical thickness values were relatively minor: less than 2% in all regions. Supplementary Material cover registration and additional edit options in FreeSurfer and comparison to the computational anatomy toolbox (CAT12). Overall, we conclude that despite minor imperfections FreeSurfer can be reliably used to segment cortical metrics from T1-weighted images of 5-year-old children with appropriate quality assessment in place. However, custom templates may be needed to optimize the results for the subcortical areas. Through visual assessment on a level of individual regions of interest, our semiautomated segmentation protocol is hopefully helpful for investigators working with similar data sets, and for ensuring high quality pediatric neuroimaging data. 
 "
8828908," 
As one of the most studied resting-state functional networks, default mode network (DMN) is related to pathogenesis in neuropsychiatry. However, it is unclear whether changed DMN connectivity is transformed into vulnerability to psychopathology in adults who experienced childhood trauma, and what is the underlying genetic basis. Exploring the effect of DMN on environment-behavior pathway and the related genetic modulation mechanisms could further a better understanding of psychiatric pathogenesis and early prevention strategy. Two hundred and sixteen young adults with varying levels of early trauma indexed by the Childhood Trauma Questionnaire (CTQ) were recruited from the community. Static and dynamic functional connectivity based on DMN seeds and independent component analysis based on whole-brain voxels were combined to explore DMN alterations related to the CTQ score. Relationships between CTQ score, DMN connectivity, and behavioral scores were confirmed by mediation effect analysis. Imaging-genomic correlations were further used to identify risk genes whose expression was associated with the DMN changes. Dysregulated DMN connectivity was found both in seed-level and voxel-level analyses. Moreover, the functional disruption in the left temporal pole, right parahippocampal gyrus, and frontoparietal connectivity mediated the effects of childhood trauma on emotional behavior. The serotonin transporter gene was identified and might suggest the biological underpinning of the relationship between childhood trauma, DMN, and emotion regulation. Changed DMN may be useful as biomarkers to provide a powerful supplement to psychological evaluation related to childhood trauma. Combined with gene expression profiles, our findings advance a more integrative understanding of DMN alterations induced by childhood trauma, and clarify its implications for psychiatric pathogenesis and early prevention strategies. 
 "
8782893," 
Previous cross-sectional work has demonstrated resting-state connectivity abnormalities in children and adolescents with attention/deficit hyperactivity disorder (ADHD) relative to typically developing controls. However, it is unclear to what extent these neural abnormalities confer risk for later symptoms of the disorder, or represent the downstream effects of symptoms on functional connectivity. Here, we studied 167 children and adolescents (mean age at baseline = 10.74 years (SD = 2.54); mean age at follow-up = 13.3 years (SD = 2.48); 56 females) with varying levels of ADHD symptoms, all of whom underwent resting-state functional magnetic resonance imaging and ADHD symptom assessments on two occasions during development. Resting-state functional connectivity was quantified using eigenvector centrality mapping. Using voxelwise cross-lag modeling, we found that less connectivity at baseline within right inferior frontal gyrus was associated with more follow-up symptoms of inattention (significant at an uncorrected cluster-forming threshold of   p   ≤ 0.001 and a cluster-level familywise error corrected threshold of   p   < 0.05). Findings suggest that previously reported cross-sectional abnormalities in functional connectivity within inferior frontal gyrus in patients with ADHD may represent a longitudinal risk factor for the disorder, in line with efforts to target this region with novel therapeutic methods. 
 "
8752963," 
Electrophysiological population signals contain oscillatory and non-oscillatory aperiodic (1/frequency-like) components. So far research has largely focused on oscillatory activity, and only recently, interest in aperiodic population activity has gained momentum. Accordingly, while the cortical correlation structure of oscillatory population activity has been characterized, little is known about the correlation of aperiodic neuronal activity. To address this, we investigated aperiodic neuronal population activity in the human brain using resting-state magnetoencephalography (MEG). We combined source-analysis, signal orthogonalization and irregular-resampling auto-spectral analysis (IRASA) to systematically characterize the cortical distribution and correlation of aperiodic neuronal activity. We found that aperiodic population activity is robustly correlated across the cortex and that this correlation is spatially well structured. Furthermore, we found that the cortical correlation structure of aperiodic activity is similar but distinct from the correlation structure of oscillatory neuronal activity. Anterior cortical regions showed the strongest differences between oscillatory and aperiodic correlation patterns. Our results suggest that correlations of aperiodic population activity serve as robust markers of cortical network interactions. Furthermore, our results show that aperiodic and oscillatory signal components provide non-redundant information about large-scale neuronal correlations. This may reflect at least partly distinct neuronal mechanisms underlying and reflected by oscillatory and aperiodic neuronal population activity. 
 "
8978988," 
We reported a GNE myopathy with congenital thrombocytopenia on a young male patient. He presented with a 3‐year history of lower distal extremity weakness initially affecting his legs. The weakness slowly progressed to lower proximal legs and upper arms last 6 months. Whole‐exome sequencing revealed that the patient harbored two heterozygous gene mutations, including a novel insertion mutation c.*1037_*1038CACACACACACACACACACACA and c.C478T in exome 12 and 3 of the GNE gene (NM_001128227), respectively. The levels of serum sialic acid in this patient were considerably decreased. Muscle MRI imaging showed the anterior and medial parts of his quadriceps were heavily affected by this disease. Hematoxylin and eosin staining showed prominent rimmed vacuoles with a lack of inflammatory response in the atrophied muscle. We also undertook a review of the current literature, searching for reports in which the GNE gene mutation caused the thrombocytopenia with or without muscle weakness. This new gene mutation finding broadens the GNE disease genotype spectrum, and further investigation of the relationship between GNE gene mutations and the heterogeneity of its clinical manifestations is needed. 
  
A novel insertion mutation c.*1037_*1038CACACACACACACACACACACA was identified in a GNE myopathy patient with congenital thrombocytopenia. The patient's congenital thrombocytopenia was found prior to the muscle weakness.   
 "
8933759," 
## Introduction 
  
The differences of functional connectivity (FC) and functional asymmetry between left and right mesial temporal lobe epilepsy with hippocampal sclerosis (LMTLE and RMTLE) have not been completely clarified yet. The purpose of the present study is to investigate the FC changes and the FC asymmetric patterns of MTLE, and to compare the differences in FC and functional asymmetry between LMTLE and RMTLE. 


## Methods 
  
In total, 12 LMTLE, 11 RMTLE patients, and 23 healthy controls (HC) were included. Region of interest (ROI)‐based analysis was used to evaluate FC. The right functional connectivity (rFC) and left functional connectivity (lFC) of each ROI were calculated. Asymmetry index (AI) was calculated based on the following formula:  . Paired   t  ‐test and univariate analysis of variance were used to analyze FC asymmetry. Linear correlation analysis was performed between significant FC changes and lateralized ROIs and epilepsy onset age and duration. 


## Results 
  
LMTLE and RMTLE patients showed different patterns of alteration in FC and functional asymmetry when compared with controls. RMTLE presented more extensive FC abnormalities than LMTLE. Regions in ipsilateral temporal lobe presented as central regions of abnormalities in both patient groups. In addition, the asymmetric characteristics of FC were reduced in MTLE compared with HC, with even more pronounced reduction for RMTLE group. Meanwhile, ROIs presented FC AI differences among the three groups were mostly involving left temporal lobe (L_hippo, L_amyg, L_TP, L_aMTG, and L_pTFusC). No correlation was found between significant FC changes and lateralized ROIs and epilepsy onset age and duration. 


## Conclusion 
  
The FC and asymmetric features of MTLE are altered and involve both the temporal lobe and extra‐temporal lobe. Furthermore, the altered FC and asymmetric features were distinctly affected in LMTLE and RMTLE compared to controls. 

  
The abnormal FC and asymmetric features of MTLE are altered and involve both the temporal lobe and extra‐temporal lobe. Furthermore, the altered FC and asymmetric features were distinctly affected LMTLE and RMTLE.
   
 "
