count,diagnosis,group_name,subgroup_name,male count,female count,age mean,age range,age minimum,age maximum,age median,rank,start_char,end_char,pmcid
23.0,,healthy,,18.0,5.0,222.0,,,,,,10707,11145,4330553
16.0,,healthy,,,,,,,,,,28053,28467,3183226
16.0,DLB,patients,,,,,,,,,,7293,7595,3984441
17.0,,healthy,,,,,,,,,,7293,7595,3984441
15.0,healthy,undergraduate students,,10.0,5.0,,20-22 years,,,,,9041,9577,6989437
20.0,,healthy,,12.0,8.0,24.4,19-35,19.0,35.0,,,7853,8437,3147157
10.0,,healthy,,4.0,6.0,20.8,,,,,,11679,12501,6528067
28.0,,healthy,,15.0,13.0,26.39,3.77 years,,,,,8040,8507,7481390
11.0,,healthy,heterosexual male,11.0,0.0,,,,,,,5370,5608,8154462
33.0,,healthy,,17.0,16.0,25.3,2.8,,,,,3877,4423,3676955
20.0,healthy,students,undergraduate and postgraduate,10.0,10.0,22.3,19-28,19.0,28.0,,,9427,10109,7002496
18.0,,healthy,,9.0,9.0,32.0,20-32,20.0,32.0,26.0,,6580,6988,4318429
15.0,,healthy,righthanded,7.0,8.0,23.8,,,,,,5172,5817,5324609
11.0,,healthy,,8.0,3.0,33.1,25-47 years,25.0,47.0,,,9509,10064,6328158
33.0,,healthy,,,,,,,,,,46685,47319,7156375
10.0,chronic marijuana (MJ) users,patients,,8.0,2.0,,,,,,,7512,8197,3742334
18.0,,healthy,,11.0,7.0,,,,,,,7512,8197,3742334
23.0,,healthy,,,,,,,,,,59146,59841,2144768
18.0,healthy,volunteers,,,,,19-35,19.0,35.0,,,59146,59841,2144768
23.0,community-dwelling young men,patients,community-dwelling cases,23.0,0.0,29.9,29.9-29.9,29.9,29.9,29.9,1.0,5042,6080,9548384
43.0,,healthy,,10.0,21.0,24.3,20-29,20.0,29.0,,,10334,11086,6847157
17.0,,healthy,,,,24.0,18-31,18.0,31.0,,,15536,16064,5902547
29.0,healthy,participants,,16.0,13.0,23.6,21-33,21.0,33.0,,,44675,45276,7989009
51.0,,healthy,,,,,,,,,,10141,10927,6664004
55.0,,healthy,,,,,,,,,,10141,10927,6664004
15.0,,healthy,male,15.0,0.0,22.33,,,,,,6364,7265,4838249
74.0,,healthy,adolescents,,,,,,,,,7766,8856,8379626
29.0,healthy,young adults,self-reported,10.0,19.0,23.8,19-30,19.0,30.0,,,8764,9650,8318202
32.0,healthy,older adults,self-reported,15.0,17.0,71.0,65-81,65.0,81.0,,,8764,9650,8318202
29.0,,healthy,,,,34.5,,,,,,7334,7745,6868994
46.0,,healthy,,32.0,14.0,22.61,,,,,,9299,9595,7745153
