,group_name,subgroup_name,project_name,annotator_name,pmcid,umls,diagnosis,count,male count,age mean,female count,age minimum,age maximum,age median
120,patients,rpc,participant_demographics,Jerome_Dockes,4522562,C4049190, thermo-coagulation lesions in the right parahippocampal cortex,5,,,,,,
397,patients,22q11.2DS,participant_demographics,Jerome_Dockes,3701149,C2936346,22q11.2 Deletion Syndrome ,13,9,16.14,4,,,
176,patients,_,participant_demographics,Jerome_Dockes,7275020,C3508472,acute mild traumatic brain injury,53,,,,,,
141,patients,_,participant_demographics,Jerome_Dockes,7539836,C3508472,acute mild traumatic brain injury,50,,,,,,
476,patients,_,participant_demographics,ju-chi_yu,11024046,C0002395,AD,16,,,,,,
188,patients,_,participant_demographics,Jerome_Dockes,6347794,C1263846,ADHD,38,18,,20,,,
256,patients,_,participant_demographics,Jerome_Dockes,5413198,C0001973,Alcohol dependence,34,34,,,,,
379,patients,AD,participant_demographics,Jerome_Dockes,3423412,C0002395,Alzheimer disease,14,,,,,,
109,patients,amci,participant_demographics,Jerome_Dockes,7838677,C5394908,amnestic mild cognitive impairment,11,4,,7,65,81,
67,patients,_,participant_demographics,Jerome_Dockes,3447931,C0002736,amyotrophic lateral sclerosis,20,,,,,,
414,patients,_,participant_demographics,Jerome_Dockes,3913832,C0003125,anorexia nervosa,31,,,31,,,
17,patients,_,participant_demographics,Jerome_Dockes,4530666,C0003125,anorexia nervosa,23,,,23,,,
79,patients,ais,participant_demographics,Jerome_Dockes,8785614,C5680049,arterial ischemic stroke,26,,,,,,
356,patients,_,participant_demographics,Jerome_Dockes,5552726,C3494609,Asymptomatic Carotid Stenosis,16,,,,,,
198,patients,_,participant_demographics,Jerome_Dockes,4190683,C1263846,Attention Deficit Hyperactivity Disorder,30,,,,10,17,
390,patients,adhd,participant_demographics,Jerome_Dockes,4936600,C1263846,attention-deficit hyperactivity disorder,19,,,,,,
186,patients,_,participant_demographics,Jerome_Dockes,8782893,C1263846,attention/deficit hyperactivity disorder,88,,,,,,
396,patients,ah,participant_demographics,Jerome_Dockes,3701149,C0233762,auditory hallucination,12,5,15.97,7,,,
184,patients,_,participant_demographics,Jerome_Dockes,3842522,C1510586,autism,42,,,,8,36,
163,patients,_,participant_demographics,Jerome_Dockes,4265725,C1510586,Autism spectrum conditions,18,,30.4,,,,
213,patients,_,participant_demographics,Jerome_Dockes,2648877,C1510586,Autism Spectrum Disorder,15,12,38,3,,,
227,patients,_,participant_demographics,Jerome_Dockes,5279905,C1510586,autism spectrum disorder,16,16,,,8,18,
366,patients,_,participant_demographics,Jerome_Dockes,5870086,C1510586,autism spectrum disorder,28,,,,10,17,
285,patients,_,participant_demographics,Jerome_Dockes,7194032,C1510586,Autism spectrum disorder,26,,,,8,18,
328,patients,dataset 2,participant_demographics,Jerome_Dockes,7721229,C1510586,autism spectrum disorder,255,224,17.05,31,7,55.4,
178,patients,_,participant_demographics,Jerome_Dockes,8213933,C1510586,autism spectrum disorder,28,20,14.58,8,,,
427,patients,autism spectrum disorder,participant_demographics,Jerome_Dockes,8883821,C1510586,autism spectrum disorder,20,16,,4,19,43,
273,patients,abide 1,participant_demographics,Jerome_Dockes,9407088,C1510586,autism spectrum disorder,539,,,,,,
274,patients,abide 2,participant_demographics,Jerome_Dockes,9407088,C1510586,autism spectrum disorder,521,,,,,,
114,patients,_,participant_demographics,Jerome_Dockes,3791281,C0556346,"Binge drinking
",12,7,,5,19,32,
106,patients,bdd,participant_demographics,Jerome_Dockes,6246657,C0005586 ,bipolar disorder,21,,,,,,
215,patients,_,participant_demographics,Jerome_Dockes,6908505,C0005586 ,bipolar disorder,70,,37,,18,65,
473,patients,_,participant_demographics,ju-chi_yu,10870473,C0006012,BPD,30,,,,,,
306,patients,_,participant_demographics,Jerome_Dockes,5394595,,bronchial asthma without acute attacks,42,,,,,,
372,patients,_,participant_demographics,Jerome_Dockes,4048172,C0740418,Chronic Back Pain,13,4,51.8,9,43,65,
405,patients,_,participant_demographics,Jerome_Dockes,7416060,C4518790,Chronic cannabis users,54,,,,,,
87,patients,_,participant_demographics,Jerome_Dockes,5460048,C5687959,chronic dieters,75,,19.38,75,18,23,
64,patients,_,participant_demographics,Jerome_Dockes,4473263,C0586325,chronic left-hemisphere stroke,32,27,62,5,,,
116,patients,chronic lumbar back-pain,participant_demographics,Jerome_Dockes,4522562,C0457949,chronic lumbar back-pain,8,,,,,,
265,patients,_,participant_demographics,Jerome_Dockes,3742334,C4518790,chronic marijuana use,10,8,,2,,,
346,patients,_,participant_demographics,Jerome_Dockes,6585311,C2711916,chronic post-stroke hemiparesis,10,6,66.7,4,,,
410,patients,_,participant_demographics,Jerome_Dockes,6667657,C0040264,chronic tinnitus,12,,,,,,
169,patients,_,participant_demographics,Jerome_Dockes,8172304,C0263338,chronic urticaria,32,6,,26,25,65,
39,patients,_,participant_demographics,Jerome_Dockes,8459240,C4237066,cocaine use disorder ,55,27,,28,,,
5,patients,_,participant_demographics,Jerome_Dockes,6220927,C0236801,cockroach phobia,12,4,,8,,,
341,patients,_,participant_demographics,Jerome_Dockes,5371603,C0011053,deafness,14,3,25,11,18,33,
73,patients,_,participant_demographics,Jerome_Dockes,3984441,C0752347,dementia with Lewy bodies,16,,,,,,
399,patients,_,participant_demographics,Jerome_Dockes,6902076,C0752347,Dementia with Lewy bodies,17,13,71.88,4,60,82,
411,patients,_,participant_demographics,Jerome_Dockes,4589842,"C2362914, C1269683, C0006012",Depression,11,5,61,6,,,
389,patients,dcd,participant_demographics,Jerome_Dockes,4936600,C0011757,Developmental coordination disorder,6,,,,,,
391,patients,dcd+adhd,participant_demographics,Jerome_Dockes,4936600,"C0011757, C1263846",Developmental coordination disorder and attention-deficit hyperactivity disorder,14,,,,,,
134,patients,baseline,participant_demographics,Jerome_Dockes,5758587,C1395913,Developmental dyscalculia,14,,,,,,
135,patients,follow-up,participant_demographics,Jerome_Dockes,5758587,C1395913,Developmental dyscalculia,13,,,,,,
362,patients,eod,participant_demographics,Jerome_Dockes,5598991,C1269683,early adult onset depression,58,,,,,,
117,patients,epilepsy,participant_demographics,Jerome_Dockes,4522562,C0014544,epilepsy,10,,,,,,
384,patients,_,participant_demographics,Jerome_Dockes,4732188,C0270736,Essential tremor,21,12,51.6,9,,,
358,patients,_,participant_demographics,Jerome_Dockes,7493988,C0270736,essential tremor ,10,6,69.4,4,,,
309,patients,_,participant_demographics,Jerome_Dockes,6820536,C0016053,fibromyalgia,20,,46.4,20,22,70,
200,patients,_,participant_demographics,Jerome_Dockes,5339238,C0162316),former iron deficiency anemia,14,,,,,,
171,patients,_,participant_demographics,Jerome_Dockes,8978988,C1853926,GNE myopathy with congenital thrombocytopenia,1,1,,,,,
425,patients,_,participant_demographics,Jerome_Dockes,6509414,C3887873,hearing loss,26,,,,,,
240,patients,_,participant_demographics,Jerome_Dockes,8569140,C0278152,hemifacial spasm,30,12,48.87,18,,,
88,patients,_,participant_demographics,Jerome_Dockes,4990879,C0019337,heroin addiction,40,40,,,,,
24,patients,_,participant_demographics,Jerome_Dockes,5686883,C0026858,idiopathic musculoskeletal pain,10,1,16.3,9,,,
320,patients,_,participant_demographics,Jerome_Dockes,3045463,"C0030567, C0865475",idiopathic Parkinson's Disease,21,14,,7,,,
130,patients,_,participant_demographics,Jerome_Dockes,6675526,"C0030567, C0865475",Idiopathic Parkinson’s disease,50,29,57.7,21,,,
75,patients,_,participant_demographics,Jerome_Dockes,4174863,C0392751,incarcerated,157,,,157,,,
387,patients,_,participant_demographics,Jerome_Dockes,4030253,C5392078,Internet Addiction,18,,15.1,,,,
97,patients,_,participant_demographics,Jerome_Dockes,8939409,C5392078,internet addiction,24,14,20.58,10,,,
165,patients,_,participant_demographics,Jerome_Dockes,5665859,C0948008,ischemic stroke,72,,,,60,70,
161,patients,_,participant_demographics,Jerome_Dockes,6412974,C0270853,Juvenile myoclonic epilepsy,18,3,30.11,15,20,48,
343,patients,_,participant_demographics,Jerome_Dockes,4175730,C0409959,knee osteoarthritis,30,,,,,,
363,patients,lod,participant_demographics,Jerome_Dockes,5598991,C1269683,later adult onset depression,62,,,,,,
407,patients,_,participant_demographics,Jerome_Dockes,5903407,"C0751010, C0586325",left hemisphere infarcts,27,,59.1,,,,
294,patients,LMTLE,participant_demographics,Jerome_Dockes,8933759,C3266633,Left Mesial Temporal Lobe Epilepsy,12,,,,,,
382,patients,_,participant_demographics,Jerome_Dockes,7275001,C0242379,lung cancer,18,,,,48,70,
57,patients,_,participant_demographics,Jerome_Dockes,4869560,C1269683,major depressive disorder,29,,,,,,
123,patients,_,participant_demographics,Jerome_Dockes,4983635,C1269683,major depressive disorder,45,16,37,29,19,58,
105,patients,mdd,participant_demographics,Jerome_Dockes,6246657,C1269683,major depressive disorder,40,,,,,,
353,patients,_,participant_demographics,Jerome_Dockes,7118554,C1269683,major depressive disorder,43,13,,30,,,
299,patients,_,participant_demographics,Jerome_Dockes,7875881,C1269683,major depressive disorder,19,,,,18,55,
408,patients,_,participant_demographics,Jerome_Dockes,3510214,C1608983,mal de debarquement syndrome,20,,,,,,
85,patients,_,participant_demographics,Jerome_Dockes,4017227,C3266633,Mesial temporal lobe epilepsy,23,,,,,,
420,patients,_,participant_demographics,Jerome_Dockes,7836234,C3266633,mesial temporal lobe epilepsy,19,11,45.3,8,,,
110,patients,mad,participant_demographics,Jerome_Dockes,7838677,C0002395,mild Alzheimer's dementia,6,4,,2,65,81,
378,patients,MCI,participant_demographics,Jerome_Dockes,3423412,C1270972,mild cognitive impairment,8,,,,,,
30,patients,_,participant_demographics,Jerome_Dockes,7082218,"C0525045, C0003469",mood and/or anxiety disorder,223,61,36,162,,,
216,patients,_,participant_demographics,Jerome_Dockes,6004505,,Multi-Problem Young Adults,100,100,,,,,
348,patients,_,participant_demographics,Jerome_Dockes,7485713,C0393571 ,multiple system atrophy,24,,,,,,
468,patients,_,participant_demographics,ju-chi_yu,10958407,C2349426,NDPH,29,,,,,,
61,patients,_,participant_demographics,Jerome_Dockes,8544331,C5852774,neovascular age-related macular degeneration,18,9,,9,55,,
406,patients,_,participant_demographics,Jerome_Dockes,5537800,C0028754,obesity,16,,46.31,16,,,
147,patients,_,participant_demographics,Jerome_Dockes,3777673,C0028768,obsessive–compulsive disorder,19,,,,,,
69,patients,_,participant_demographics,Jerome_Dockes,9230060,C0699726,offenders,20,20,,,,,
211,patients,_,participant_demographics,Jerome_Dockes,6382839,C0030319,panic disorder,17,2,,15,,,
53,patients,_,participant_demographics,Jerome_Dockes,6854061,C0236800,panic disorder with agoraphobia,121,,,,,,
252,patients,_,participant_demographics,Jerome_Dockes,3182403,C0030567,Parkinson's disease,21,13,60.8,8,44,73,
311,patients,_,participant_demographics,Jerome_Dockes,4184784,C0030567,Parkinson's disease,37,17,,20,,,
95,patients,PD-A,participant_demographics,Jerome_Dockes,5655292,"C0030567, C0003469",Parkinson's disease with anxiety disorder,18,,,,,,
96,patients,PD-NA,participant_demographics,Jerome_Dockes,5655292,C0030567,Parkinson's disease without anxiety disorder,45,,,,,,
230,patients,_,participant_demographics,Jerome_Dockes,6389716,C0030567,Parkinson’s disease,42,,,,,,
318,patients,_,participant_demographics,Jerome_Dockes,6678781,C0524400,Pedophilic Child Sexual Offenders,61,61,,,,,
80,patients,pvi,participant_demographics,Jerome_Dockes,8785614,C1300444,periventricular venous infarction,26,,,,,,
229,patients,_,participant_demographics,Jerome_Dockes,2494616,C4048296,phantom limb pain,13,11,52.92,2,32,75,
398,patients,_,participant_demographics,Jerome_Dockes,9461104,C1261175,Pontocerebellar hypoplasia,6,,,,,,
151,patients,fd-pds-mdd,participant_demographics,Jerome_Dockes,7518235,"C0267167, C1269683",post-prandial distress subtype functional dyspepsia with major depressive disorder,24,,,24,,,
152,patients,fd-pds-no-mdd,participant_demographics,Jerome_Dockes,7518235,C0267167,post-prandial distress subtype functional dyspepsia without major depressive disorder,24,,,24,,,
93,patients,_,participant_demographics,Jerome_Dockes,5266856,C4750948,Poststroke Aphasia,39,,,,,,
279,patients,_,participant_demographics,Jerome_Dockes,5030332,C0038436,posttraumatic stress disorder,21,,,,,,
282,patients,_,participant_demographics,Jerome_Dockes,6024199,C0038436,posttraumatic stress disorder,21,6,21.5,15,18,31,
219,patients,_,participant_demographics,Jerome_Dockes,8785646,C0038436,posttraumatic stress disorder,14,,,,,,
26,patients,_,participant_demographics,Jerome_Dockes,6290711,C0948238,Psychogenic erectile dysfunction,26,26,26.8,,,,
118,patients,refractory epilepsy,participant_demographics,Jerome_Dockes,4522562,C1096063,refractory epilepsy,14,,,,,,
