id,title,keywords,abstract,body
pmid_8799180,Memory for object features versus memory for object location: a positron-emission tomography study of encoding and retrieval processes.,,"Regional cerebral blood flow was measured with positron-emission tomography during two encoding and two retrieval tasks that were designed to compare memory for object features with memory for object locations. Bilateral increases in regional cerebral blood flow were observed in both anterior and posterior regions of inferior temporal cortex and in ventral regions of prestriate cortex, when the condition that required retrieval of object locations was subtracted from the condition that required retrieval of object features. During encoding, these changes were less pronounced and were restricted to the left inferior temporal cortex and right ventral prestriate cortex. In contrast, both encoding and retrieval of object location were associated with bilateral changes in dorsal prestriate and posterior parietal cortex. Finally, the two encoding conditions activated left frontal lobe regions preferentially, whereas the two retrieval conditions activated right frontal lobe regions. These findings confirm that, in human subjects, memory for object features is mediated by a distributed system that includes ventral prestriate cortex and both anterior and posterior regions of the inferior temporal gyrus. In contrast, memory for the locations of objects appears to be mediated by an anatomically distinct system that includes more dorsal regions of prestriate cortex and posterior regions of the parietal lobe. ",
pmid_24025064,True or false? Activations of language-related areas in patients with disorders of consciousness.,,"Twenty-nine patients with Unresponsive Wakefulness Syndrome (UWS), 26 patients in Minimally Conscious State (MCS), and 21 healthy control individuals matched in age and social environment (patients' relatives) were presented with 80 short sentences half of which were factually correct, and the other half factually incorrect. The diagnosis was made on the basis of repeated neurological examinations as well as the standardized assessment using a Coma Recovery Scale-Revised (CRS-R). fMRI blood oxygen level dependent signal was recorded in an event-related design time-locked to the end word of the sentences. In the contrast ""incorrect-minus-correct"" significant activations in the relevant brain regions were obtained in 17 (81%) controls and in 16 (29%) patients. Among patients, the 16 responders had a significantly longer time since accident than the 39 non-responders. Responders and non-responders did not differ in terms of the diagnosis (UWS vs. MCS), age, CRS-R score, or the degree of brain atrophy. The data concur with the results of several earlier studies on UWS/MCS patients, with the difference that the critical stimuli in those studies were semantically incongruent or ambiguous propositions rather than factually false ones in the present experiment. The hypothesis is discussed that the differential response of brain language areas to factually correct and incorrect statements does not require conscious perception of the statements. ",
pmid_21408105,Effects of unconscious processing on implicit memory for fearful faces.,,"Emotional stimuli can be processed even when participants perceive them without conscious awareness, but the extent to which unconsciously processed emotional stimuli influence implicit memory after short and long delays is not fully understood. We addressed this issue by measuring a subliminal affective priming effect in Experiment 1 and a long-term priming effect in Experiment 2. In Experiment 1, a flashed fearful or neutral face masked by a scrambled face was presented three times, then a target face (either fearful or neutral) was presented and participants were asked to make a fearful/neutral judgment. We found that, relative to a neutral prime face (neutral-fear face), a fearful prime face speeded up participants' reaction to a fearful target (fear-fear face), when they were not aware of the masked prime face. But this response pattern did not apply to the neutral target. In Experiment 2, participants were first presented with a masked faces six times during encoding. Three minutes later, they were asked to make a fearful/neutral judgment for the same face with congruent expression, the same face with incongruent expression or a new face. Participants showed a significant priming effect for the fearful faces but not for the neutral faces, regardless of their awareness of the masked faces during encoding. These results provided evidence that unconsciously processed stimuli could enhance emotional memory after both short and long delays. It indicates that emotion can enhance memory processing whether the stimuli are encoded consciously or unconsciously. ",
pmid_25283470,Segregating the cerebral mechanisms of antidepressants and placebo in fibromyalgia.,"Antidepressive agents
fibromyalgia
magnetic resonance imaging
milnacipran
placebos","Antidepressant drugs are commonly used to treat fibromyalgia, but there is little knowledge about their mechanisms of action. The aim of this study was to compare the cerebral and behavioral response to positive treatment effects of antidepressants or placebo. Ninety-two fibromyalgia patients participated in a 12-week, double-blind, placebo-controlled clinical trial with milnacipran, a serotonin-norepinephrine reuptake inhibitor. Before and after treatment, measures of cerebral pain processing were obtained using functional magnetic resonance imaging. Also, there were stimulus response assessments of pressure pain, measures of weekly pain, and fibromyalgia impact. Following treatment, milnacipran responders exhibited significantly higher activity in the posterior cingulum compared with placebo responders. The mere exposure to milnacipran did not explain our findings because milnacipran responders exhibited increased activity also in comparison to milnacipran nonresponders. Stimulus response assessments revealed specific antihyperalgesic effects in milnacipran responders, which was also correlated with reduced clinical pain and with increased activation of the posterior cingulum. A short history of pain predicted positive treatment response to milnacipran. We report segregated neural mechanisms for positive responses to treatment with milnacipran and placebo, reflected in the posterior cingulum. The increase of pain-evoked activation in the posterior cingulum may reflect a normalization of altered default mode network processing, an alteration implicated in fibromyalgia pathophysiology. This study presents neural and psychophysical correlates to positive treatment responses in patients with fibromyalgia, treated with either milnacipran or placebo. The comparison between placebo responders and milnacipran responders may shed light on the specific mechanisms involved in antidepressant treatment of chronic pain. ",
pmid_25477799,Functional connectivity density alterations in schizophrenia.,"functional connectivity density
functional connectivity strength
functional magnetic resonance imaging
resting state
schizophrenia","Schizophrenia is characterized by altered resting-state functional connectivity. Most previous studies have focused on changes in connectivity strengths; however, the alterations in connectivity density in schizophrenia remain largely unknown. Here, we aimed to investigate changes in resting-state functional connectivity density (rsFCD) in schizophrenia. A total of 95 schizophrenia patients and 93 sex- and age-matched healthy controls (HCs) underwent resting-state functional MRI examinations. The rsFCD, which reflects the total number of functional connections between a given brain voxel and all other voxels in the entire brain, was calculated for each voxel of each subject. Voxel-based comparisons were performed to identify brain regions with significant rsFCD differences between patients and controls (P < 0.05, corrected). Compared with HCs, patients with schizophrenia showed significantly increased rsFCD in the bilateral striatum and hippocampus and significantly decreased rsFCD in the bilateral sensorimotor cortices and right occipital cortex. However, the rsFCD values of these brain regions were not correlated with antipsychotic dosage, illness duration, or clinical symptom severity. The striatal and hippocampal regions and parietal-occipital regions exhibited completely different changes in rsFCD in schizophrenia, which roughly correspond to dopamine activity in these regions in schizophrenia. These findings support the connectivity disorder hypothesis of schizophrenia and increase our understanding of the neural mechanisms of schizophrenia. ",
pmid_21368084,Sensorimotor functional connectivity changes in amyotrophic lateral sclerosis.,,"We investigated whether the functional connections to the primary sensorimotor cortex (SMC) at rest are abnormal in 26 patients with amyotrophic lateral sclerosis (ALS) and whether such changes are related to the corticospinal tract (CST) damage, measured using diffusion tensor magnetic resonance imaging (DT MRI). ALS patients versus controls showed a significantly increased functional connectivity between the left SMC and the right cingulate cortex, parahippocampal gyrus, and cerebellum-crus II. No right SMC connectivity changes were found. The pattern of increased functional connectivity to the left SMC was more widespread when considering only patients with no CST DT MRI abnormalities than the whole group of patients. In this patient group, functional connectivity was also increased between the right SMC and the right parahippocampal gyrus. On the contrary, in ALS patients with CST damage (as assessed using DT MRI) versus controls, functional connectivity was increased between the left SMC and the right cingulate cortex only, while it was decreased between the right SMC and the right cerebellum-lobule VI. In ALS patients, disease severity correlated with reduced SMC functional connectivity. Functional brain changes do occur in ALS with mild disability. These changes might have a role in compensating for (limited) structural damage and might exhaust with increasing burden of disease pathology. ",
pmid_22391134,Trait impulsivity and prefrontal gray matter reductions in cocaine dependent individuals.,,"Impulsivity is thought to play a key role in cocaine addiction onset and progression; therefore, we hypothesized that different facets of impulsive personality may be significantly associated with brain structural abnormalities in cocaine-dependent individuals. Thirty-eight cocaine-dependent individuals and 38 non-drug using controls completed the UPPS-P scale (measuring five different facets of impulsivity: sensation seeking, lack of premeditation, lack of perseverance, and positive and negative urgency) and were scanned on a 3T MRI scanner. We used whole-brain voxel-based morphometry analyses (VBM) to detect differences in gray matter (GM) and white matter (WM) volumes between cocaine users and controls, and to measure differences in the way that impulsivity relates to GM and WM volumes in cocaine users vs. controls. Cocaine-dependent individuals had lower GM volumes in a number of sections of the orbitofrontal cortex, right inferior frontal gyrus, right insula, left amygdala and parahippocampal gyrus, temporal gyrus, and bilateral caudate. They also had lower WM volumes in the left inferior and medial frontal gyrus, superior temporal gyrus, right anterior cingulate cortex, insula and caudate. There was a positive correlation between trait impulsivity and GM volume in the left inferior/middle frontal gyrus of cocaine-dependent individuals, a pattern directly opposed to the association in controls. Conversely, in cocaine users lack of premeditation was negatively correlated with GM volume in the insula and the putamen. Trait impulsivity may influence cocaine dependence by impacting its neurobiological underpinnings in frontostriatal systems. ",
pmid_16401465,Novel evidence for hypersensitivity of visceral sensory neural circuitry in irritable bowel syndrome patients.,,"Visceral hypersensitivity in irritable bowel syndrome (IBS) patients has been documented by evaluation of perceived stimulations that can reflect abnormalities of both sensory neurocircuitry and cognitive processes. The presence of actual neurohypersensitivity in human beings has not been documented separately. Because subliminal stimulations are free from the influence of stimulus-related cognitive processes, functional magnetic resonance imaging (fMRI) cortical response to these stimuli can be considered a measure of activity of the neural circuitry alone. The aim of this study was to compare quantitatively the cerebral cortical fMRI activity response to equal subliminal stimulations between IBS patients and age-matched controls. We studied 10 IBS patients and 10 healthy controls using a computerized barostat-controlled rectal distention device. fMRI activity volume and percent maximum signal intensity change for equal subliminal distention pressures were compared between controls and patients. Three levels of subliminal distention pressures (eg, 10, 15, and 20 mm Hg), were represented in both controls and patients and were analyzed for fMRI response. In all 3 distention levels the fMRI activity volume in IBS patients was significantly larger than age- and sex-matched controls (P < .05). The percent maximum signal intensity change was similar between IBS patients and controls. The volume of cerebral cortical activity response to equal subliminal distention pressures in IBS patients is significantly larger than in controls, documenting the existence of hypersensitivity of the neural circuitry in this patient group irrespective of stimulus-related cognitive processes. ",
pmid_11897168,Mental navigation in humans is processed in the anterior bank of the parieto-occipital sulcus.,,"We examined the brain regions which were activated during mental navigation; functional magnetic resonance imaging was performed in 16 right-handed male volunteers. The anterior bank of the parieto-occipital sulcus (APO) was strongly activated in all 16 subjects examined. In group study, the retrosplenial area, the bilateral angular gyrus/occipital cortex junction, the left superior premotor area, the right parahippocampal gyrus, and the right cerebellum were activated commonly across 16 subjects. The APO region activated during mental navigation appeared to be equivalent to the visual area V6A in monkeys and to subserve egocentric spatial processes. ",
pmid_28110087,Internal and external attention and the default mode network.,"Attention
Default mode network
Functional MRI
Mind-wandering
Mindfulness
Thought-probes","Focused attention meditations have been shown to improve psychological health and wellbeing and are nowadays an integral part of many psychotherapies. While research on the neural correlates of focused attention meditation is increasing, findings vary on whether meditations are associated with high or low activity in the default mode network (DMN). To clarify the relationship between focused attention meditation and the activity in DMN regions, it may be helpful to distinguish internal and external attention as well as different phases within one meditation: During focused attention meditation, the practitioner switches between mindful attention, mind-wandering and refocusing. Here, we employed a thought-probe paradigm to study the neural correlates of these different phases. Twenty healthy, meditation naïve participants were introduced to external (mindfulness of sound) and internal (mindfulness of breathing) attention meditation and then practiced the meditation at home for four consecutive days. They then performed the same focused attention meditations during fMRI scanning, in four runs alternating between internal and external attention. At pseudorandom intervals, participants were asked whether they had just been focused on the task (mindful attention) or had been distracted (mind-wandering). During mindful attention, brain regions typically associated with the DMN, such as the medial prefrontal cortex, posterior cingulate cortex and left temporoparietal junction showed significantly less neural activation compared to mind-wandering phases. Reduced activity of the DMN was found during both external and internal attention, with stronger deactivation in the posterior cingulate cortex during internal attention compared to external attention. Moreover, refocusing after mind-wandering was associated with activity in the left inferior frontal gyrus. Our results support the theory that mindful attention is associated with reduced DMN activity compared to mind-wandering, independent of the practitioner's attention focus (i.e., internal vs. external). ",
