count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid,rank,start_char,end_char
15,healthy,healthy,adult volunteers,5,10,31.69,22-54,22,54,31,yes,7981326.0,0,9579,10553
23,healthy,healthy,healthy,18,5,222.0,222-222,222,222,222,yes,4330553.0,0,10707,11145
15,healthy,healthy,healthy,8,7,22.21,20-25,20,25,22,yes,6195265.0,0,13097,13950
45,healthy,healthy,healthy,18,27,24.49,24.49-24.49,24,25,24,yes,5428836.0,0,26550,27302
12,null,healthy,null,6,6,26.0,23-39,23,39,26,yes,3422286.0,0,8558,9073
14,null,healthy,null,7,7,23.0,24-30,24,30,23,yes,3422286.0,0,8558,9073
48,healthy,healthy,healthy,24,24,26.4,null,0,0,0,yes,2993660.0,0,19298,19503
23,healthy,healthy,healthy,11,12,24.2,18-31,18,31,24,yes,4436102.0,0,11102,11949
18,healthy,healthy,right-handed,9,9,30.3,30.3-30.3,30,30,30,yes,6726765.0,0,7719,8450
13,healthy,healthy,undergraduate students,8,5,2022.0,2022 years,2022,2022,2022,yes,6989437.0,0,9041,9577
40,healthy,healthy,native Japanese speakers,32,8,20.5,18-28,18,28,20,yes,3605341.0,0,12059,12659
20,healthy,healthy,healthy,12,8,24.4,19-35,19,35,24,yes,3147157.0,0,7853,8437
58,adolescents,patients,adolescents,29,29,15.0,13-17,13,17,15,yes,6664004.0,10,23094,26683
52,adolescents,patients,adolescents,26,26,15.0,13-17,13,17,15,yes,6664004.0,10,23094,26683
20,healthy,healthy,undergraduate and postgraduate students,10,10,22.3,19-25,19,25,22,yes,7002496.0,0,9427,10109
20,normal,healthy,all,9,11,23.0,18-27,18,27,23,yes,7339141.0,0,6763,7761
22,healthy,healthy,Experiment 1,17,5,1941.0,1941years,1941,1941,1941,no,4349631.0,0,5763,6450
16,healthy,healthy,Experiment 2,11,5,2059.0,2059years,2059,2059,2059,yes,4349631.0,0,5763,6450
33,healthy,healthy,right-handed,17,16,25.3,25.3  2.8,22,28,25,yes,3676955.0,0,3877,4423
18,healthy,healthy,neurologically healthy subjects,9,9,2032.0,2032,2032,2032,2032,yes,4318429.0,0,6580,6988
55,healthy,healthy,adolescents,17,38,130.82,12-14,12,14,13,yes,7057279.0,0,6753,7414
40,healthy,healthy,right-handed,20,20,20.0,18-23,18,23,20,yes,4370584.0,0,11424,11801
11,normal or corrected-to-normal vision,healthy,right-handed observers,8,3,33.1,2547 years,25,47,33,yes,6328158.0,0,9509,10064
12,healthy,healthy,healthy,12,0,31.0,18-55,18,55,31,yes,3258233.0,0,6311,6921
16,healthy,healthy,healthy,9,7,1835.0,1835,1835,1835,1835,yes,3183226.0,0,28022,28467
33,healthy,healthy,healthy,18,15,25.24,null,0,0,0,yes,7156375.0,0,46685,47319
23,healthy,healthy,behavioral experiment,4,19,27.69,19-35,19,35,27,no,2144768.0,0,59146,59841
18,healthy,healthy,fMRI experiment,9,9,23.67,19-35,19,35,23,yes,2144768.0,0,59146,59841
15,healthy,healthy,right-handed,8,7,0.0,0-0,0,0,0,yes,2390848.0,0,22735,23247
11,healthy,healthy,healthy,7,4,28.0,28  7 years,21,35,28,yes,6198067.0,0,8869,9939
31,healthy,healthy,fMRI,10,21,24.3,20-29,20,29,24,yes,6847157.0,0,10334,11086
23,healthy,healthy,young men,23,0,29.96,29.96-29.96,29,30,29,yes,9548384.0,0,4925,6082
19,healthy,healthy,right-handed,12,7,27.9,20-35,20,35,28,yes,7456884.0,0,7752,8584
17,healthy,healthy,healthy,5,12,24.0,1831,18,31,24,yes,5902547.0,0,15536,16064
15,healthy,healthy,university students,15,0,22.33,null,20,25,22,yes,4838249.0,0,6364,7265
10,healthy,healthy,undergraduate and graduate students,4,6,20.8,20.8-20.8,20,21,21,yes,6528067.0,0,11647,12501
29,healthy,healthy,healthy,15,14,34.5,null,22,47,34,yes,6868994.0,0,7334,7745
15,healthy,healthy,healthy,7,8,25.6,22-30,22,30,25,yes,3889700.0,0,16355,17140
945,healthy,healthy,discovery,546,872,22.39,18-35,18,35,22,yes,9564100.0,0,24189,25345
473,healthy,healthy,replication,546,872,22.39,18-35,18,35,22,yes,9564100.0,0,24189,25345
55,healthy,healthy,male,55,0,24.255,18-35,18,35,24,yes,6434022.0,0,30465,32004
13,DCG,healthy,DCG,5,8,23.1,20-26,20,26,23,yes,4034409.0,0,13409,14663
13,TCG,healthy,TCG,4,9,23.5,21-26,21,26,24,yes,4034409.0,0,13409,14663
24,healthy,healthy,female,0,24,24.0,20-30,20,30,24,yes,3965851.0,0,13949,14774
18,healthy,healthy,female,0,18,24.0,20-30,20,30,24,yes,3965851.0,0,13949,14774
31,healthy,healthy,students,16,15,20.0,18-22,18,22,20,yes,3539852.0,0,18645,19836
33,healthy,healthy,male,33,0,23.86,19-32,19,32,23,yes,4380440.0,0,10534,11508
40,healthy,healthy,older adult,24,16,68.4,68.4  5.8 years,68,73,68,yes,5717028.0,0,6784,7467
9,healthy,healthy,right-handed,6,3,26.6,24.9-28.3,24,28,26,yes,8893203.0,0,8471,9034
12,normal,healthy,right-handed adults,6,6,25.4,20-40,20,40,25,yes,2151069.0,0,9653,9985
34,healthy,healthy,right-handed students,19,15,21.5,18-25,18,25,21,yes,6908964.0,0,11176,11873
46,healthy,healthy,behavioral study,0,0,23.65,18-30,18,30,23,no,3672681.0,0,13846,15500
32,healthy,healthy,fMRI study,0,0,23.0,19-30,19,30,23,yes,3672681.0,0,13846,15500
58,healthy,healthy,right-handed,26,32,24.02,null,21,27,24,yes,3492343.0,0,6544,7179
18,normal or corrected-to-normal vision,healthy,female,0,18,21.04,null,19,23,21,yes,4975394.0,0,6805,7868
20,healthy,healthy,healthy,16,4,20.3,20-36,20,36,28,yes,4717328.0,0,6158,6634
10,healthy,healthy,healthy,5,5,29.5,23-43,23,43,29,yes,3407245.0,0,19626,20086
38,healthy,healthy,childless adults,28,10,24.08,21-27,21,27,24,yes,7395771.0,0,8721,10120
20,healthy,healthy,male,20,0,23.9,1833,18,33,23,yes,4255751.0,0,5627,6165
229,neurotypical,healthy,Han Chinese,114,115,21.62,17-29 years,17,29,21,yes,10980722.0,0,9680,11471
18,healthy,healthy,healthy,10,8,25.0,22-29,22,29,25,yes,4493392.0,0,8993,9484
34,healthy,healthy,older adults,14,20,73.2,68-83,68,83,73,yes,7779563.0,0,11922,13361
67,healthy,healthy,adolescents,36,31,15.6,13-18,13,18,15,yes,8379626.0,0,7716,9834
33,healthy,healthy,Russian-speakers,17,16,26.0,2048,20,48,26,yes,5447679.0,0,9581,10407
134,healthy,healthy,healthy,72,62,5.34,5.08-5.22,5,5,5,yes,9108497.0,0,9500,12550
26,typically developing,healthy,children and adolescents,17,9,11.42,8-16,8,16,11,yes,7005761.0,0,7835,9334
34,neurologically healthy,healthy,all,17,17,24.9,20-38 years,20,38,24,yes,6646524.0,0,12647,13860
13,healthy,healthy,healthy,6,7,28.4,1945,1945,1945,1945,yes,7430162.0,0,7494,8254
100,multi-problem young adults,patients,multi-problem young adults,100,0,22.0,18-25,18,25,22,yes,6004505.0,0,7938,9518
22,healthy controls,healthy,healthy controls,11,11,22.0,18-25,18,25,22,yes,6004505.0,0,7938,9518
20,healthy,healthy,ASL 101 and 102,1,19,21.4,18-31,18,31,21,yes,6136263.0,0,16503,17874
18,healthy,healthy,healthy,13,9,26.7,18-60,18,60,22,yes,2775905.0,0,7644,8859
31,FEP,patients,FEP,26,5,26.64,26.64-26.64,26,26,26,yes,8550949.0,0,5892,6567
35,healthy,healthy,healthy,26,9,27.12,27.12-27.12,27,27,27,yes,8550949.0,0,5892,6567
45,smokers,patients,smokers,45,0,0.0,0-0,0,0,0,yes,3511796.0,0,3425,5707
44,healthy,healthy,healthy,44,0,0.0,0-0,0,0,0,yes,3511796.0,0,3425,5707
73,healthy,healthy,healthy,29,44,22.3,18-39,18,39,22,yes,10956805.0,0,12044,13166
16,healthy,healthy,right-handed,10,6,30.1,18-40,18,40,30,yes,4072722.0,0,12442,12867
24,postpartum,patients,postpartum,0,24,2.5,2-4,2,4,3,yes,7272423.0,0,23741,25117
27,control,healthy,control,0,27,2.5,2-4,2,4,3,yes,7272423.0,0,23741,25117
47,healthy,healthy,female undergraduate students,0,47,19.62,17.5-22.74,17,23,20,yes,5548834.0,0,7835,9127
272,healthy,healthy,healthy,123,149,24.45,1861-1868,18,68,24,yes,4115625.0,0,8650,9157
16,healthy,healthy,right-handed,8,8,22.5,20-25,20,25,22,yes,6344389.0,0,14874,15604
19,healthy,healthy,adult volunteers,10,9,22.8,19-31,19,31,22,yes,3869649.0,0,5579,6473
20,healthy,healthy,native language,10,10,25.0,20-30,20,30,25,yes,4477935.0,0,7547,7912
54,CUD,patients,CUD patients,0,0,0.0,0-0,0,0,0,yes,11035677.0,0,4688,6610
26,healthy,healthy,healthy,12,14,23.04,18-35,18,35,23,yes,6697392.0,0,7141,11005
9,healthy,healthy,healthy,7,2,27.72,null,21,35,27,yes,4029023.0,0,7975,8487
17,healthy,healthy,male,17,0,23.8,20-30,20,30,23,yes,3866656.0,0,9829,10487
17,healthy,healthy,healthy,7,10,26.0,21-31,21,31,26,yes,8837589.0,0,7291,8667
10,healthy,healthy,healthy,5,5,25.0,20-30,20,30,25,yes,6215330.0,1,19091,22353
220,healthy,healthy,adolescent,115,105,14.61,14-15,14,15,14,yes,3991323.0,0,7509,9650
28,healthy,healthy,adult,17,11,25.24,20-39,20,39,25,yes,3991323.0,0,7509,9650
113,substance use risk,patients,NCANDA study,47,66,17.11,12.27-21.96,12,22,17,yes,7038454.0,0,6792,9449
10,healthy,healthy,healthy,3,7,39.8,18-50,18,50,39,yes,2935390.0,0,7096,7923
17,healthy,healthy,female,0,17,20.7,18-23,18,23,20,yes,6688454.0,0,12232,14191
15,healthy,healthy,Exp. 1,12,3,26.0,26-30,26,30,26,yes,4458841.0,0,45697,46616
14,healthy,healthy,Exp. 2,7,7,28.0,28-32,28,32,28,yes,4458841.0,0,45697,46616
22,healthy,healthy,healthy,5,17,32.0,23-41,23,41,32,yes,3483694.0,0,28089,30834
43,MDD,patients,MDD patients,13,30,0.0,0-0,0,0,0,yes,7118554.0,0,8471,10050
56,healthy,healthy,healthy controls,30,26,0.0,0-0,0,0,0,yes,7118554.0,0,8471,10050
21,healthy,healthy,male,21,0,25.77,20-40,20,40,25,yes,5776089.0,0,7315,8159
39,healthy,healthy,right-handed students,21,18,21.33,18-24,18,24,21,yes,8152834.0,0,7186,8239
32,healthy,healthy,young,0,0,25.5,25-27,25,27,26,yes,5890144.0,0,7227,8372
39,CSM,patients,VR training combined with rehabilitation intervention group,0,0,0.0,0-0,0,0,0,yes,10877862.0,4,22883,24123
39,CSM,patients,conventional rehabilitation group,0,0,0.0,0-0,0,0,0,yes,10877862.0,4,22883,24123
29,healthy,healthy,healthy,16,13,23.6,2133,21,33,23,yes,7989009.0,0,44675,45771
233,healthy,healthy,healthy,116,117,16.1,9.9-26.6,9,26,16,yes,5390693.0,0,6438,8339
36,healthy,healthy,native speakers of German,19,17,26.45,21-41 years,21,41,26,yes,3869681.0,0,12247,13506
12,healthy,healthy,healthy,7,5,38.0,2360,23,60,38,yes,4075342.0,0,7661,9066
26,ASD,patients,ASD,26,0,0.0,0-0,0,0,0,yes,7194032.0,1,9309,10707
28,TD,healthy,TD,28,0,0.0,0-0,0,0,0,yes,7194032.0,1,9309,10707
18,lung cancer patients,patients,lung cancer patients,18,0,59.0,48-70,48,70,59,yes,7275001.0,0,8631,10461
21,healthy controls,healthy,healthy controls,21,0,59.0,48-70,48,70,59,yes,7275001.0,0,8631,10461
20,unipolar major depression,patients,primary study,10,10,30.0,20-40,20,40,30,yes,5416685.0,0,15035,15652
19,unipolar major depression,patients,validation study,10,9,30.0,20-40,20,40,30,yes,5416685.0,0,15035,15652
19,healthy,healthy,primary sample,10,9,30.0,20-40,20,40,30,yes,5416685.0,0,15035,15652
20,healthy,healthy,validation sample,10,10,30.0,20-40,20,40,30,yes,5416685.0,0,15035,15652
29,healthy,healthy,young adults,10,19,23.8,19-30,19,30,23,yes,8318202.0,0,8764,10050
32,healthy,healthy,older adults,15,17,71.0,65-81,65,81,71,yes,8318202.0,0,8764,10050
10,healthy,healthy,PET,0,0,0.0,0-0,0,0,0,yes,4280551.0,1,45357,48516
17,healthy,healthy,fMRI,0,0,0.0,0-0,0,0,0,yes,4280551.0,1,45357,48516
24,healthy,healthy,landscape architecture design,10,14,34.5,null,32,37,34,yes,8699602.0,0,8940,9612
10,IMP,patients,IMP,1,9,16.3,14-17,14,17,16,yes,5686883.0,1,7085,9280
10,healthy,healthy,control,1,9,16.1,14-17,14,17,16,yes,5686883.0,1,7085,9280
15,HC,healthy,HC,7,8,30.0,20-40,20,40,30,yes,6246657.0,5,14403,18029
15,MDD,patients,MDD,7,8,30.0,20-40,20,40,30,yes,6246657.0,5,14403,18029
15,BDD,patients,BDD,7,8,30.0,20-40,20,40,30,yes,6246657.0,5,14403,18029
17,healthy,healthy,healthy,7,10,25.0,1930,19,30,25,yes,5218407.0,0,9582,10592
15,Autism Spectrum Disorder,patients,ASD,12,3,38.0,38-38,38,38,38,yes,2648877.0,0,10521,12299
18,non-autistic control,healthy,control,13,5,32.0,32-32,32,32,32,yes,2648877.0,0,10521,12299
216,healthy,healthy,young adults,0,0,0.0,0-0,0,0,0,yes,8828908.0,0,5902,6887
40,heroin relapser,patients,heroin relapser,20,20,30.0,20-40,20,40,30,yes,4990879.0,0,7250,8174
19,ADHD,patients,ADHD,14,5,10.5,8-12,8,12,10,yes,4936600.0,3,7788,11563
6,DCD,patients,DCD,4,2,10.2,8-12,8,12,10,yes,4936600.0,3,7788,11563
14,DCD+ADHD,patients,DCD+ADHD,10,4,10.4,8-12,8,12,10,yes,4936600.0,3,7788,11563
21,typically developing,healthy,typically developing,12,9,10.6,8-12,8,12,10,yes,4936600.0,3,7788,11563
19,obese,patients,obese women,0,19,45.0,35-55,35,55,45,yes,5537800.0,0,8484,10261
39,TSD,patients,TSD,22,17,33.58,21-50,21,50,33,yes,7260173.0,0,30977,33120
15,control,healthy,control,7,8,34.59,21-50,21,50,34,yes,7260173.0,0,30977,33120
42,bronchial asthma,patients,asthmatic patients,7,10,50.76,null,0,0,0,yes,5394595.0,0,5950,6820
60,null,healthy,HCs,0,0,0.0,null,0,0,0,yes,5394595.0,0,5950,6820
10,healthy,healthy,healthy,9,1,24.0,1929,1929,1929,1929,yes,10839845.0,0,8294,9673
10,healthy,healthy,healthy,4,6,0.0,0-0,0,0,0,yes,3913832.0,2,10766,11948
19,healthy,healthy,younger adults,5,14,22.62,18-27,18,27,22,yes,3660406.0,0,12986,16917
15,healthy,healthy,older adults,5,10,61.15,51-71,51,71,61,yes,3660406.0,0,12986,16917
44,chronic osteoarthritis,patients,acupuncture nave,25,19,43.7,43-70,43,70,43,yes,4175730.0,1,19248,20025
57,typically developing children without reading disorders,healthy,children,31,26,10.19,10.19-10.19,10,10,10,yes,7099000.0,1,8182,9167
20,Christians,healthy,Christians,10,10,24.5,18-30,18,30,24,yes,2748718.0,0,25958,29873
21,Nonbelievers,healthy,Nonbelievers,12,9,25.5,18-30,18,30,25,yes,2748718.0,0,25958,29873
28,ASD,patients,ADOS-2,0,0,13.5,10-17,10,17,13,yes,5870086.0,0,9508,11703
31,HC,healthy,HC,0,0,0.0,0-0,0,0,0,yes,10995093.0,0,22623,23112
27,UD,patients,UD,0,0,0.0,0-0,0,0,0,yes,10995093.0,0,22623,23112
21,BD18 Type I,patients,BD18 Type I,0,0,0.0,0-0,0,0,0,yes,10995093.0,0,22623,23112
3,BD18 Type II,patients,BD18 Type II,0,0,0.0,0-0,0,0,0,yes,10995093.0,0,22623,23112
147,MDD,patients,depression,50,97,22.5,18-45,18,45,22,yes,5598991.0,0,7260,9372
130,healthy,healthy,control,49,81,22.5,18-45,18,45,22,yes,5598991.0,0,7260,9372
24,healthy,healthy,right-handed,12,12,0.0,0-0,0,0,0,yes,3362560.0,0,7514,9845
2,PTSD,patients,PTSD,0,0,0.0,0-0,0,0,0,yes,6024199.0,6,27139,30530
2,Control,healthy,Control,0,0,0.0,0-0,0,0,0,yes,6024199.0,6,27139,30530
12,tinnitus,patients,imaged participants,1,11,45.0,21-72,21,72,45,yes,6667657.0,0,7425,9782
17,PD,patients,PD patients,2,15,0.0,0-0,0,0,0,yes,6382839.0,0,30626,32637
17,HC,healthy,HC,4,13,0.0,0-0,0,0,0,yes,6382839.0,0,30626,32637
70,BD,patients,BD patients,0,0,37.0,18-65,18,65,37,yes,6908505.0,0,7076,8109
18,smokers,patients,smokers,18,0,25.11,21-33,21,33,25,yes,3409150.0,1,8569,9966
2,healthy,healthy,healthy,0,0,0.0,0-0,0,0,0,yes,2494616.0,4,13101,15507
2,patients,patients,patients,0,0,0.0,0-0,0,0,0,yes,2494616.0,4,13101,15507
30,MDD,patients,MDD,9,21,26.76,18-45,18,45,26,yes,4869560.0,0,6957,9021
29,healthy,healthy,healthy,15,14,26.76,18-45,18,45,26,yes,4869560.0,0,6957,9021
18,naive,healthy,naive,18,0,0.0,0-0,0,0,0,yes,2995581.0,0,24448,24931
72,ischemic stroke,patients,temporal lobe group,0,0,65.0,60-70,60,70,65,yes,5665859.0,0,7175,10809
