count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid,rank,start_char,end_char
134.0,null,healthy,null,72.0,62.0,5.34,5.08-5.22,5.0,5.0,,yes,9108497,0,9234,12550
51.0,,healthy,adolescents,26.0,25.0,13.98,12.03-15.94,12.0,15.0,,yes,6664004,0,9809,23094
23.0,"No participant had a history of neurological, major medical, or psychiatric disorder",healthy,healthy participants,18.0,5.0,222.0,,,,,yes,4330553,0,10707,25010
45.0,none,healthy,all participants,18.0,27.0,24.49,not specified,,,,yes,5428836,0,26550,38484
20.0,no history of neurological or psychological disease,healthy,ASU American Sign Language undergraduate program,1.0,19.0,21.4,18-31,18.0,31.0,,yes,6136263,0,16503,27168
67.0,,healthy,healthy adolescents,36.0,31.0,15.6,13-18,13.0,18.0,,yes,8379626,0,7716,18650
26.0,free of any past or present mental disorders,healthy,typically developing children and adolescents,17.0,9.0,11.42,8-16,8.0,16.0,,yes,7005761,0,7835,20536
100.0,multi-problem young adults,patients,multi-problem young adults,100.0,0.0,,,,,,yes,6004505,0,7938,17136
22.0,,healthy,healthy controls,,,,,,,,yes,6004505,0,7938,17136
15.0,Autism Spectrum Disorder,patients,ASD,12.0,3.0,38.0,null,,,,yes,2648877,0,10521,18387
18.0,non-autistic,healthy,control,13.0,5.0,32.0,null,,,,yes,2648877,0,10521,18387
30.0,,healthy,Christians,7.0,8.0,,,,,,yes,2748718,0,25958,36513
30.0,,healthy,Nonbelievers,7.0,8.0,,,,,,yes,2748718,0,25958,36513
21.0,none,healthy,healthy volunteers,12.0,14.0,23.04,18-35,18.0,35.0,,yes,6697392,0,7141,36717
12.0,problematic tinnitus,patients,imaged participants,5.0,7.0,,21-72,21.0,72.0,,yes,6667657,0,7425,27130
15.0,none,healthy,right-handed,8.0,7.0,22.21,null,,,,yes,6195265,0,13097,22246
28.0,schizophrenia,patients,Sz,,,,21-54,21.0,54.0,,yes,8883821,0,7464,18951
