pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
8883821,schizophrenia,C0036341,schizophrenia,0.9999999403953552,28.0,165,7464,8764
8883821,schizophrenia,C0220702,SCHIZOPHRENIA 1,0.9719115495681763,28.0,165,7464,8764
8883821,schizophrenia,C1864010,SCHIZOPHRENIA 2,0.9640104174613953,28.0,165,7464,8764
8883821,schizophrenia,C1838069,SCHIZOPHRENIA 3,0.95782870054245,28.0,165,7464,8764
8883821,schizophrenia,C1864153,SCHIZOPHRENIA 5,0.9558221101760864,28.0,165,7464,8764
8883821,autism spectrum disorder,C0524528,Autism spectrum disorder,1.0,20.0,166,7464,8764
8883821,autism spectrum disorder,C1510586,Autism spectrum disorder,1.0,20.0,166,7464,8764
8883821,autism spectrum disorder,C0004352,Autism disorder,0.8036827445030212,20.0,166,7464,8764
8883821,autism spectrum disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7405830025672913,20.0,166,7464,8764
8883821,autism spectrum disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.7330023646354675,20.0,166,7464,8764
9407088,autism spectrum disorder,C0524528,Autism spectrum disorder,1.0,539.0,389,29835,31900
9407088,autism spectrum disorder,C1510586,Autism spectrum disorder,1.0,539.0,389,29835,31900
9407088,autism spectrum disorder,C0004352,Autism disorder,0.8036827445030212,539.0,389,29835,31900
9407088,autism spectrum disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7405830025672913,539.0,389,29835,31900
9407088,autism spectrum disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.7330023646354675,539.0,389,29835,31900
9407088,autism spectrum disorder,C0524528,Autism spectrum disorder,1.0,521.0,390,29835,31900
9407088,autism spectrum disorder,C1510586,Autism spectrum disorder,1.0,521.0,390,29835,31900
9407088,autism spectrum disorder,C0004352,Autism disorder,0.8036827445030212,521.0,390,29835,31900
9407088,autism spectrum disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7405830025672913,521.0,390,29835,31900
9407088,autism spectrum disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.7330023646354675,521.0,390,29835,31900
8782893,attention/deficit hyperactivity disorder,C1263846,Attention Deficit Hyperactivity Disorder,0.8728547692298889,167.0,303,7940,10880
8782893,attention/deficit hyperactivity disorder,C0339002,Attention deficit disorder without hyperactivity,0.7822327017784119,167.0,303,7940,10880
8978988,GNE myopathy,C1853926,GNE myopathy,1.0,1.0,306,10738,12684
8978988,GNE myopathy,C0026848,MYOPATHY,0.8232776522636414,1.0,306,10738,12684
8978988,GNE myopathy,C3711389,Actin myopathy,0.7283757328987122,1.0,306,10738,12684
8978988,GNE myopathy,C0206157,Rod myopathy,0.7133665680885315,1.0,306,10738,12684
8978988,GNE myopathy,C3710589,Cap myopathy,0.709169864654541,1.0,306,10738,12684
9205431,APOE-4 carriers,C0007294,carriers,0.6121917963027954,38.0,315,45406,48741
9205431,APOE-4 carriers,C3888060,Carriers,0.6121917963027954,38.0,315,45406,48741
9205431,APOE-4 carriers,C1736727,Dental Carriers,0.5158060193061829,38.0,315,45406,48741
9205431,APOE-4 carriers,C0560175,Carrier,0.5092262029647827,38.0,315,45406,48741
9205431,APOE-4 carriers,C1325398,carrier,0.5092262029647827,38.0,315,45406,48741
9461104,Pontocerebellar hypoplasia,C0266468,Pontocerebellar Hypoplasia,1.0,6.0,385,8676,10310
9461104,Pontocerebellar hypoplasia,C1261175,Pontocerebellar hypoplasia,1.0,6.0,385,8676,10310
