count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,assesment_type,pmcid,rank,start_char,end_char
15.0,,healthy,,5.0,10.0,31.69,22-54,22.0,54.0,,imaging,7981326,0,9579,10553
23.0,,healthy,,18.0,5.0,222.0,,,,,,4330553,0,10707,11145
16.0,,healthy,,9.0,7.0,,18-35,18.0,35.0,,,3183226,0,28053,28467
15.0,,healthy,,8.0,7.0,22.21,,,,,imaging,6195265,0,13097,13950
45.0,,healthy,,18.0,27.0,24.49,,,,,imaging,5428836,0,26550,27302
12.0,,healthy,first experiment,6.0,6.0,26.0,23-39,23.0,39.0,,behavioral,3422286,0,8558,9073
14.0,,healthy,second experiment,7.0,7.0,23.0,24-30,24.0,30.0,,behavioral,3422286,0,8558,9073
48.0,,healthy,,24.0,24.0,26.4,,,,,other,2993660,0,19298,19503
23.0,,healthy,,11.0,12.0,24.2,18-31,18.0,31.0,,behavioral,4436102,0,11102,11949
18.0,,healthy,,9.0,9.0,30.3,,,,,imaging,6726765,0,7719,8450
13.0,,healthy,,8.0,5.0,,20-22,20.0,22.0,,imaging,6989437,0,9041,9577
40.0,,healthy,,32.0,8.0,20.5,18-28,18.0,28.0,,null,3605341,0,12059,12659
10.0,,healthy,,4.0,6.0,20.8,,,,,imaging,6528067,0,11679,12501
20.0,,healthy,,12.0,8.0,24.4,19-35,19.0,35.0,,other,3147157,0,7853,8437
51.0,,healthy,adults,10.0,41.0,43.71,27.49-55.91,27.0,55.0,,behavioral,6664004,0,9809,11672
53.0,,healthy,adolescents,26.0,27.0,13.37,12.18-14.82,12.0,14.0,,behavioral,6664004,0,9809,11672
51.0,,healthy,adolescents,26.0,25.0,13.98,12.03-15.94,12.0,15.0,,imaging,6664004,0,9809,11672
20.0,,healthy,,10.0,10.0,22.3,19-28,19.0,28.0,,behavioral,7002496,0,9427,10109
20.0,,healthy,,9.0,11.0,23.0,18-27,18.0,27.0,,imaging,7339141,0,6763,7761
22.0,,healthy,,17.0,5.0,,19-41,19.0,41.0,,behavioral,4349631,0,5763,6450
16.0,,healthy,,11.0,5.0,,20-59,20.0,59.0,,imaging,4349631,0,5763,6450
33.0,,healthy,right-handed,17.0,16.0,25.3,,,,,other,3676955,0,3877,4423
18.0,,healthy,,9.0,9.0,,20-32,20.0,32.0,,other,4318429,0,6580,6988
55.0,,healthy,,17.0,38.0,13.082,12-14,12.0,14.0,,null,7057279,0,6753,7414
40.0,,healthy,,20.0,20.0,20.0,18-23,18.0,23.0,,imaging,4370584,0,11424,11801
11.0,,healthy,,8.0,3.0,33.1,25-47,25.0,47.0,,behavioral,6328158,0,9509,10064
12.0,,healthy,,12.0,0.0,31.0,18-55,18.0,55.0,,other,3258233,0,6311,6921
33.0,,healthy,,18.0,15.0,25.242,,,,,behavioral,7156375,0,46685,47319
15.0,,healthy,,8.0,7.0,,,,,,behavioral,2390848,0,22735,23247
23.0,,healthy,,4.0,19.0,27.69,,,,,behavioral,2144768,0,59146,59841
18.0,,healthy,,9.0,9.0,23.67,19-35,19.0,35.0,,imaging,2144768,0,59146,59841
11.0,,healthy,,7.0,4.0,28.0,,,,,behavioral,6198067,0,8869,9939
31.0,,healthy,,10.0,21.0,24.3,20-29,20.0,29.0,,imaging,6847157,0,10334,11086
23.0,,healthy,,23.0,0.0,29.96,,,,,other,9548384,0,4925,6082
19.0,,healthy,,12.0,7.0,27.9,,,,,imaging,7456884,0,7752,8584
17.0,,healthy,,5.0,12.0,24.0,18-31,18.0,31.0,,other,5902547,0,15536,16064
15.0,,healthy,,15.0,0.0,22.33,,,,,behavioral,4838249,0,6364,7265
29.0,,healthy,,15.0,14.0,34.5,,,,,other,6868994,0,7334,7745
15.0,,healthy,,7.0,8.0,25.6,22-30,22.0,30.0,,behavioral,3889700,0,16355,17140
1418.0,,healthy,discovery and replication,546.0,872.0,22.39,18-35,18.0,35.0,,behavioral,9564100,0,24189,25345
55.0,,healthy,,55.0,0.0,24.255,18-35,18.0,35.0,,imaging,6434022,0,30465,32004
24.0,,healthy,,0.0,24.0,24.0,20-30,20.0,30.0,,imaging,3965851,0,13949,14774
18.0,,healthy,,0.0,18.0,24.0,20-30,20.0,30.0,,imaging,3965851,0,13949,14774
13.0,,healthy,DCG,5.0,8.0,23.1,20-26,20.0,26.0,,other,4034409,0,13409,14663
13.0,,healthy,TCG,4.0,9.0,23.5,21-26,21.0,26.0,,other,4034409,0,13409,14663
31.0,,healthy,,16.0,15.0,,18-22,18.0,22.0,,imaging,3539852,0,18645,19836
33.0,,healthy,,33.0,0.0,23.86,19-32,19.0,32.0,,imaging,4380440,0,10534,11508
40.0,,healthy,,24.0,16.0,68.4,,,,,imaging,5717028,0,6784,7467
9.0,,healthy,right-handed,6.0,3.0,26.6,,,,,behavioral,8893203,0,8471,9034
12.0,,healthy,right handed,6.0,6.0,25.4,20-40,20.0,40.0,,behavioral,2151069,0,9653,9985
22.0,,healthy,,19.0,15.0,,18-25,18.0,25.0,,imaging,6908964,0,11176,11873
46.0,,healthy,,,,23.65,18-30,18.0,30.0,,behavioral,3672681,0,13846,15500
32.0,,healthy,,,,23.0,19-30,19.0,30.0,,imaging,3672681,0,13846,15500
58.0,,healthy,right handed,26.0,32.0,24.02,,,,,behavioral,3492343,0,6544,7179
18.0,,healthy,,0.0,18.0,21.04,,,,,imaging,4975394,0,6805,7868
20.0,,healthy,,16.0,4.0,,20-36,20.0,36.0,,other,4717328,0,6158,6634
10.0,,healthy,,5.0,5.0,29.5,23-43,23.0,43.0,,imaging,3407245,0,19626,20086
18.0,,healthy,,18.0,0.0,23.9,18-33,18.0,33.0,,imaging,4255751,0,5627,6165
38.0,,healthy,WC group,9.0,10.0,24.08,,,,,behavioral,7395771,0,8721,10120
38.0,,healthy,non-WC group,9.0,10.0,24.08,,,,,behavioral,7395771,0,8721,10120
18.0,,healthy,,10.0,8.0,25.0,22-29,22.0,29.0,,imaging,4493392,0,8993,9484
34.0,,healthy,,14.0,20.0,73.2,56-83,56.0,83.0,,imaging,7779563,0,11922,13361
67.0,,healthy,,36.0,31.0,15.6,13-18,13.0,18.0,,imaging,8379626,0,7716,9834
33.0,,healthy,,17.0,16.0,26.0,20-48,20.0,48.0,,imaging,5447679,0,9581,10407
134.0,,healthy,,72.0,62.0,5.34,5.08-5.22,5.0,5.0,,imaging,9108497,0,9500,12550
26.0,,healthy,,17.0,9.0,11.42,8-16,8.0,16.0,,imaging,7005761,0,7835,9334
26.0,,healthy,,9.0,17.0,24.9,20-38,20.0,38.0,,imaging,6646524,0,12647,13860
13.0,,healthy,,6.0,7.0,28.4,19-45,19.0,45.0,,behavioral,7430162,0,7494,8254
100.0,,healthy,multi-problem young adults,100.0,0.0,,,,,,imaging,6004505,0,7938,9518
22.0,,healthy,,,,,,,,,imaging,6004505,0,7938,9518
20.0,,healthy,,1.0,19.0,21.4,18-31,18.0,31.0,,imaging,6136263,0,16503,17874
18.0,,healthy,,11.0,7.0,26.7,18-60,18.0,60.0,22.5,imaging,2775905,0,7644,8859
45.0,nicotine dependence,patients,smokers,,,,,,,,imaging,3511796,0,3425,5707
44.0,,healthy,non-smokers,,,,,,,,imaging,3511796,0,3425,5707
31.0,first episode psychosis (FEP),patients,,26.0,5.0,26.64,,,,,other,8550949,0,5892,6567
35.0,,healthy,,26.0,9.0,27.12,,,,,other,8550949,0,5892,6567
16.0,,healthy,,10.0,6.0,30.1,18-40,18.0,40.0,,imaging,4072722,0,12442,12867
24.0,,healthy,postpartum,0.0,24.0,,,,,,behavioral,7272423,0,23741,25117
27.0,,healthy,control,0.0,27.0,,,,,,behavioral,7272423,0,23741,25117
47.0,,healthy,,0.0,47.0,19.62,,,,,imaging,5548834,0,7835,9127
272.0,,healthy,,123.0,149.0,24.5,18-68,18.0,68.0,,imaging,4115625,0,8650,9157
16.0,,healthy,,8.0,8.0,22.5,,,,,imaging,6344389,0,14874,15604
19.0,,healthy,,10.0,9.0,22.8,19-31,19.0,31.0,,other,3869649,0,5579,6473
20.0,,healthy,,,,,,,,,behavioral,4477935,0,7547,7912
21.0,,healthy,,12.0,14.0,23.04,18-35,18.0,35.0,,imaging,6697392,0,7141,11005
9.0,,healthy,,7.0,2.0,27.72,,,,,imaging,4029023,0,7975,8487
16.0,,healthy,,16.0,0.0,23.8,20-30,20.0,30.0,,imaging,3866656,0,9829,10487
17.0,,healthy,,7.0,10.0,,21-31,21.0,31.0,,imaging,8837589,0,7291,8667
22.0,,healthy,,11.0,11.0,23.33,,,,,imaging,6215330,0,17562,19091
21.0,,healthy,,9.0,12.0,26.76,,,,,other,6215330,0,17562,19091
220.0,,healthy,adolescents,115.0,105.0,14.61,14-15,14.0,15.0,,imaging,3991323,0,7509,9650
28.0,,healthy,adults,17.0,11.0,25.24,20-39,20.0,39.0,,imaging,3991323,0,7509,9650
113.0,,healthy,behavioral,,,17.11,12.27-21.96,12.0,21.0,,behavioral,7038454,0,6792,9449
104.0,,healthy,neuroimaging,,,,,,,,imaging,7038454,0,6792,9449
10.0,,healthy,,3.0,7.0,39.8,18-50,18.0,50.0,,imaging,2935390,0,7096,7923
17.0,,healthy,,0.0,17.0,20.7,18-23,18.0,23.0,,behavioral,6688454,0,12232,14191
15.0,,healthy,Experiment 1,12.0,3.0,26.0,22.4-29.6,22.0,30.0,,imaging,4458841,0,45697,46616
14.0,,healthy,Experiment 2,7.0,7.0,28.0,24.1-31.9,24.0,32.0,,imaging,4458841,0,45697,46616
22.0,,healthy,,5.0,17.0,,23-41,23.0,41.0,,imaging,3483694,0,28089,30834
43.0,MDD,patients,,13.0,30.0,,,,,,behavioral,7118554,0,8471,10050
56.0,,healthy,,30.0,26.0,,,,,,behavioral,7118554,0,8471,10050
21.0,,healthy,,21.0,0.0,25.77,20-40,20.0,40.0,,imaging,5776089,0,7315,8159
