count,diagnosis,group_name,mri_sample,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,pmcid,rank,start_char,end_char
23.0,healthy,patients,yes,healthy,18.0,5.0,222.0,222,222.0,222.0,222.0,4330553,,10707,11145
16.0,healthy,patients,yes,healthy,9.0,7.0,18.35,18-35,18.0,35.0,19.0,3183226,,28053,28467
23.0,healthy,patients,no,healthy,11.0,12.0,24.2,18-31,18.0,31.0,24.0,4436102,,11102,11949
12.0,,healthy,yes,first experiment,6.0,6.0,26.0,23-39,23.0,39.0,26.0,3422286,,8558,9073
14.0,,healthy,yes,second experiment,7.0,7.0,23.0,24-30,24.0,30.0,23.0,3422286,,8558,9073
20.0,healthy,patients,yes,right-handed,10.0,10.0,31.5,31.5-34.3,31.0,34.0,32.0,6726765,,7719,8450
18.0,healthy,patients,yes,right-handed,9.0,9.0,30.3,30.3-34.3,30.0,34.0,32.0,6726765,,7719,8450
45.0,healthy,patients,yes,participants,18.0,27.0,24.49,24-27,24.0,27.0,25.0,5428836,,26550,27302
45.0,healthy,patients,yes,recipients,,,,,,,,5428836,,26550,27302
51.0,,healthy,no,Study 1,31.0,41.0,43.71,27.49-55.91,27.0,55.0,43.0,6664004,,9809,11672
53.0,,healthy,no,Study 1,25.0,27.0,13.37,12.18-14.82,12.0,15.0,13.0,6664004,,9809,11672
51.0,,healthy,yes,Study 2,32.0,25.0,13.98,12.03-15.94,12.0,16.0,14.0,6664004,,9809,11672
20.0,,healthy,yes,participants,9.0,11.0,23.0,18-27,18.0,27.0,23.0,7339141,,6763,7761
40.0,,healthy,yes,all,32.0,8.0,20.5,18-28,18.0,28.0,20.0,3605341,,12059,12659
20.0,healthy,patients,yes,undergraduate and postgraduate students,10.0,10.0,22.3,19-28,19.0,28.0,22.0,7002496,,9427,10109
15.0,healthy,patients,yes,undergraduate students,10.0,5.0,20.22,20-22 years,20.0,22.0,20.0,6989437,,9041,9577
17.0,healthy,patients,yes,right-handed,8.0,9.0,22.21,19-24,19.0,24.0,22.0,6195265,,13097,13950
48.0,healthy,patients,yes,treatment groups,24.0,24.0,26.4,26.4 - 4.9,21.0,31.0,26.0,2993660,,19298,19503
15.0,healthy,patients,yes,healthy adult volunteers,5.0,10.0,31.69,22-54,22.0,54.0,31.0,7981326,,9579,10553
40.0,healthy,patients,yes,right-handed,20.0,20.0,20.0,18-23 yrs,18.0,23.0,20.0,4370584,,11424,11801
10.0,,healthy,no,N/A,4.0,6.0,20.8,N/A,20.0,21.0,20.0,6528067,,11679,12501
20.0,healthy,patients,yes,healthy adults,12.0,8.0,24.4,19-35,19.0,35.0,24.0,3147157,,7853,8437
