pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
2494616,"unilateral, upper limb amputation with phantom limb pain",C0031315,PHANTOM LIMB PAIN,0.6612910032272339,13.0,166,8118,9527
2494616,"unilateral, upper limb amputation with phantom limb pain",C0239377,Upper limb pain,0.6390936374664307,13.0,166,8118,9527
2648877,Autism Spectrum Disorder,C0524528,Autism spectrum disorder,0.9845767617225647,15.0,130,10521,12299
2648877,Autism Spectrum Disorder,C1510586,Autism spectrum disorder,0.9845767617225647,15.0,130,10521,12299
2648877,Autism Spectrum Disorder,C0004352,Autism disorder,0.7902024388313293,15.0,130,10521,12299
2648877,Autism Spectrum Disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7291615009307861,15.0,130,10521,12299
2648877,Autism Spectrum Disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.721701443195343,15.0,130,10521,12299
3002948,phobic prone,C0033422,Prone,0.6658980846405029,15.0,381,8290,11062
3002948,phobic prone,C0349231,phobic disorder,0.5297921299934387,15.0,381,8290,11062
3002948,eating disorders prone,C0013473,EATING DISORDERS,0.8533963561058044,15.0,382,8290,11062
3002948,eating disorders prone,C0596170,binge disorders eating,0.7596011161804199,15.0,382,8290,11062
3002948,eating disorders prone,C0855228,Disordered Eating,0.7074334025382996,15.0,382,8290,11062
3002948,eating disorders prone,C4042784,Feeding and Eating Disorders,0.6898925304412842,15.0,382,8290,11062
3002948,eating disorders prone,C0013447,disorders earing,0.6843474507331848,15.0,382,8290,11062
3045463,idiopathic Parkinson's Disease,C0030567,Idiopathic Parkinson's disease,0.9701851606369019,21.0,193,6018,9180
3182403,Parkinson's disease,C0030567,DISEASE PARKINSON'S,0.9629952907562256,21.0,369,5559,6387
3409150,smokers,C0337664,Smokers,0.9901642799377441,18.0,165,8569,9966
3409150,smokers,C0337671,ex smokers,0.9168155789375305,18.0,165,8569,9966
3409150,smokers,C3241966,Smoker,0.822004497051239,18.0,165,8569,9966
3409150,smokers,C0399478,Smokers keratosis,0.79575514793396,18.0,165,8569,9966
3409150,smokers,C0337666,cigar smokers,0.7600803375244141,18.0,165,8569,9966
3423412,Alzheimer's Disease,C0002395,alzheimer's disease,0.946372389793396,14.0,330,6223,8710
3423412,Alzheimer's Disease,C1863052,Alzheimer's Disease 1,0.932833194732666,14.0,330,6223,8710
3423412,Alzheimer's Disease,C1843013,Alzheimer's Disease 3,0.9258649349212646,14.0,330,6223,8710
3423412,Alzheimer's Disease,C1847200,Alzheimer's Disease 4,0.9239505529403687,14.0,330,6223,8710
3423412,Alzheimer's Disease,C3554452,Alzheimer's Disease 17,0.8971145153045654,14.0,330,6223,8710
3423412,Mild Cognitive Impairment,C1270972,Mild cognitive impairment,0.9720510244369507,8.0,331,6223,8710
3423412,Mild Cognitive Impairment,C0338656,cognitive impairment,0.8798452019691467,8.0,331,6223,8710
3423412,Mild Cognitive Impairment,C3554639,Severe cognitive impairment,0.7759852409362793,8.0,331,6223,8710
3447931,probable or definite sporadic amyotrophic lateral sclerosis,C0002736,Amyotrophic lateral sclerosis,0.6997033357620239,20.0,371,7348,8813
3447931,probable or definite sporadic amyotrophic lateral sclerosis,C1862939,Amyotrophic Lateral Sclerosis 1,0.687286913394928,20.0,371,7348,8813
3447931,probable or definite sporadic amyotrophic lateral sclerosis,C1822695,amyotrophic lateral sclerosis 4,0.6791830658912659,20.0,371,7348,8813
3447931,probable or definite sporadic amyotrophic lateral sclerosis,C1414860,amyotrophic lateral sclerosis 6,0.676025927066803,20.0,371,7348,8813
3447931,probable or definite sporadic amyotrophic lateral sclerosis,C2931786,Amyotrophic Lateral Sclerosis 6,0.676025927066803,20.0,371,7348,8813
3510214,Mal de Debarquement Syndrome,C1608983,Mal de debarquement syndrome,0.9310316443443298,20.0,402,12585,13447
3510214,Mal de Debarquement Syndrome,C0853695,syndrome de,0.6530311703681946,20.0,402,12585,13447
3510214,Mal de Debarquement Syndrome,C0878681,Dent syndrome,0.6516091823577881,20.0,402,12585,13447
3510214,Mal de Debarquement Syndrome,C4303593,DEND syndrome,0.5567460060119629,20.0,402,12585,13447
3510214,Mal de Debarquement Syndrome,C0039082,Syndrome,0.5411238670349121,20.0,402,12585,13447
3511796,Nicotine dependence,C0028043,Nicotine dependence,0.9813451766967773,45.0,71,3425,5707
3511796,Nicotine dependence,C0011546,Dependence,0.7324756979942322,45.0,71,3425,5707
3511796,Nicotine dependence,C0439857,Dependence,0.7324756979942322,45.0,71,3425,5707
3511796,Nicotine dependence,C2911355,Personal History of Nicotine Dependence,0.7251219749450684,45.0,71,3425,5707
3511796,Nicotine dependence,C0451156,Fagerstrom test for nicotine dependence,0.6860552430152893,45.0,71,3425,5707
3520927,healthy,C3898900,Healthy,0.9904220700263977,19.0,335,5472,7428
3520927,healthy,C0452415,Healthy Eating,0.791326642036438,19.0,335,5472,7428
3520927,healthy,C2963171,Healthy Aging,0.7907637357711792,19.0,335,5472,7428
3520927,healthy,C0018684,Health,0.7903434038162231,19.0,335,5472,7428
3520927,healthy,C2986479,Healthy Control,0.7621602416038513,19.0,335,5472,7428
3520927,healthy,C3898900,Healthy,0.9904220700263977,20.0,336,5472,7428
3520927,healthy,C0452415,Healthy Eating,0.791326642036438,20.0,336,5472,7428
3520927,healthy,C2963171,Healthy Aging,0.7907637357711792,20.0,336,5472,7428
3520927,healthy,C0018684,Health,0.7903434038162231,20.0,336,5472,7428
3520927,healthy,C2986479,Healthy Control,0.7621602416038513,20.0,336,5472,7428
3701149,subclinical auditory hallucinations,C0233762,auditory hallucinations,0.7975395321846008,12.0,345,11779,14691
3701149,subclinical auditory hallucinations,C0018524,hallucinations,0.6365694999694824,12.0,345,11779,14691
3701149,22q11.2 Deletion Syndrome,C0012236,22q11.2 deletion syndrome,0.9288032054901123,13.0,346,11779,14691
3701149,22q11.2 Deletion Syndrome,C0220704,22q11.2 Deletion Syndrome,0.9288032054901123,13.0,346,11779,14691
3701149,22q11.2 Deletion Syndrome,C2936346,22q11 Deletion Syndrome,0.842059314250946,13.0,346,11779,14691
3701149,22q11.2 Deletion Syndrome,C4518343,Distal 22q11.2 microdeletion syndrome,0.8059272766113281,13.0,346,11779,14691
3701149,22q11.2 Deletion Syndrome,C1853490,Deletion 22q13 Syndrome,0.7591739892959595,13.0,346,11779,14691
3742334,marijuana abuse,C0024809,Marijuana abuse,0.9404541850090027,10.0,261,7512,11306
3742334,marijuana abuse,C0024810,MARIJUANA USE,0.7966894507408142,10.0,261,7512,11306
3742334,marijuana abuse,C4084815,Use Marijuana,0.7966894507408142,10.0,261,7512,11306
3742334,marijuana abuse,C4316909,marijuana use,0.7966894507408142,10.0,261,7512,11306
3742334,marijuana abuse,C0024808,marijuana,0.7473585605621338,10.0,261,7512,11306
3777673,obsessive-compulsive disorder,C0028768,Obsessive-Compulsive Disorder,0.9727429151535034,19.0,400,6638,9015
3777673,obsessive-compulsive disorder,C1420214,obsessive-compulsive disorder 1,0.9617857336997986,19.0,400,6638,9015
3777673,obsessive-compulsive disorder,C0009595,Obsessive-Compulsive Personality Disorder,0.8704097270965576,19.0,400,6638,9015
3791281,binge drinkers,C0556346,binge drink,0.7454811334609985,12.0,208,6198,9421
3791281,binge drinkers,C0556338,Drinker,0.6526684761047363,12.0,208,6198,9421
3791281,binge drinkers,C0457801,non drinker,0.5923289060592651,12.0,208,6198,9421
3791281,binge drinkers,C0262816,Syringe Drivers,0.550137460231781,12.0,208,6198,9421
3791281,binge drinkers,C0337676,Social drinker,0.5141023397445679,12.0,208,6198,9421
3842522,Autism Spectrum Disorder,C0524528,Autism spectrum disorder,0.9845767617225647,42.0,398,11123,13089
3842522,Autism Spectrum Disorder,C1510586,Autism spectrum disorder,0.9845767617225647,42.0,398,11123,13089
3842522,Autism Spectrum Disorder,C0004352,Autism disorder,0.7902024388313293,42.0,398,11123,13089
3842522,Autism Spectrum Disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7291615009307861,42.0,398,11123,13089
3842522,Autism Spectrum Disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.721701443195343,42.0,398,11123,13089
3877773,Tourette syndrome,C0040517,Tourette Syndrome,0.9815427660942078,20.0,361,6179,7775
3877773,Tourette syndrome,C0039082,syndrome,0.7029404640197754,20.0,361,6179,7775
3893192,high subjective happiness,C0439655,Subjective,0.6289372444152832,26.0,277,6340,7837
3893192,high subjective happiness,C0018592,Happiness,0.6119201183319092,26.0,277,6340,7837
3893192,high subjective happiness,C4726114,ERT - Happiness Responded as Happiness,0.5200124382972717,26.0,277,6340,7837
3893192,high subjective happiness,C0743979,Subjective Fever,0.5029634833335876,26.0,277,6340,7837
3893192,low subjective happiness,C0439655,Subjective,0.6430723071098328,25.0,278,6340,7837
3893192,low subjective happiness,C0018592,Happiness,0.6256727576255798,25.0,278,6340,7837
3893192,low subjective happiness,C4726114,ERT - Happiness Responded as Happiness,0.531699538230896,25.0,278,6340,7837
3893192,low subjective happiness,C0743979,Subjective Fever,0.5142674446105957,25.0,278,6340,7837
3893192,low subjective happiness,C2936631,Subjective Health,0.5056203007698059,25.0,278,6340,7837
3913832,Anorexia Nervosa,C0003125,Anorexia nervosa,0.9716147184371948,31.0,143,7409,9049
3913832,Anorexia Nervosa,C5396958,Orthorexia nervosa,0.7781927585601807,31.0,143,7409,9049
3913832,Anorexia Nervosa,C5568567,Prepubertal anorexia nervosa,0.7446135878562927,31.0,143,7409,9049
3913832,Anorexia Nervosa,C0003123,Anorexia,0.7075310349464417,31.0,143,7409,9049
3984441,Dementia with Lewy Bodies,C0752347,Dementia with Lewy Bodies,0.9271519780158997,16.0,234,7293,9018
3984441,Dementia with Lewy Bodies,C0085200,Lewy bodies,0.6206755042076111,16.0,234,7293,9018
3984441,Dementia with Lewy Bodies,C0011265,dementia,0.5850844383239746,16.0,234,7293,9018
3984441,Dementia with Lewy Bodies,C0497327,dementia,0.5850844383239746,16.0,234,7293,9018
4017227,Left Temporal Lobe Epilepsy,C0014556,temporal lobe epilepsy,0.8962212204933167,12.0,422,7012,9327
4017227,Left Temporal Lobe Epilepsy,C1842564,Familial temporal lobe epilepsy,0.7984831929206848,12.0,422,7012,9327
4017227,Left Temporal Lobe Epilepsy,C4551957,"Epilepsy, Familial Temporal Lobe 1",0.7089934349060059,12.0,422,7012,9327
4017227,Left Temporal Lobe Epilepsy,C1838062,Autosomal Dominant Lateral Temporal Lobe Epilepsy,0.6996681690216064,12.0,422,7012,9327
4017227,Right Temporal Lobe Epilepsy,C0014556,temporal lobe epilepsy,0.8781139254570007,11.0,423,7012,9327
4017227,Right Temporal Lobe Epilepsy,C1842564,Familial temporal lobe epilepsy,0.782350480556488,11.0,423,7012,9327
4017227,Right Temporal Lobe Epilepsy,C4551957,"Epilepsy, Familial Temporal Lobe 1",0.6946689486503601,11.0,423,7012,9327
4029608,generalized Social Anxiety Disorder,C0270549,generalized anxiety disorder,0.8641172647476196,27.0,333,8770,11234
4029608,generalized Social Anxiety Disorder,C3641330,Generalized Anxiety Disorder Scale,0.8041279315948486,27.0,333,8770,11234
4029608,generalized Social Anxiety Disorder,C0031572,Social Anxiety Disorder,0.7756987810134888,27.0,333,8770,11234
4029608,generalized Social Anxiety Disorder,C2982365,Generalized Anxiety Disorder Questionnaire,0.6945269703865051,27.0,333,8770,11234
4030253,Internet Addiction,C5392078,Internet Addiction,0.9517041444778442,18.0,420,12909,14925
4030253,Internet Addiction,C0085281,Addiction,0.6845893859863281,18.0,420,12909,14925
4030253,Internet Addiction,C3898714,Internet Intervention,0.6720983982086182,18.0,420,12909,14925
4030253,Internet Addiction,C0282111,internet,0.6623272895812988,18.0,420,12909,14925
4030253,Internet Addiction,C4505067,Addiction medicine,0.5753015279769897,18.0,420,12909,14925
4034409,delay conditioning group (Diagnosis Control Group),C0009932,control group,0.680313229560852,13.0,38,13409,14663
4034409,delay conditioning group (Diagnosis Control Group),C1707731,Diagnosis Group,0.611869752407074,13.0,38,13409,14663
4034409,delay conditioning group (Diagnosis Control Group),C0011928,Diagnosis related group,0.5603793263435364,13.0,38,13409,14663
4034409,delay conditioning group (Diagnosis Control Group),C0441833,group,0.528040885925293,13.0,38,13409,14663
4034409,delay conditioning group (Diagnosis Control Group),C0687744,group,0.528040885925293,13.0,38,13409,14663
4034409,trace conditioning group (Treatment Control Group),C0009932,control group,0.6803130507469177,13.0,39,13409,14663
4034409,trace conditioning group (Treatment Control Group),C5205742,Treatment Group,0.6372094750404358,13.0,39,13409,14663
4034409,trace conditioning group (Treatment Control Group),C0441833,group,0.5280408263206482,13.0,39,13409,14663
4034409,trace conditioning group (Treatment Control Group),C0687744,group,0.5280408263206482,13.0,39,13409,14663
4034409,trace conditioning group (Treatment Control Group),C1257890,Group,0.5280408263206482,13.0,39,13409,14663
4048172,muscle-skeletal low back chronic pain,C0150055,chronic pain,0.5692530870437622,13.0,244,8990,10646
4048172,muscle-skeletal low back chronic pain,C0024031,Low Back Pain,0.5667563676834106,13.0,244,8990,10646
4048172,muscle-skeletal low back chronic pain,C0242692,Skeletal muscle,0.5479021668434143,13.0,244,8990,10646
4174863,incarcerated,C0392751,Incarcerated,0.9653053879737854,157.0,196,7405,10633
4174863,incarcerated,C0205255,incarceration,0.7775150537490845,157.0,196,7405,10633
4174863,incarcerated,C0740375,Incarcerated Inguinal Hernia,0.6922501921653748,157.0,196,7405,10633
4174863,incarcerated,C0856366,Incarcerated Retroverted Uterus,0.6770039200782776,157.0,196,7405,10633
4175730,chronic osteoarthritis in the right and/or left knee,C0409959,Osteoarthritis of the Knee,0.6555429697036743,30.0,147,19248,20025
4175730,chronic osteoarthritis in the right and/or left knee,C2350242,Osteoarthritis of the Spine,0.545050323009491,30.0,147,19248,20025
4175730,chronic osteoarthritis in the right and/or left knee,C0029408,OSTEOARTHRITIS,0.5404552221298218,30.0,147,19248,20025
4184784,Parkinson's Disease,C0030567,DISEASE PARKINSON'S,0.9629952907562256,37.0,305,6434,8455
4190683,"Attention Deficit Hyperactivity Disorder, hyperactive-impulsive/inattentive combined subtype",C1263846,"Attention deficit hyperactivity disorder, hyperactive impulsive type",0.8556283712387085,30.0,271,9065,12151
4190683,"Attention Deficit Hyperactivity Disorder, hyperactive-impulsive/inattentive combined subtype",C0339002,"Attention Deficit Hyperactivity Disorder, Inattentive Type",0.8178698420524597,30.0,271,9065,12151
4215530,born at less than 33 weeks gestation,C5667453,Less than 6 Weeks,0.6091763377189636,24.0,191,10681,12744
4215530,born at less than 33 weeks gestation,C2825545,Gestational Weeks,0.5953896045684814,24.0,191,10681,12744
4215530,born at less than 33 weeks gestation,C0032961,gestation,0.5291000008583069,24.0,191,10681,12744
4215530,born at less than 33 weeks gestation,C0439671,Gestation,0.5291000008583069,24.0,191,10681,12744
4265725,Autism Spectrum Condition,C0524528,Autism spectrum disorder,0.6396151185035706,18.0,317,10617,12494
4265725,Autism Spectrum Condition,C1510586,Autism spectrum disorder,0.6396151185035706,18.0,317,10617,12494
4265725,Autism Spectrum Condition,C0348080,Condition,0.6033999919891357,18.0,317,10617,12494
4265725,Autism Spectrum Condition,C1705253,Condition,0.6033999919891357,18.0,317,10617,12494
4265725,Autism Spectrum Condition,C4042936,Action Spectrum,0.603369951248169,18.0,317,10617,12494
4416052,Social Anxiety Disorder (generalized subtype),C0270549,generalized anxiety disorder,0.7379187941551208,53.0,241,5666,9459
4416052,Social Anxiety Disorder (generalized subtype),C3641330,Generalized Anxiety Disorder Scale,0.6866927742958069,53.0,241,5666,9459
4416052,Social Anxiety Disorder (generalized subtype),C0031572,Social Anxiety Disorder,0.6852928400039673,53.0,241,5666,9459
4416052,Social Anxiety Disorder (generalized subtype),C2982365,Generalized Anxiety Disorder Questionnaire,0.5930876135826111,53.0,241,5666,9459
4473263,chronic left-hemisphere stroke,C0228176,Left Brain Hemisphere,0.5325112342834473,32.0,204,8398,9988
4530666,Anorexia Nervosa,C0003125,Anorexia nervosa,0.9716147184371948,23.0,263,9512,12494
4530666,Anorexia Nervosa,C5396958,Orthorexia nervosa,0.7781927585601807,23.0,263,9512,12494
4530666,Anorexia Nervosa,C5568567,Prepubertal anorexia nervosa,0.7446135878562927,23.0,263,9512,12494
4530666,Anorexia Nervosa,C0003123,Anorexia,0.7075310349464417,23.0,263,9512,12494
4589842,"depression (2 major depressive disorder, 8 bipolar disorder depression)",C0005587,bipolar disorder depression,0.8458645939826965,10.0,266,6061,7568
4589842,"depression (2 major depressive disorder, 8 bipolar disorder depression)",C0011581,depressive disorder,0.8239498138427734,10.0,266,6061,7568
4589842,"depression (2 major depressive disorder, 8 bipolar disorder depression)",C0041696,Major Depressive Disorder,0.7809494137763977,10.0,266,6061,7568
4589842,"depression (2 major depressive disorder, 8 bipolar disorder depression)",C1269683,Major Depressive Disorder,0.7809494137763977,10.0,266,6061,7568
4589842,"depression (2 major depressive disorder, 8 bipolar disorder depression)",C0005586,Manic Depressive Disorder,0.7599583864212036,10.0,266,6061,7568
4869560,"first-episode, drug-naive Major Depressive Disorder",C0041696,Major Depressive Disorder,0.7087497711181641,30.0,168,6957,9021
4869560,"first-episode, drug-naive Major Depressive Disorder",C1269683,Major Depressive Disorder,0.7087497711181641,30.0,168,6957,9021
4869560,"first-episode, drug-naive Major Depressive Disorder",C0024517,Single Episode of Major Depressive Disorder,0.6792275309562683,30.0,168,6957,9021
4869560,"first-episode, drug-naive Major Depressive Disorder",C0011581,depressive disorder,0.6618187427520752,30.0,168,6957,9021
4869560,"first-episode, drug-naive Major Depressive Disorder",C0005586,Manic Depressive Disorder,0.6226588487625122,30.0,168,6957,9021
4936600,attention-deficit hyperactivity disorder,C1263846,Attention-deficit hyperactivity disorder,0.9772719144821167,19.0,134,7788,11563
4936600,attention-deficit hyperactivity disorder,C0339002,Attention deficit disorder without hyperactivity,0.8315789699554443,19.0,134,7788,11563
4936600,attention-deficit hyperactivity disorder,C0041671,Attention-deficit disorder,0.7890127301216125,19.0,134,7788,11563
4936600,Developmental coordination disorder,C0011757,Developmental Coordination Disorder,0.9609795808792114,6.0,135,7788,11563
4936600,Developmental coordination disorder,C0008073,developmental disorder,0.7852920889854431,6.0,135,7788,11563
4936600,Developmental coordination disorder,C0494698,Dental Developmental Disorder,0.7621097564697266,6.0,135,7788,11563
