count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,pmcid,rank,start_char,end_char
33.0,Autism Spectrum Disorder,patients,ASD,15.0,3.0,38.0,25-51,25.0,51.0,35.0,2648877,,10521.0,18387
18.0,,healthy,control,13.0,5.0,32.0,22-40,22.0,40.0,30.0,2648877,,10521.0,18387
54.0,healthy,patients,Christians,22.0,19.0,24.5,18-30,18.0,30.0,25.0,2748718,,25958.0,36513
54.0,healthy,patients,Nonbelievers,22.0,19.0,24.5,18-30,18.0,30.0,25.0,2748718,,25958.0,36513
20.0,healthy,patients,ASL,1.0,19.0,21.4,18-31,18.0,31.0,21.0,6136263,,16503.0,27168
20.0,healthy,patients,English,1.0,19.0,21.4,18-31,18.0,31.0,21.0,6136263,,16503.0,27168
146.0,healthy,patients,FinnBrain Birth Cohort Study,72.0,62.0,5.34,5.08-5.22,5.0,5.0,5.0,9108497,,9234.0,12550
134.0,healthy,patients,FinnBrain Birth Cohort Study,72.0,62.0,5.34,5.08-5.22,5.0,5.0,5.0,9108497,,9234.0,12550
26.0,,healthy,children and adolescents,17.0,9.0,11.42,8-16,8.0,16.0,11.0,7005761,,7835.0,20536
26.0,,healthy,children and adolescents,17.0,9.0,11.42,8-16,8.0,16.0,11.0,7005761,,7835.0,20536
45.0,healthy,patients,participants,18.0,27.0,24.49,24.49-27.00,24.0,27.0,24.0,5428836,,26550.0,38484
45.0,healthy,patients,recipients,27.0,18.0,24.49,24.49-27.00,24.0,27.0,24.0,5428836,,26550.0,38484
74.0,,healthy,adolescents,37.0,37.0,13.18,13-18,13.0,18.0,13.0,8379626,,7716.0,18650
67.0,,healthy,adolescents,31.0,36.0,15.6,15-16,15.0,16.0,15.0,8379626,,7716.0,18650
66.0,,healthy,adolescents,31.0,35.0,15.6,15-16,15.0,16.0,15.0,8379626,,7716.0,18650
23.0,healthy,patients,healthy,18.0,5.0,22.2,20-25,20.0,25.0,22.0,4330553,,10707.0,25010
10.0,depression,patients,depression,5.0,5.0,30.5,25-35,25.0,35.0,30.0,4330553,,10707.0,25010
15.0,anxiety,patients,anxiety,8.0,7.0,28.7,25-30,25.0,30.0,28.0,4330553,,10707.0,25010
51.0,healthy,patients,adults,31.0,41.0,43.71,27.49-55.91,27.0,55.0,43.0,6664004,,9809.0,23094
55.0,healthy,patients,adolescents,25.0,27.0,13.37,12.18-14.82,12.0,15.0,13.0,6664004,,9809.0,23094
51.0,healthy,patients,adolescents,32.0,25.0,13.98,12.03-15.94,12.0,16.0,14.0,6664004,,9809.0,23094
