pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
2494616,"unilateral, upper limb amputation with phantom limb pain",C0031315,PHANTOM LIMB PAIN,0.6612910032272339,13.0,168,8118,9527
2494616,"unilateral, upper limb amputation with phantom limb pain",C0239377,Upper limb pain,0.6390936374664307,13.0,168,8118,9527
2648877,Autism Spectrum Disorder,C0524528,Autism spectrum disorder,0.9845767617225647,15.0,132,10521,12299
2648877,Autism Spectrum Disorder,C1510586,Autism spectrum disorder,0.9845767617225647,15.0,132,10521,12299
2648877,Autism Spectrum Disorder,C0004352,Autism disorder,0.7902024388313293,15.0,132,10521,12299
2648877,Autism Spectrum Disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7291615009307861,15.0,132,10521,12299
2648877,Autism Spectrum Disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.721701443195343,15.0,132,10521,12299
2748718,Christians,C0344346,christians,0.9938357472419739,20.0,152,25958,29873
2748718,Christians,C0008532,Christian,0.8474553227424622,20.0,152,25958,29873
2748718,Christians,C0242220,Protestant Christian,0.6515681743621826,20.0,152,25958,29873
2748718,Christians,C0030328,disease weber christians,0.6396371722221375,20.0,152,25958,29873
2748718,Christians,C2678194,Christianson Syndrome,0.6355597972869873,20.0,152,25958,29873
2748718,Nonbelievers,C0002771,Pain Relievers,0.6171939969062805,21.0,153,25958,29873
2748718,Nonbelievers,C0004951,Believe,0.5784448385238647,21.0,153,25958,29873
3002948,phobic prone,C0033422,Prone,0.6658980846405029,15.0,370,8290,11062
3002948,phobic prone,C0349231,phobic disorder,0.5297921299934387,15.0,370,8290,11062
3002948,eating disorders prone,C0013473,EATING DISORDERS,0.8533963561058044,15.0,371,8290,11062
3002948,eating disorders prone,C0596170,binge disorders eating,0.7596011161804199,15.0,371,8290,11062
3002948,eating disorders prone,C0855228,Disordered Eating,0.7074334025382996,15.0,371,8290,11062
3002948,eating disorders prone,C4042784,Feeding and Eating Disorders,0.6898925304412842,15.0,371,8290,11062
3002948,eating disorders prone,C0013447,disorders earing,0.6843474507331848,15.0,371,8290,11062
3045463,idiopathic Parkinson's disease,C0030567,Idiopathic Parkinson's disease,0.9701851606369019,21.0,196,6018,9180
3182403,Parkinson's disease,C0030567,DISEASE PARKINSON'S,0.9629952907562256,21.0,359,5559,6387
3423412,Alzheimer disease,C0002395,ALZHEIMER DISEASE,0.9341862797737122,14.0,323,6223,8710
3423412,Alzheimer disease,C1364818,Alzheimer disease,0.9341862797737122,14.0,323,6223,8710
3423412,Alzheimer disease,C1418985,Alzheimer disease 3,0.9084566235542297,14.0,323,6223,8710
3423412,Alzheimer disease,C1843013,Alzheimer disease 3,0.9084566235542297,14.0,323,6223,8710
3423412,Alzheimer disease,C1418986,Alzheimer disease 4,0.9060426950454712,14.0,323,6223,8710
3423412,mild cognitive impairment,C1270972,Mild cognitive impairment,0.9720510244369507,8.0,324,6223,8710
3423412,mild cognitive impairment,C0338656,cognitive impairment,0.8798452019691467,8.0,324,6223,8710
3423412,mild cognitive impairment,C3554639,Severe cognitive impairment,0.7759852409362793,8.0,324,6223,8710
3447931,probable or definite sporadic amyotrophic lateral sclerosis,C0002736,Amyotrophic lateral sclerosis,0.6997033357620239,20.0,361,7348,8813
3447931,probable or definite sporadic amyotrophic lateral sclerosis,C1862939,Amyotrophic Lateral Sclerosis 1,0.687286913394928,20.0,361,7348,8813
3447931,probable or definite sporadic amyotrophic lateral sclerosis,C1822695,amyotrophic lateral sclerosis 4,0.6791830658912659,20.0,361,7348,8813
3447931,probable or definite sporadic amyotrophic lateral sclerosis,C1414860,amyotrophic lateral sclerosis 6,0.676025927066803,20.0,361,7348,8813
3447931,probable or definite sporadic amyotrophic lateral sclerosis,C2931786,Amyotrophic Lateral Sclerosis 6,0.676025927066803,20.0,361,7348,8813
3510214,mal de debarquement syndrome,C1608983,Mal de debarquement syndrome,0.9310316443443298,20.0,395,12585,13447
3510214,mal de debarquement syndrome,C0853695,syndrome de,0.6530311703681946,20.0,395,12585,13447
3510214,mal de debarquement syndrome,C0878681,Dent syndrome,0.6516091823577881,20.0,395,12585,13447
3510214,mal de debarquement syndrome,C4303593,DEND syndrome,0.5567460060119629,20.0,395,12585,13447
3510214,mal de debarquement syndrome,C0039082,Syndrome,0.5411238670349121,20.0,395,12585,13447
3511796,smokers,C0337664,Smokers,0.9901642799377441,45.0,72,3425,5707
3511796,smokers,C0337671,ex smokers,0.9168155789375305,45.0,72,3425,5707
3511796,smokers,C3241966,Smoker,0.822004497051239,45.0,72,3425,5707
3511796,smokers,C0399478,Smokers keratosis,0.79575514793396,45.0,72,3425,5707
3511796,smokers,C0337666,cigar smokers,0.7600803375244141,45.0,72,3425,5707
3520927,healthy,C3898900,Healthy,0.9904220700263977,40.0,329,5472,7428
3520927,healthy,C0452415,Healthy Eating,0.791326642036438,40.0,329,5472,7428
3520927,healthy,C2963171,Healthy Aging,0.7907637357711792,40.0,329,5472,7428
3520927,healthy,C0018684,Health,0.7903434038162231,40.0,329,5472,7428
3520927,healthy,C2986479,Healthy Control,0.7621602416038513,40.0,329,5472,7428
3520927,healthy,C3898900,Healthy,0.9904220700263977,40.0,330,5472,7428
3520927,healthy,C0452415,Healthy Eating,0.791326642036438,40.0,330,5472,7428
3520927,healthy,C2963171,Healthy Aging,0.7907637357711792,40.0,330,5472,7428
3520927,healthy,C0018684,Health,0.7903434038162231,40.0,330,5472,7428
3520927,healthy,C2986479,Healthy Control,0.7621602416038513,40.0,330,5472,7428
3554651,proficient,C5204275,HR Proficient,0.8056691288948059,11.0,188,39775,41437
3554651,proficient,C5206881,ATM Proficient Tumor,0.6620137095451355,11.0,188,39775,41437
3554651,proficient,C2936630,Proficiency Testing,0.6176790595054626,11.0,188,39775,41437
3554651,proficient,C4330691,Mismatch Repair Protein Proficient,0.6095282435417175,11.0,188,39775,41437
3554651,proficient,C1553512,Operator Proficiency,0.6085749864578247,11.0,188,39775,41437
3554651,less-proficient,C5204275,HR Proficient,0.6127207279205322,10.0,189,39775,41437
3554651,less-proficient,C5206881,ATM Proficient Tumor,0.5034648180007935,10.0,189,39775,41437
3672681,healthy,C3898900,Healthy,0.9904220700263977,46.0,51,13846,15500
3672681,healthy,C0452415,Healthy Eating,0.791326642036438,46.0,51,13846,15500
3672681,healthy,C2963171,Healthy Aging,0.7907637357711792,46.0,51,13846,15500
3672681,healthy,C0018684,Health,0.7903434038162231,46.0,51,13846,15500
3672681,healthy,C2986479,Healthy Control,0.7621602416038513,46.0,51,13846,15500
3672681,healthy,C3898900,Healthy,0.9904220700263977,32.0,52,13846,15500
3672681,healthy,C0452415,Healthy Eating,0.791326642036438,32.0,52,13846,15500
3672681,healthy,C2963171,Healthy Aging,0.7907637357711792,32.0,52,13846,15500
3672681,healthy,C0018684,Health,0.7903434038162231,32.0,52,13846,15500
3672681,healthy,C2986479,Healthy Control,0.7621602416038513,32.0,52,13846,15500
3701149,adolescents with transient auditory hallucinations,C0233762,auditory hallucinations,0.661284863948822,12.0,335,11779,14691
3701149,adolescents with transient auditory hallucinations,C0018524,hallucinations,0.5278156399726868,12.0,335,11779,14691
3701149,adolescents with a 22q11.2 Deletion Syndrome,C0012236,22q11.2 deletion syndrome,0.713272213935852,13.0,336,11779,14691
3701149,adolescents with a 22q11.2 Deletion Syndrome,C0220704,22q11.2 Deletion Syndrome,0.713272213935852,13.0,336,11779,14691
3701149,adolescents with a 22q11.2 Deletion Syndrome,C2936346,22q11 Deletion Syndrome,0.6466574668884277,13.0,336,11779,14691
3701149,adolescents with a 22q11.2 Deletion Syndrome,C4518343,Distal 22q11.2 microdeletion syndrome,0.6189098954200745,13.0,336,11779,14691
3701149,adolescents with a 22q11.2 Deletion Syndrome,C1853490,Deletion 22q13 Syndrome,0.5830057859420776,13.0,336,11779,14691
3742334,chronic marijuana  users,C0205191,chronic,0.5726951360702515,10.0,257,7512,11306
3742334,chronic marijuana  users,C1555457,Chronic,0.5726951360702515,10.0,257,7512,11306
3742334,chronic marijuana  users,C0008679,chronic disorders,0.5049537420272827,10.0,257,7512,11306
3777673,patients,C0030705,patients,0.9821396470069885,30.0,394,12233,16884
