count,diagnosis,group_name,male count,female count,age mean,age range,age minimum,age maximum,age median,subgroup_name,mean age,pmcid,rank,start_char,end_char
15.0,healthy,volunteers,5.0,10.0,31.6,22-54,22.0,54.0,,,,7981326,,9579,10553
23.0,,healthy,18.0,5.0,222.0,,,,,,,4330553,,10707,11145
16.0,,healthy,9.0,7.0,,18-35,18.0,35.0,26.0,,,3183226,,28053,28467
15.0,,healthy,8.0,7.0,22.21,,,,,,,6195265,,13097,13950
45.0,healthy,participants,18.0,27.0,24.49,,,,,,,5428836,,26550,27302
1.0,,healthy,5.0,5.0,25.0,20-30,20.0,30.0,25.0,,,3422286,1.0,13307,16109
77.0,,healthy,24.0,24.0,26.4,21-31,21.0,31.0,26.0,,,2993660,,19298,19503
23.0,,healthy,11.0,12.0,24.2,18-31,18.0,31.0,,,,4436102,,11102,11949
20.0,healthy,volunteers,10.0,10.0,31.5,30-34,30.0,34.0,,,,6726765,,7719,8450
15.0,healthy,undergraduate students,10.0,5.0,,20-22,20.0,22.0,,healthy,,6989437,,9041,9577
40.0,healthy,volunteers,32.0,8.0,20.5,18-28,,,,,,3605341,,12059,12659
10.0,,healthy,4.0,6.0,20.8,,,,,,,6528067,,11679,12501
20.0,,healthy,12.0,8.0,24.4,19-35,19.0,35.0,24.0,,,3147157,,7853,8437
20.0,healthy,students,10.0,10.0,22.3,19-28,19.0,28.0,,undergraduate and postgraduate,,7002496,,9427,10109
20.0,,healthy,9.0,11.0,23.0,18-27,18.0,27.0,23.0,,,7339141,,6763,7761
22.0,healthy,participants,17.0,5.0,,19-41,,,,,,4349631,,5763,6450
16.0,healthy,participants,11.0,5.0,,20-59,,,,,,4349631,,5763,6450
18.0,,healthy,9.0,9.0,,20-32,,,,neurologically healthy,,4318429,,6580,6988
70.0,healthy,adolescents,25.0,45.0,13.0,12-14,12.0,14.0,13.0,,,7057279,,6753,7414
40.0,,healthy,20.0,20.0,20.0,18-23,18.0,23.0,,,,4370584,,11424,11801
11.0,,healthy,8.0,3.0,33.1,25-47,25.0,47.0,,,,6328158,,9509,10064
1.0,,healthy,0.0,1.0,30.0,25-35,25.0,35.0,30.0,adult female native English speaker,,3258233,4.0,6921,8113
34.0,without any previous history of psychiatric or neurological disorders,participants,19.0,15.0,25.24,20-33,20.0,33.0,,experiment,,7156375,,46685,47319
15.0,right-handed,subjects,8.0,7.0,,,,,,,,2390848,,22735,23247
23.0,,healthy,,,27.69,,,,,,,2144768,,59146,59841
18.0,,healthy,,,23.67,19-35,19.0,35.0,,,,2144768,,59146,59841
14.0,,healthy,5.0,9.0,27.0,27-27,27.0,27.0,27.0,,,6198067,,8869,9939
11.0,,healthy,7.0,4.0,28.0,28-28,28.0,28.0,28.0,,,6198067,,8869,9939
43.0,,healthy,10.0,21.0,24.3,20-29,20.0,29.0,,,,6847157,,10334,11086
1.0,COVID-19 pandemic,participants,,,,,,,,fMRI experiment,,9548384,1.0,6082,7628
27.0,healthy,volunteers,20.0,7.0,27.9,20-35,20.0,35.0,,paid,,7456884,,7752,8584
17.0,no neurological or psychiatric history,patients,5.0,12.0,24.0,18-31,18.0,31.0,24.0,,,5902547,,15536,16064
18.0,none,university students,18.0,0.0,22.33,,,,,,,4838249,,6364,7265
29.0,,healthy,15.0,14.0,34.5,NA,,,,,,6868994,,7334,7745
1418.0,,healthy,546.0,872.0,22.39,18-35,18.0,35.0,,,,9564100,,24189,25345
61.0,,healthy,61.0,0.0,24.255,18-35,18.0,35.0,24.0,,,6434022,,30465,32004
24.0,,healthy,0.0,24.0,24.0,2030,20.0,30.0,24.0,,,3965851,,13949,14774
18.0,,healthy,0.0,18.0,24.0,2030,20.0,30.0,24.0,,,3965851,,13949,14774
26.0,,healthy,5.0,8.0,23.1,,,,,,,4034409,,13409,14663
26.0,,healthy,4.0,9.0,23.5,,,,,,,4034409,,13409,14663
31.0,,healthy,16.0,15.0,,18-22,18.0,22.0,,,,3539852,,18645,19836
10.0,healthy,participants,7.0,3.0,26.6,24-30,24.0,30.0,26.0,right-handed,,8893203,,8471,9034
12.0,normal or corrected-to-normal vision,adults,6.0,6.0,25.4,20-40,20.0,40.0,25.0,,,2151069,,9653,9985
34.0,healthy,students,19.0,15.0,,1825,18.0,25.0,,,,6908964,,11176,11873
46.0,,healthy,23.0,23.0,23.65,18-30,18.0,30.0,23.0,,,3672681,,13846,15500
32.0,,healthy,16.0,16.0,23.0,19-30,19.0,30.0,23.0,,,3672681,,13846,15500
58.0,,healthy,26.0,32.0,24.02,,,,,,,3492343,,6544,7179
25.0,normal or corrected-to-normal vision,volunteers,0.0,25.0,21.04,,,,,right-handed female,,4975394,,6805,7868
20.0,,healthy,16.0,4.0,,20-36,,,,,,4717328,,6158,6634
10.0,,healthy,5.0,5.0,29.8,23-43,23.0,43.0,,,,3407245,,19626,20086
20.0,,healthy,20.0,0.0,23.9,18-33,,,,,,4255751,,5627,6165
18.0,,healthy,10.0,8.0,25.0,22-29,22.0,29.0,,,,4493392,,8993,9484
1.0,,healthy,,,,,,,,,,7779563,2.0,13361,16458
67.0,,healthy,36.0,31.0,15.6,13-18,13.0,18.0,15.0,adolescents,,8379626,,7716,9834
33.0,,healthy,17.0,16.0,26.0,20-48,20.0,48.0,,,,5447679,,9581,10407
121.0,,healthy,,,,,,,,,,9108497,3.0,44368,45820
26.0,typically developing,Caucasian children and adolescents,17.0,9.0,11.42,,,,,,,7005761,,7835,9334
34.0,neurologically healthy,participants,17.0,17.0,24.9,20-38,20.0,38.0,,,,6646524,,12647,13860
13.0,,healthy,6.0,7.0,28.4,19-45,,,,,,7430162,,7494,8254
110.0,multi-problem young adults,patients,110.0,0.0,,,,,,,,6004505,,7938,9518
25.0,,healthy,,,,,,,,,,6004505,,7938,9518
20.0,no history of neurological or psychological disease,ASL participants,1.0,19.0,21.4,18-31,18.0,31.0,,,,6136263,,16503,17874
18.0,,healthy,13.0,9.0,26.7,18-60,18.0,60.0,22.5,,,2775905,,7644,8859
45.0,smokers,patients,35.0,10.0,,18-65,18.0,65.0,,,,3511796,,3425,5707
44.0,,healthy,22.0,22.0,,18-65,18.0,65.0,,,,3511796,,3425,5707
31.0,drug-nave/free first episode psychosis (FEP),patients,26.0,5.0,26.64,26-31,26.0,31.0,28.0,,,8550949,,5892,6567
35.0,,healthy,26.0,9.0,27.12,,,,,,,8550949,,5892,6567
16.0,,healthy,10.0,6.0,30.1,18-40,,,,,,4072722,,12442,12867
25.0,2 to 4 month after parturition,patients,0.0,25.0,,,,,,postpartum,,7272423,,23741,25117
32.0,,healthy,0.0,32.0,,,,,,,,7272423,,23741,25117
54.0,undergraduate students,participants,,,19.62,,,,,female,,5548834,,7835,9127
272.0,,healthy,123.0,149.0,24.5,18-68,,,,,,4115625,,8650,9157
18.0,,healthy,8.0,10.0,22.5,,,,,right-handed,,6344389,,14874,15604
19.0,healthy,volunteers,10.0,9.0,22.8,19-31,19.0,31.0,,,,3869649,,5579,6473
20.0,,healthy,10.0,10.0,,,,,,right-handed,,4477935,,7547,7912
26.0,healthy,volunteers,12.0,14.0,23.04,18-35,18.0,35.0,,,,6697392,,7141,11005
10.0,,healthy,7.0,3.0,27.72,,,,,,,4029023,,7975,8487
17.0,,healthy,17.0,0.0,23.8,20-30,20.0,30.0,,,,3866656,,9829,10487
20.0,,healthy,9.0,11.0,26.0,21-31,21.0,31.0,26.0,,,8837589,,7291,8667
22.0,,healthy,11.0,11.0,23.33,23.33.46,23.0,46.0,,,,6215330,,17562,19091
24.0,,healthy,5.0,19.0,,,,,,,,6215330,,17562,19091
14.0,,healthy,7.0,7.0,25.07,25.076.53,25.0,53.0,,,,6215330,,17562,19091
21.0,,healthy,9.0,12.0,26.76,26.765.86,26.0,86.0,,,,6215330,,17562,19091
29.0,,healthy,15.0,14.0,20.5,18-25,18.0,25.0,21.0,,,7038454,6.0,9449,13357
17.0,,healthy,9.0,8.0,22.5,20-26,20.0,26.0,23.0,,,7038454,6.0,9449,13357
14.0,,healthy,7.0,7.0,23.5,21-28,21.0,28.0,24.0,,,7038454,6.0,9449,13357
10.0,,healthy,3.0,7.0,39.8,18-50,18.0,50.0,,,,2935390,,7096,7923
17.0,,healthy,0.0,17.0,20.5,18-23,18.0,23.0,20.0,,,6688454,1.0,28762,29707
21.0,healthy,patients,12.0,9.0,26.0,,,,,,,4458841,,45697,46616
22.0,healthy,patients,7.0,15.0,28.0,,,,,,,4458841,,45697,46616
25.0,,healthy,,,32.0,23-41,23.0,41.0,32.0,,,3483694,,28089,30834
43.0,MDD patients,patients,13.0,30.0,,,,,,,,7118554,,8471,10050
56.0,,healthy,30.0,26.0,,,,,,,,7118554,,8471,10050
22.0,,healthy,22.0,0.0,25.77,,20.0,40.0,,,,5776089,,7315,8159
1.0,,healthy,5.0,5.0,25.0,20-30,20.0,30.0,25.0,,,5890144,3.0,13996,17607
231.0,,healthy,,,,,,,,,,5390693,3.0,11142,12760
228.0,,healthy,,,,,,,,,,5390693,3.0,11142,12760
224.0,,healthy,,,,,,,,,,5390693,3.0,11142,12760
40.0,healthy,students,21.0,19.0,21.28,18-24,18.0,24.0,,,,8152834,,7186,8239
12.0,,healthy,7.0,5.0,38.0,23-60,23.0,60.0,,,,4075342,,7661,9066
36.0,normal or corrected-to-normal vision,native speakers of German,19.0,17.0,26.45,21-41 years,21.0,41.0,,,,3869681,,12247,13506
26.0,ASD,patients,26.0,0.0,,NA,,,,youth,,7194032,1.0,9309,10707
28.0,,healthy,28.0,0.0,,NA,,,,youth,,7194032,1.0,9309,10707
18.0,lung cancer patients,patients,10.0,8.0,59.0,48-70,,,60.0,,,7275001,,8631,10461
21.0,,healthy,11.0,10.0,59.0,48-70,,,60.0,,,7275001,,8631,10461
19.0,obese women,patients,0.0,19.0,,35-55,,,,obese women,,5537800,,8516,10261
29.0,self-reported healthy,young adults,10.0,19.0,23.8,19-30,19.0,30.0,,right-handed,,8318202,,8764,10050
32.0,self-reported healthy,older adult participants,15.0,17.0,71.0,65-81,65.0,81.0,,right-handed,,8318202,,8764,10050
20.0,screening visits,patients,10.0,10.0,,18-60,18.0,60.0,39.0,potential study subjects,,4280551,,39662,41442
24.0,,healthy,10.0,14.0,34.5,,,,,,,8699602,,8940,9612
1.0,chronic diseases,patients,,,,,,,,healthy adolescents,,5686883,3.0,9280,13001
21.0,,healthy,,,,,,,,,,6246657,,7306,10392
40.0,,healthy,,,,,,,,,,6246657,,7306,10392
70.0,,healthy,,,,,,,,,,6246657,,7306,10392
21.0,healthy,participants,8.0,13.0,24.9,19-30,,,,,,5218407,,9582,10592
20.0,healthy,participants,8.0,12.0,25.1,19-30,,,,,,5218407,,9582,10592
17.0,healthy,participants,7.0,10.0,25.0,19-30,,,,,,5218407,,9582,10592
15.0,Autism Spectrum Disorder,patients,12.0,3.0,38.0,25-55,25.0,55.0,40.0,,,2648877,,10521,12299
18.0,,healthy,13.0,5.0,32.0,20-45,20.0,45.0,30.0,,,2648877,,10521,12299
216.0,"no history of genetic psychiatric or neurological illness, psychiatric treatment, or drug or alcohol abuse",young adults,,,,,,,,Chinese Han populations,,8828908,,5902,6887
1.0,,healthy,1.0,0.0,25.0,,25.0,25.0,25.0,,,4990879,2.0,9253,11006
19.0,ADHD,patients,19.0,0.0,,,,,,ADHD alone,,4936600,3.0,7788,11563
6.0,DCD,patients,6.0,0.0,,,,,,DCD alone,,4936600,3.0,7788,11563
14.0,DCD+ADHD,patients,14.0,0.0,,,,,,DCD+ADHD,,4936600,3.0,7788,11563
21.0,,healthy,,,,,,,,typically developing,,4936600,3.0,7788,11563
70.0,,healthy,41.0,29.0,,21-50 years,,,,,,7260173,,30977,33120
42.0,bronchial asthma without acute attacks,patients,7.0,10.0,50.76,,,,,,,5394595,,5950,6820
60.0,,healthy,,,,,,,,,,5394595,,5950,6820
66.0,AN,patients,0.0,66.0,,,,,,,,3913832,,7409,9049
35.0,,healthy,0.0,35.0,,,,,,,,3913832,,7409,9049
134.0,,healthy,,,,,,,,,,8172304,8.0,8813,11619
38.0,,healthy,,,,,,,,,,3660406,,12986,16917
44.0,chronic osteoarthritis,patients,25.0,19.0,70.0,43-70,43.0,70.0,,acupuncture nave,,4175730,1.0,19248,20025
57.0,typically developing children without reading disorders,participants,31.0,26.0,10.19,,,,,,,7099000,1.0,8182,9167
41.0,neurologically healthy,subjects,22.0,19.0,,18-30,18.0,30.0,,Christians,,2748718,,25958,29873
33.0,ASD,children and adolescents,,,13.5,10-17,,,,,,5870086,,9508,11703
