count,diagnosis,group_name,subgroup_name,male count,female count,age mean,age range,age minimum,age maximum,age median,pmcid,rank,start_char,end_char
134.0,,healthy,,72.0,62.0,5.34,5.08-5.22,,,,9108497,,9234.0,12550
51.0,,healthy,Study 2 (fMRI) Adolescents,26.0,25.0,13.98,12.03-15.94,,,,6664004,,9809.0,23094
23.0,,healthy,,18.0,5.0,222.0,,,,,4330553,,10707.0,25010
45.0,,healthy,,18.0,27.0,24.49,,,,,5428836,,26550.0,38484
43.0,,healthy,,18.0,25.0,23.67,,,,,5428836,,26550.0,38484
32.0,,healthy,,13.0,19.0,23.97,,,,,5428836,,26550.0,38484
28.0,,healthy,,10.0,18.0,23.79,,,,,5428836,,26550.0,38484
19.0,,healthy,,7.0,12.0,24.84,,,,,5428836,,26550.0,38484
20.0,,healthy,,1.0,19.0,21.4,18-31,18.0,31.0,,6136263,,16503.0,27168
67.0,,healthy,,36.0,31.0,15.6,13-18,,,,8379626,,7716.0,18650
26.0,,healthy,,17.0,9.0,11.42,,,,,7005761,,7835.0,20536
100.0,,healthy,,,,,,,,,6004505,,7938.0,17136
22.0,,healthy,,,,,,,,,6004505,,7938.0,17136
15.0,,healthy,,12.0,3.0,,,,,,2648877,,10521.0,18387
18.0,,healthy,,13.0,5.0,,,,,,2648877,,10521.0,18387
30.0,,healthy,Christians,7.0,8.0,,,,,,2748718,,25958.0,36513
30.0,,healthy,Nonbelievers,7.0,8.0,,,,,,2748718,,25958.0,36513
26.0,,healthy,,12.0,14.0,23.04,,18.0,35.0,,6697392,,7141.0,36717
12.0,,healthy,,1.0,11.0,,21-72,21.0,72.0,,6667657,,7425.0,27130
15.0,,healthy,,8.0,7.0,22.21,,,,,6195265,,13097.0,22246
28.0,,healthy,,,,,21-54,,,,8883821,,7464.0,18951
20.0,,healthy,,,,,19-43,,,,8883821,,7464.0,18951
30.0,,healthy,,,,,19-54,,,,8883821,,7464.0,18951
46.0,,healthy,,32.0,14.0,22.61,,,,,7745153,,9299.0,12877
38.0,,healthy,,18.0,20.0,24.08,,,,,7395771,,8721.0,24500
26.0,,patients,DCG,5.0,8.0,23.1,19-29,,,,4034409,,13409.0,26379
26.0,,patients,TCG,4.0,9.0,23.5,19-29,,,,4034409,,13409.0,26379
1418.0,,healthy,,546.0,872.0,22.39,18-35,,,,9564100,,24189.0,51474
30.0,,healthy,,10.0,20.0,,18-25,18.0,25.0,,5881103,,15988.0,29621
103.0,,healthy,,52.0,51.0,32.5,,,,,3334814,,8117.0,17942
18.0,,healthy,,11.0,7.0,26.7,18-60,,,22.5,2775905,,7644.0,22822
14.0,,healthy,,5.0,9.0,27.0,20-34,,,,6198067,,8869.0,19563
34.0,,healthy,,14.0,20.0,73.2,56-83,56.0,83.0,,7779563,,11922.0,24537
13.0,chronic pain,patients,chronic pain group,4.0,9.0,51.8,43-65,,,,4048172,,8584.0,21370
13.0,,healthy,normal control group,4.0,9.0,48.7,38-62,,,,4048172,,8584.0,21370
72.0,ischemic stroke,patients,temporal lobe,,,,,,,,5665859,,7175.0,15026
72.0,ischemic stroke,patients,frontal lobe,,,,,,,,5665859,,7175.0,15026
72.0,ischemic stroke,patients,parietal lobe,,,,,,,,5665859,,7175.0,15026
15.0,,healthy,,,,,,,,,5665859,,7175.0,15026
20.0,,healthy,,9.0,11.0,23.0,18-27,18.0,27.0,,7339141,,6763.0,29517
19.0,younger adults,patients,,5.0,14.0,22.62,18-27,18.0,27.0,,3660406,,12704.0,30124
15.0,older adults,patients,,5.0,10.0,61.15,51-71,51.0,71.0,,3660406,,12704.0,30124
20.0,,healthy,,10.0,10.0,22.3,19-28,,,,7002496,,9427.0,20859
220.0,,healthy,adolescent group,115.0,105.0,14.61,14-15,14.0,15.0,,3991323,,7509.0,22523
28.0,,healthy,adult group,17.0,11.0,25.24,20-39,20.0,39.0,,3991323,,7509.0,22523
10.0,,healthy,,8.0,2.0,,,,,,3742334,,7512.0,22496
18.0,,healthy,,11.0,7.0,,,,,,3742334,,7512.0,22496
17.0,,healthy,female,0.0,17.0,20.7,18-23,18.0,23.0,,6688454,,12232.0,20363
104.0,,healthy,,,,17.11,12.27-21.96,,,,7038454,,6792.0,24030
21.0,,healthy,,14.0,7.0,,,,,,3045463,,6018.0,21237
19.0,,healthy,,12.0,7.0,,,,,,3045463,,6018.0,21237
11.0,,healthy,,8.0,3.0,33.1,25-47,25.0,47.0,,6328158,,9509.0,20148
15.0,,healthy,,10.0,5.0,,20-22,20.0,22.0,,6989437,,9041.0,18385
20.0,,healthy,,,,5.8,5.2-6.8,,,,4274095,,11741.0,25722
39.0,,healthy,,22.0,17.0,33.5,,,,,7260173,,30977.0,41739
15.0,,healthy,,7.0,8.0,34.5,,,,,7260173,,30977.0,41739
24.0,,healthy,,14.0,10.0,20.58,,,,,8939409,,8544.0,18377
23.0,,healthy,,10.0,13.0,21.13,,,,,8939409,,8544.0,18377
33.0,autism spectrum disorder,patients,,,,,10-17,10.0,17.0,,5870086,,9508.0,25571
15.0,,healthy,,9.0,6.0,39.2,,,,,3002948,,8290.0,19457
15.0,,healthy,,10.0,5.0,34.4,,,,,3002948,,8290.0,19457
42.0,,healthy,,42.0,0.0,23.86,,19.0,32.0,,4380440,,10534.0,28045
12.0,,healthy,first experiment,6.0,6.0,26.0,23-39,23.0,39.0,,3422286,,8558.0,18464
14.0,,healthy,second experiment,7.0,7.0,23.0,24-30,24.0,30.0,,3422286,,8558.0,18464
22.0,,healthy,,11.0,11.0,23.33,,,,,6215330,,17562.0,44976
13.0,,healthy,,,,,,60.0,80.0,,6509414,,8835.0,31062
14.0,,healthy,,,,,,60.0,80.0,,6509414,,8835.0,31062
40.0,,healthy,,20.0,20.0,20.0,18-23,,,,4370584,,11424.0,25493
53.0,Type 2 diabetes mellitus,patients,T2DM-CI,,,,45-75,45.0,75.0,,7829678,,7017.0,21035
53.0,Type 2 diabetes mellitus,patients,T2DM-NC,,,,45-75,45.0,75.0,,7829678,,7017.0,21035
39.0,,healthy,,,,,,,,,7829678,,7017.0,21035
24.0,VPT (Very Preterm),patients,,,,,,,,,4215530,,10681.0,22966
22.0,,healthy,,,,,,,,,4215530,,10681.0,22966
26.0,Autism spectrum disorder,patients,,,,,,,,,7194032,1.0,9309.0,18933
28.0,,healthy,,,,,,,,,7194032,1.0,9309.0,18933
13.0,,healthy,,11.0,2.0,52.92,32-75,32.0,75.0,,2494616,,8118.0,20615
6.0,,healthy,,,,43.0,30-56,30.0,56.0,,2494616,,8118.0,20615
14.0,,healthy,,3.0,11.0,25.0,18-33,,,,5371603,,24766.0,41275
15.0,,healthy,,6.0,9.0,25.17,20-37,,,,5371603,,24766.0,41275
39.0,,healthy,,,,,,,,,5266856,,11323.0,19859
37.0,,healthy,,,,,,,,,5266856,,11323.0,19859
21.0,,healthy,,15.0,6.0,17.5,,,,,5104469,,12106.0,23270
19.0,,healthy,,9.0,10.0,16.9,,,,,5104469,,12106.0,23270
27.0,,healthy,,21.0,6.0,17.5,,,,,5104469,,12106.0,23270
57.0,,healthy,,22.0,35.0,21.9,18-37,,,,6024199,,14405.0,25023
21.0,,healthy,,6.0,15.0,21.5,18-31,,,,6024199,,14405.0,25023
21.0,,healthy,,7.0,14.0,22.1,18-37,,,,6024199,,14405.0,25023
34.0,,healthy,,17.0,17.0,24.9,20-38,,,,6646524,,12647.0,35561
17.0,,healthy,,2.0,15.0,,,,,,6382839,,30626.0,39383
17.0,,healthy,,4.0,13.0,,,,,,6382839,,30626.0,39383
18.0,,healthy,,8.0,10.0,22.5,,,,,6344389,,14874.0,24733
30.0,,healthy,,11.0,21.0,230.41,,,,,8018944,,8670.0,27873
9.0,,healthy,,2.0,7.0,240.94,,,,,8018944,,8670.0,27873
18.0,,healthy,,10.0,8.0,25.0,22-29,,,,4493392,,8993.0,19279
272.0,,healthy,,123.0,149.0,24.45,18-68,18.0,68.0,,4115625,,8650.0,16536
39.0,,healthy,,21.0,18.0,21.33,18-24,,,,8152834,,7186.0,20774
19.0,,healthy,,0.0,19.0,,35-55,,,,5537800,,8484.0,19703
45.0,,healthy,,16.0,29.0,37.0,19-58,19.0,58.0,,4983635,,8102.0,31407
12.0,,healthy,,,,,,,,,4983635,,8102.0,31407
18.0,,healthy,,,,,,,,,4983635,,8102.0,31407
15.0,,healthy,,,,,,,,,4983635,,8102.0,31407
19.0,,healthy,,8.0,11.0,33.0,20-52,20.0,52.0,,4983635,,8102.0,31407
52.0,,healthy,,26.0,26.0,26.85,,,,,6290711,,7097.0,15731
52.0,,healthy,,26.0,26.0,28.5,,,,,6290711,,7097.0,15731
18.0,,healthy,,9.0,9.0,,20-32,20.0,32.0,,4318429,,6580.0,17848
19.0,,healthy,,10.0,9.0,22.8,19-31,19.0,31.0,,3869649,,5579.0,16896
70.0,,healthy,,,,37.0,,18.0,65.0,,6908505,,7076.0,15408
10.0,,healthy,,4.0,6.0,20.8,,,,,6528067,,11647.0,27400
15.0,,healthy,,8.0,7.0,,,,,,2390848,,22735.0,31351
7.0,,healthy,,7.0,0.0,23.5,21-28,21.0,28.0,,7406917,,8419.0,12364
20.0,,healthy,,20.0,0.0,23.9,18-33,18.0,33.0,,4255751,,5627.0,14947
32.0,,healthy,,,,,25-27,,,,5890144,,7227.0,26220
18.0,,healthy,,,,,48-70,48.0,70.0,,7275001,,8631.0,17518
21.0,,healthy,,,,,48-70,48.0,70.0,,7275001,,8631.0,17518
19.0,obsessive-compulsive disorder,patients,,,,,,,,,3777673,,6638.0,16887
19.0,,healthy,,,,,,,,,3777673,,6638.0,16887
21.0,,healthy,,8.0,13.0,24.9,19-30,19.0,30.0,,5218407,,9582.0,24346
20.0,,healthy,,8.0,12.0,25.1,19-30,19.0,30.0,,5218407,,9582.0,24346
17.0,,healthy,,7.0,10.0,25.0,19-30,19.0,30.0,,5218407,,9582.0,24346
53.0,,healthy,,36.0,17.0,29.9,,,,,4416052,,5666.0,15046
33.0,,healthy,,19.0,14.0,29.4,,,,,4416052,,5666.0,15046
18.0,healthy,patients,,9.0,9.0,23.67,19-35,,,,2144768,,58551.0,79269
55.0,,healthy,,55.0,0.0,24.255,,18.0,35.0,,6434022,,30465.0,45817
21.0,,healthy,,21.0,0.0,25.77,20-40,,,,5776089,,7315.0,16928
24.0,,healthy,,12.0,12.0,,,,,,3362560,,7514.0,17605
17.0,,healthy,,,,,,,,,7851842,,9615.0,19453
18.0,,healthy,,,,,,,,,7851842,,9615.0,19453
29.0,,healthy,,15.0,14.0,34.5,,,,,6868994,,7334.0,26564
70.0,,healthy,,25.0,45.0,13.0,12-14,,,,7057279,,6753.0,17864
55.0,,healthy,,17.0,38.0,13.08,,,,,7057279,,6753.0,17864
32.0,healthy,patients,,,,23.0,19-30,19.0,30.0,,3672681,,13846.0,26015
20.0,,healthy,,12.0,8.0,24.4,19-35,19.0,35.0,,3147157,,7853.0,18627
11.0,,healthy,,3.0,8.0,28.73,19-46,19.0,46.0,,3554651,,39775.0,47337
10.0,,healthy,,3.0,7.0,30.0,19-45,19.0,45.0,,3554651,,39775.0,47337
34.0,,healthy,,19.0,15.0,,18-25,,,,6908964,,11176.0,21583
31.0,,healthy,,,,,,,,,6678781,1.0,9492.0,23376
48.0,,healthy,,,,,,,,,6678781,1.0,9492.0,23376
19.0,,healthy,,11.0,8.0,45.3,,,,,7836234,,7759.0,23195
19.0,,healthy,,10.0,9.0,45.8,,,,,7836234,,7759.0,23195
14.0,,healthy,,6.0,8.0,24.8,22-29,,,,3078751,,10341.0,27071
22.0,,healthy,,17.0,5.0,,19-41,,,,4349631,,5763.0,26975
16.0,,healthy,,11.0,5.0,,20-59,,,,4349631,,5763.0,26975
29.0,,healthy,,16.0,13.0,23.6,21-33,,,,7989009,,43048.0,47082
13.0,,healthy,,6.0,7.0,28.4,19-45,,,,7430162,,7494.0,26701
41.0,,healthy,,25.0,16.0,37.1,20-54,,,,6457314,,5613.0,15497
42.0,,healthy,,25.0,17.0,36.86,22-55,,,,6457314,,5613.0,15497
10.0,,healthy,,,,,18-36,,,,4280551,,39662.0,53143
16.0,,healthy,,9.0,7.0,,18-35,,,,3183226,,28022.0,55392
16.0,,healthy,,12.0,4.0,,18-40,18.0,40.0,,6787094,,37350.0,41815
12.0,,healthy,,8.0,4.0,25.2,,,,,6585311,,8877.0,32783
10.0,,healthy,,6.0,4.0,66.7,,,,,6585311,,8877.0,32783
9.0,,healthy,,4.0,5.0,64.2,,,,,6585311,,8877.0,32783
23.0,,healthy,,,,,,,,,4530666,,8966.0,21133
24.0,,healthy,,,,,,,,,4530666,,8966.0,21133
19.0,,healthy,,12.0,7.0,27.9,20.5-35.3,,,,7456884,,7752.0,22123
18.0,smokers,patients,male,18.0,0.0,25.11,21-33,21.0,33.0,,3409150,,8385.0,20226
233.0,,healthy,,116.0,117.0,16.1,9.9-26.6,9.0,26.0,,5390693,,6438.0,17948
17.0,,healthy,,8.0,9.0,,65-81,,,,7838677,,6036.0,24910
28.0,,healthy,,14.0,14.0,,55-81,,,,7838677,,6036.0,24910
12.0,,healthy,,6.0,6.0,25.4,20-40,20.0,40.0,,2151069,,9653.0,20078
27.0,,healthy,,,,59.1,,,,,5903407,,7983.0,19980
24.0,,healthy,,,,57.0,,,,,5903407,,7983.0,19980
27.0,,healthy,,15.0,12.0,,,,,,4029608,,8770.0,22037
27.0,,healthy,,14.0,13.0,,,,,,4029608,,8770.0,22037
16.0,,healthy,,10.0,6.0,30.1,18-40,,,,4072722,,12442.0,28192
14.0,posttraumatic stress disorder,patients,,,,,,,,,8785646,,15850.0,36556
15.0,,healthy,,,,,,,,,8785646,,15850.0,36556
23.0,,healthy,,11.0,12.0,24.2,18-31,,,,4436102,,11102.0,28474
43.0,,healthy,,13.0,30.0,,,,,,7118554,,8471.0,17832
56.0,,healthy,,30.0,26.0,,,,,,7118554,,8471.0,17832
47.0,,healthy,female undergraduate students,0.0,47.0,19.62,,,,,5548834,,7835.0,23525
40.0,,healthy,,32.0,8.0,20.5,18-28,,,,3605341,,12059.0,26160
17.0,,healthy,,14.0,3.0,,19-25,,,,3605341,,12059.0,26160
10.0,,healthy,,5.0,5.0,,19-29,,,,3605341,,12059.0,26160
30.0,,healthy,,30.0,0.0,,,10.0,17.0,,4190683,,9065.0,20116
30.0,,healthy,,30.0,0.0,,,10.0,17.0,,4190683,,9065.0,20116
24.0,,healthy,,12.0,12.0,26.0,23-34,23.0,34.0,,3502502,,6711.0,31829
46.0,,healthy,,21.0,25.0,30.0,19-63,19.0,63.0,,3502502,,6711.0,31829
56.0,,healthy,football enthusiasts,54.0,2.0,34.4,21-60,21.0,60.0,,5460049,,6967.0,16028
17.0,Dementia with Lewy bodies,patients,,13.0,4.0,71.88,60-82,,,,6902076,,6917.0,17715
20.0,,healthy,,9.0,11.0,67.8,56-77,,,,6902076,,6917.0,17715
16.0,,healthy,,6.0,10.0,23.1,19-29,,,,5832413,,59945.0,79597
40.0,,healthy,,24.0,16.0,68.4,,,,,5717028,,6784.0,20550
18.0,Autism spectrum conditions (Autism Spectrum Condition),patients,ASC group,,,30.4,,,,,4265725,,10617.0,22526
18.0,,healthy,Control group,,,28.6,,,,,4265725,,10617.0,22526
24.0,,healthy,,12.0,12.0,,,,,,2525845,,5998.0,16377
66.0,,healthy,,,,,,,,,8933317,,8349.0,22009
31.0,,healthy,,,,,,,,,8933317,,8349.0,22009
22.0,Typically developing adolescents,patients,Control group,16.0,6.0,16.0,,12.0,20.0,,3701149,,11779.0,21523
12.0,Adolescents with transient auditory hallucinations,patients,AH group,5.0,7.0,15.97,,12.0,20.0,,3701149,,11779.0,21523
13.0,Adolescents with a 22q11.2 Deletion Syndrome,patients,22q11.2DS group,9.0,4.0,16.14,,12.0,20.0,,3701149,,11779.0,21523
18.0,,healthy,,9.0,9.0,30.34,,,,,6726765,,7719.0,25084
10.0,,healthy,,6.0,4.0,,,,,,7493988,,43154.0,53378
10.0,,healthy,,5.0,5.0,,,,,,7493988,,43154.0,53378
54.0,Cocaine Use Disorder,patients,CUs,,,,,,,,8459240,,7650.0,16120
54.0,,healthy,nonCUs,,,,,,,,8459240,,7650.0,16120
50.0,relapsing-remitting multiple sclerosis,patients,,,,,,,,,6200185,,7655.0,19689
25.0,,healthy,,,,,,,,,6200185,,7655.0,19689
34.0,,healthy,,,,,,,,,5292583,,6605.0,24979
35.0,,healthy,,,,,,,,,5292583,,6605.0,24979
20.0,,healthy,,12.0,8.0,,,,,,4477935,,7228.0,19930
10.0,,healthy,,5.0,5.0,29.5,23-43,23.0,43.0,,3407245,1.0,19626.0,28437
28.0,,healthy,,15.0,13.0,26.39,,,,,7481390,,8040.0,20261
58.0,,healthy,,26.0,32.0,24.02,,,,,3492343,,6411.0,16093
16.0,,healthy,,16.0,0.0,,8-18,,,,5279905,,7481.0,14126
16.0,,healthy,,,,,,,,,5279905,,7481.0,14126
9.0,,healthy,,6.0,3.0,23.5,19-27,,,,5719057,,36231.0,51889
34.0,,healthy,,34.0,0.0,,,,,,5413198,,10741.0,34068
26.0,,healthy,,26.0,0.0,,,,,,5413198,,10741.0,34068
11.0,,healthy,,5.0,6.0,31.0,25-38,,,,3132672,,7753.0,16961
8.0,,healthy,,3.0,5.0,,10-30,10.0,30.0,,6878729,,7912.0,16083
216.0,,healthy,,,,,,,,,8828908,,5902.0,15231
15.0,,healthy,,8.0,7.0,26.5,21-38,,,,3324921,,9056.0,28693
15.0,,healthy,,5.0,10.0,31.69,22-54,,,,7981326,,8937.0,26291
8.0,,healthy,,4.0,4.0,31.75,,,,,4522562,,34575.0,53294
43.0,,healthy,,10.0,21.0,24.3,20-29,,,,6847157,,10334.0,22594
42.0,,healthy,,,,,8-36,8.0,36.0,,3842522,,11123.0,22456
48.0,,healthy,,,,,8-36,8.0,36.0,,3842522,,11123.0,22456
12.0,,healthy,,7.0,5.0,38.0,23-60,,,,4075342,,7661.0,21619
