pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
2144768,healthy,C3898900,Healthy,0.9904220700263977,18.0,121,58551.0,79269
2144768,healthy,C0452415,Healthy Eating,0.791326642036438,18.0,121,58551.0,79269
2144768,healthy,C2963171,Healthy Aging,0.7907637357711792,18.0,121,58551.0,79269
2144768,healthy,C0018684,Health,0.7903434038162231,18.0,121,58551.0,79269
2144768,healthy,C2986479,Healthy Control,0.7621602416038513,18.0,121,58551.0,79269
3182403,Parkinson's disease,C0030567,DISEASE PARKINSON'S,0.9629952907562256,21.0,353,,26805
3409150,smokers,C0337664,Smokers,0.9901642799377441,18.0,155,8385.0,20226
3409150,smokers,C0337671,ex smokers,0.9168155789375305,18.0,155,8385.0,20226
3409150,smokers,C3241966,Smoker,0.822004497051239,18.0,155,8385.0,20226
3409150,smokers,C0399478,Smokers keratosis,0.79575514793396,18.0,155,8385.0,20226
3409150,smokers,C0337666,cigar smokers,0.7600803375244141,18.0,155,8385.0,20226
3423412,Alzheimer's disease,C0002395,alzheimer's disease,0.946372389793396,14.0,377,2069.0,24627
3423412,Alzheimer's disease,C1863052,Alzheimer's Disease 1,0.932833194732666,14.0,377,2069.0,24627
3423412,Alzheimer's disease,C1843013,Alzheimer's Disease 3,0.9258649349212646,14.0,377,2069.0,24627
3423412,Alzheimer's disease,C1847200,Alzheimer's Disease 4,0.9239505529403687,14.0,377,2069.0,24627
3423412,Alzheimer's disease,C3554452,Alzheimer's Disease 17,0.8971145153045654,14.0,377,2069.0,24627
3423412,Mild cognitive impairment,C1270972,Mild cognitive impairment,0.9720510244369507,8.0,378,2069.0,24627
3423412,Mild cognitive impairment,C0338656,cognitive impairment,0.8798452019691467,8.0,378,2069.0,24627
3423412,Mild cognitive impairment,C3554639,Severe cognitive impairment,0.7759852409362793,8.0,378,2069.0,24627
3447931,Amyotrophic Lateral Sclerosis (ALS),C0002736,Amyotrophic lateral sclerosis,0.8931496143341064,20.0,320,,25604
3447931,Amyotrophic Lateral Sclerosis (ALS),C1862939,Amyotrophic Lateral Sclerosis 1,0.8773050904273987,20.0,320,,25604
3447931,Amyotrophic Lateral Sclerosis (ALS),C1822695,amyotrophic lateral sclerosis 4,0.8669586777687073,20.0,320,,25604
3447931,Amyotrophic Lateral Sclerosis (ALS),C1414860,amyotrophic lateral sclerosis 6,0.8629276752471924,20.0,320,,25604
3447931,Amyotrophic Lateral Sclerosis (ALS),C2931786,Amyotrophic Lateral Sclerosis 6,0.8629276752471924,20.0,320,,25604
3510214,mal de debarquement syndrome,C1608983,Mal de debarquement syndrome,0.9310316443443298,20.0,362,2266.0,31419
3510214,mal de debarquement syndrome,C0853695,syndrome de,0.6530311703681946,20.0,362,2266.0,31419
3510214,mal de debarquement syndrome,C0878681,Dent syndrome,0.6516091823577881,20.0,362,2266.0,31419
3510214,mal de debarquement syndrome,C4303593,DEND syndrome,0.5567460060119629,20.0,362,2266.0,31419
3510214,mal de debarquement syndrome,C0039082,Syndrome,0.5411238670349121,20.0,362,2266.0,31419
3660406,younger adults,C0238598,Young adults,0.8487861752510071,19.0,40,12704.0,30124
3660406,younger adults,C0001675,Adults,0.6638367772102356,19.0,40,12704.0,30124
3660406,younger adults,C3554568,Young adult onset,0.6011301875114441,19.0,40,12704.0,30124
