pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
2494616,"unilateral, upper limb amputation with phantom limb pain",C0031315,PHANTOM LIMB PAIN,0.6612910032272339,13.0,85,8118,20615
2494616,"unilateral, upper limb amputation with phantom limb pain",C0239377,Upper limb pain,0.6390936374664307,13.0,85,8118,20615
2648877,Autism Spectrum Disorder,C0524528,Autism spectrum disorder,0.9845767617225647,15.0,13,10521,18387
2648877,Autism Spectrum Disorder,C1510586,Autism spectrum disorder,0.9845767617225647,15.0,13,10521,18387
2648877,Autism Spectrum Disorder,C0004352,Autism disorder,0.7902024388313293,15.0,13,10521,18387
2648877,Autism Spectrum Disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7291615009307861,15.0,13,10521,18387
2648877,Autism Spectrum Disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.721701443195343,15.0,13,10521,18387
2748718,neurologically healthy,C0205494,NEUROLOGICAL,0.7045258283615112,15.0,15,25958,36513
2748718,neurologically healthy,C0348374,neurological cancer,0.5922340750694275,15.0,15,25958,36513
2748718,neurologically healthy,C0422837,Neurological finding,0.5796178579330444,15.0,15,25958,36513
2748718,neurologically healthy,C0027765,Neurological disease,0.5674806237220764,15.0,15,25958,36513
2748718,neurologically healthy,C0034597,radiological health,0.5672454833984375,15.0,15,25958,36513
2748718,neurologically healthy,C0205494,NEUROLOGICAL,0.7045258283615112,15.0,16,25958,36513
2748718,neurologically healthy,C0348374,neurological cancer,0.5922340750694275,15.0,16,25958,36513
2748718,neurologically healthy,C0422837,Neurological finding,0.5796178579330444,15.0,16,25958,36513
2748718,neurologically healthy,C0027765,Neurological disease,0.5674806237220764,15.0,16,25958,36513
2748718,neurologically healthy,C0034597,radiological health,0.5672454833984375,15.0,16,25958,36513
3002948,phobic prone,C0033422,Prone,0.6658980846405029,15.0,67,8290,19457
3002948,phobic prone,C0349231,phobic disorder,0.5297921299934387,15.0,67,8290,19457
3002948,eating disorders prone,C0013473,EATING DISORDERS,0.8533963561058044,15.0,68,8290,19457
3002948,eating disorders prone,C0596170,binge disorders eating,0.7596011161804199,15.0,68,8290,19457
3002948,eating disorders prone,C0855228,Disordered Eating,0.7074334025382996,15.0,68,8290,19457
