count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid
1112,autism spectrum disorder patients and normal controls,patients,ASD,,,,,,,,yes,9407088
12,,healthy,first experiment,6.0,6.0,26.0,,23.0,39.0,26.0,yes,3422286
14,,healthy,second experiment,7.0,7.0,23.0,,24.0,30.0,23.0,yes,3422286
26,happy,patients,happy group,6.0,19.0,20.16,19-22,19.0,22.0,20.0,,3893192
25,unhappy,patients,unhappy group,8.0,17.0,20.36,19-22,19.0,22.0,20.0,,3893192
21,Parkinson's disease,patients,PD,14.0,7.0,67.0,64-70,64.0,70.0,67.0,yes,3045463
19,healthy,healthy,controls,12.0,7.0,64.0,60-68,60.0,68.0,64.0,yes,3045463
53,social anxiety disorder,patients,SAD,36.0,17.0,29.9,,18.0,50.0,30.0,,4416052
33,healthy control,healthy,Control,19.0,14.0,29.4,,20.0,40.0,29.0,,4416052
19,,healthy,adult volunteers,10.0,9.0,22.8,19-31,19.0,31.0,22.0,,3869649
19,,patients,adult volunteers,10.0,9.0,22.8,19-31,19.0,31.0,22.0,,3869649
14,Alzheimer disease,patients,AD,4.0,10.0,66.9,58-78,58.0,78.0,67.0,,3423412
8,mild cognitive impairment,patients,MCI,3.0,5.0,66.37,55-78,55.0,78.0,66.0,,3423412
14,healthy,healthy,healthy elders,6.0,8.0,66.07,60-75,60.0,75.0,66.0,,3423412
13,chronic pain,patients,chronic pain group,4.0,9.0,51.8,43-65,43.0,65.0,52.0,,4048172
13,normal,healthy,normal control group,4.0,9.0,48.7,38-62,38.0,62.0,46.0,,4048172
10,healthy,healthy,healthy volunteers,3.0,7.0,39.8,,18.0,50.0,39.0,,2935390
16,healthy,healthy,participants,10.0,6.0,30.1,18-40,18.0,40.0,30.0,,4072722
15,phobic prone,healthy,PP,9.0,6.0,39.2,,,,39.0,,3002948
15,eating disorders prone,healthy,EDP,10.0,5.0,34.4,,,,34.0,,3002948
58,none,patients,right-handed participants,26.0,32.0,24.02,,21.0,29.0,24.0,yes,3492343
15,,healthy,,8.0,7.0,,,,,,yes,2390848
33,healthy,healthy,male,33.0,0.0,23.86,19-32,19.0,32.0,23.0,yes,4380440
21,healthy,healthy,overall,8.0,13.0,24.9,19-30,19.0,30.0,25.0,,5218407
20,healthy,healthy,final analysis,8.0,12.0,25.1,19-30,19.0,30.0,25.0,,5218407
17,healthy,healthy,second analysis,7.0,10.0,25.0,19-30,19.0,30.0,25.0,,5218407
10,,patients,MLD participants,5.0,5.0,29.5,23-43,23.0,43.0,29.0,yes,3407245
24,healthy,healthy,right-handed participants,12.0,12.0,27.0,20-40,20.0,40.0,27.0,,3362560
23,healthy controls,healthy,HC,15.0,8.0,31.1,19-44,19.0,44.0,31.0,,5761874
25,temporal lobe epilepsy,patients,TLE,13.0,12.0,33.6,20-45,20.0,45.0,33.0,,5761874
15,healthy,healthy,male,15.0,0.0,22.33,20-25,20.0,25.0,22.0,,4838249
20,,patients,algebra,,,,,,,,,4352055
19,,patients,multitasking,,,,,,,,,4352055
20,mal de debarquement syndrome,patients,MdDS subjects,5.0,15.0,43.4,27-66,27.0,66.0,43.0,yes,3510214
58,early onsetD,patients,EOD,27.0,31.0,23.98,18-29,18.0,29.0,24.0,yes,5598991
62,later onsetD,patients,LOD,15.0,47.0,36.06,30-44,30.0,44.0,36.0,yes,5598991
20,healthy,healthy,healthy participants,12.0,8.0,24.5,,18.0,30.0,24.0,,4477935
25,,patients,female,0.0,25.0,21.04,,,,,yes,4975394
20,amyotrophic lateral sclerosis,patients,ALS patients,13.0,7.0,45.3,,,,,,3447931
20,healthy,healthy,healthy volunteers,14.0,6.0,47.0,,,,,,3447931
18,nicotine-deprived smokers,patients,smokers,18.0,0.0,25.11,,21.0,33.0,25.0,yes,3409150
15,nonbelievers,patients,nonbelievers,7.0,8.0,21.6,,18.0,30.0,21.0,yes,2748718
15,Christians,patients,Christians,7.0,8.0,22.0,,18.0,30.0,22.0,yes,2748718
19,right-handed,patients,right-handers,7.0,12.0,24.7,19-30,19.0,30.0,24.0,,2561002
15,left-handed,patients,left-handers,5.0,10.0,26.1,21-35,21.0,35.0,26.0,,2561002
21,Childhood Abuse,patients,Childhood Abuse,15.0,6.0,17.5,13-20,13.0,20.0,17.0,,5104469
19,Psychiatric Controls,patients,Psychiatric Controls,9.0,10.0,16.9,13-20,13.0,20.0,17.0,,5104469
27,Healthy Controls,healthy,Healthy Controls,21.0,6.0,17.5,13-20,13.0,20.0,17.0,,5104469
15,healthy,healthy,fMRI participants,8.0,7.0,22.21,20-25,20.0,25.0,22.0,,6195265
11,proficient,patients,proficient,3.0,8.0,28.73,,19.0,46.0,28.0,yes,3554651
10,less proficient,patients,less proficient,3.0,7.0,30.0,,19.0,45.0,30.0,yes,3554651
20,healthy,healthy,typically developing preschool children,,,5.8,5.2-6.8,5.0,7.0,6.0,yes,4274095
37,Parkinson's disease,patients,PD,17.0,20.0,58.68,,,,58.0,,4184784
34,healthy,healthy,HC,22.0,12.0,55.59,,,,55.0,,4184784
24,,patients,Experiment 1,9.0,15.0,,,,,,,6016936
10,,patients,Experiment 2,,,,,,,,,6016936
4,,patients,Supplementary Experiment,,,,,,,,,6016936
44,relapsing-remitting multiple sclerosis,patients,FMS,14.0,30.0,35.9,22-53,22.0,53.0,35.0,,6200185
25,healthy,healthy,controls,9.0,16.0,35.8,19-55,19.0,55.0,35.0,,6200185
40,healthy,healthy,fMRI participants,20.0,20.0,20.0,18-23,18.0,23.0,20.0,yes,4370584
24,healthy,healthy,fMRI participants,12.0,12.0,26.0,23-34,23.0,34.0,26.0,,3502502
46,healthy,healthy,DWI participants,21.0,25.0,30.0,19-63,19.0,63.0,30.0,,3502502
20,healthy,healthy,APOE 2/3,9.0,11.0,20.5,18-23,18.0,23.0,20.0,,3520927
20,healthy,healthy,APOE 3/4,10.0,10.0,20.8,18-23,18.0,23.0,20.0,,3520927
18,healthy,healthy,fMRI experiment,9.0,9.0,23.67,19-35,19.0,35.0,23.0,,2144768
19,,healthy,younger adults,5.0,14.0,22.6,18-27,18.0,27.0,22.0,,3660406
15,,healthy,older adults,5.0,10.0,61.1,51-71,51.0,71.0,61.0,,3660406
11,,healthy,,8.0,3.0,33.1,25-47,25.0,47.0,33.0,,6328158
40,heroin addiction,patients,relapsers,40.0,0.0,,,,,,,4990879
40,heroin addiction,patients,non-relapsers,40.0,0.0,,,,,,,4990879
23,Mesial temporal lobe epilepsy,patients,LMTLE,11.0,12.0,,23-63,23.0,63.0,,yes,4017227
23,Mesial temporal lobe epilepsy,patients,RMTLE,11.0,0.0,,0.66-23,0.0,23.0,,yes,4017227
19,Healthy controls,healthy,Controls,10.0,9.0,,,,,,yes,4017227
28,Autism Spectrum Disorder,patients,ASD,,,13.43,10-17,10.0,17.0,,yes,5870086
21,healthy,healthy,healthy volunteers,12.0,14.0,23.04,,18.0,35.0,23.0,,6697392
50,none,healthy,participants,11.0,39.0,21.6,18-30,18.0,30.0,21.0,yes,11063816
17,healthy,healthy,right-handed subjects,7.0,10.0,,,21.0,31.0,,,8837589
66,temporal lobe epilepsy with hippocampal sclerosis,patients,TLE-MD,17.0,14.0,32.84,,,,,,8933317
66,temporal lobe epilepsy with hippocampal sclerosis,patients,TLE-MI,11.0,24.0,28.31,,,,,,8933317
31,healthy controls,healthy,HC,16.0,15.0,33.87,,,,,,8933317
90,controls,healthy,CON,45.0,45.0,29.4,20-40,20.0,40.0,29.0,,7416060
54,cannabis users,patients,CAN,31.0,23.0,29.35,18-40,18.0,40.0,29.0,,7416060
28,refractory epilepsy,patients,surgical patients,15.0,13.0,29.36,,16.0,60.0,,,11069337
50,auditory verbal hallucinations,patients,AVH,24.0,26.0,21.3,,,,,,9435010
50,no auditory verbal hallucinations,patients,NAVH,25.0,25.0,21.9,,,,,,9435010
50,healthy controls,healthy,HC,24.0,26.0,22.0,,,,,,9435010
29,healthy,healthy,healthy participants,15.0,14.0,34.5,,,,34.0,,6868994
20,healthy,healthy,young adults,14.0,6.0,24.0,20-34,20.0,34.0,24.0,,8764488
820,,patients,HMM runs,,,,,,,,yes,6492297
122,relapsing-remitting multiple sclerosis,patients,MS patients,38.0,84.0,37.6,,18.0,65.0,,,11033924
97,healthy control,healthy,HC subjects,41.0,56.0,38.1,,18.0,65.0,,,11033924
160,healthy controls,healthy,HCs,115.0,45.0,37.04,,19.0,59.0,37.0,,7721229
151,schizophrenia,patients,SZ,115.0,36.0,38.77,,18.0,62.0,39.0,,7721229
314,healthy controls,healthy,HCs,249.0,65.0,17.04,,6.0,56.0,17.0,,7721229
255,autism spectrum disorder,patients,ASD,224.0,31.0,17.05,,7.0,55.0,17.0,,7721229
163,healthy,healthy,HC,117.0,46.0,36.9,,,,,yes,9057100
151,schizophrenia,patients,SZ,114.0,37.0,37.8,,,,,yes,9057100
30,Attention Deficit Hyperactivity Disorder,patients,ADHD,30.0,0.0,13.9,10-17,10.0,17.0,,yes,4190683
30,healthy,healthy,controls,30.0,0.0,14.1,10-17,10.0,17.0,,yes,4190683
595,,patients,age range,,,39.47,8-83,8.0,83.0,,yes,8615904
29,healthy,healthy,trigeminal nociception,,,,,,,,yes,7563756
20,healthy,healthy,healthy volunteers,9.0,11.0,21.95,18-35,18.0,35.0,21.0,,4810172
38,attention-deficit/hyperactivity disorder,patients,methylphenidate-nave adults with childhood-onset ADHD,18.0,20.0,40.5,,18.0,65.0,40.0,,6347794
15,healthy,healthy,participants,7.0,8.0,25.6,22-30,22.0,30.0,25.0,,3889700
15,healthy,healthy,adult volunteers,5.0,10.0,31.6,22-54,22.0,54.0,31.0,,7981326
167,attention/deficit hyperactivity disorder,patients,ADHD,111.0,56.0,10.74,,5.0,18.0,10.0,,8782893
88,attention/deficit hyperactivity disorder,patients,ADHD diagnosed,,,,,,,,,8782893
26,psychogenic erectile dysfunction,patients,pED,26.0,0.0,26.0,20-35,20.0,35.0,26.0,,6290711
53,mild traumatic brain injury,patients,mTBI,,,,,,,,,7275020
37,healthy,healthy,controls,,,,,,,,,7275020
18,lung cancer,patients,lung cancer patients,,,,,,,,,7275001
21,healthy controls,healthy,healthy controls,,,,48-70,48.0,70.0,,,7275001
15,none,healthy,driving only,15.0,0.0,26.0,24-28,24.0,28.0,26.0,,5270359
15,none,healthy,driving with sub-task,15.0,0.0,26.0,24-28,24.0,28.0,26.0,,5270359
12,healthy,healthy,men,12.0,0.0,,23-45,23.0,45.0,,yes,2525845
12,healthy,healthy,women,0.0,12.0,,23-45,23.0,45.0,,yes,2525845
30,Borderline Personality Disorder,patients,BPD,1.0,29.0,24.22,19-34,19.0,34.0,24.0,,10870473
30,Healthy Controls,healthy,HC,1.0,29.0,24.66,19-34,19.0,34.0,24.0,,10870473
20,Affective Violence,patients,VA,20.0,0.0,34.7,,,,,yes,9230060
20,Predatory Violence,patients,VP,20.0,0.0,36.4,,,,,yes,9230060
20,Non-Violent,patients,NV,20.0,0.0,38.1,,,,,yes,9230060
20,Healthy Control,healthy,HC,20.0,0.0,34.8,,,,,yes,9230060
32,healthy,healthy,overall,17.0,15.0,,25-27,25.0,27.0,,yes,4332461
28,autism spectrum disorder,patients,ASD,20.0,8.0,14.58,14-16,14.0,16.0,15.0,,8213933
27,typically developing (TD) controls,healthy,TD,18.0,9.0,14.49,14-16,14.0,16.0,14.0,,8213933
26,arterial ischemic stroke,patients,AIS,16.0,10.0,13.02,6.6-19.5,6.0,19.0,13.0,,8785614
26,periventricular venous infarction,patients,PVI,16.0,10.0,11.93,6.6-19.7,6.0,19.0,12.0,,8785614
31,controls,healthy,controls,16.0,15.0,13.25,6.5-19,6.0,19.0,13.0,,8785614
