count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid
28,schizophrenia,patients,schizophrenia,20.0,8.0,,21-54,21.0,54.0,,yes,8883821.0
20,autism spectrum disorder,patients,autism,16.0,4.0,,19-43,19.0,43.0,,yes,8883821.0
30,neurotypical,healthy,control,22.0,8.0,,19-54,19.0,54.0,,yes,8883821.0
1112,autism spectrum disorder,patients,ABIDE I,,,,,,,,yes,9407088.0
1114,autism spectrum disorder,patients,ABIDE II,,,,,,,,yes,9407088.0
573,normal controls,healthy,ABIDE I,,,,,,,,yes,9407088.0
593,normal controls,healthy,ABIDE II,,,,,,,,yes,9407088.0
26,arterial ischemic stroke,patients,AIS,,,13.02,6-19,6.0,19.0,,yes,8785614.0
26,periventricular venous infarction,patients,PVI,,,11.93,6-19,6.0,19.0,,yes,8785614.0
31,,healthy,controls,,,13.25,6-19,6.0,19.0,,yes,8785614.0
7,predatory violence (VP),patients,VP,7.0,0.0,,,,,,yes,9230060.0
6,affective violence (VA),patients,VA,6.0,0.0,,,,,,yes,9230060.0
7,non-violent crime,patients,NV,7.0,0.0,,,,,,yes,9230060.0
20,non-criminal,healthy,HC,20.0,0.0,,,,,,yes,9230060.0
134,typically developing,healthy,5-year-olds,72.0,62.0,5.34,5.08-5.22,5.0,5.0,,yes,9108497.0
216,,healthy,young adults with varying levels of early trauma,,,,,,,,yes,8828908.0
167,attention/deficit hyperactivity disorder,patients,children and adolescents,111.0,56.0,10.74,5-18,5.0,18.0,,yes,8782893.0
23,,healthy,MEG Center,,,,,,,,yes,8752963.0
89,,healthy,HCP,44.0,45.0,,22-35,22.0,35.0,,yes,8752963.0
1,GNE myopathy with congenital thrombocytopenia,patients,young male patient,1.0,0.0,29.0,29-29,29.0,29.0,29.0,yes,8978988.0
12,LMesial temporal lobe epilepsy,patients,LMTLE,,,,,,,,yes,8933759.0
11,RMesial temporal lobe epilepsy,patients,RMTLE,,,,,,,,yes,8933759.0
23,,healthy,HC,,,,,,,,yes,8933759.0
38,APOE-4 carriers,patients,APOE,16.0,22.0,49.9,,,,,yes,9205431.0
38,noncarriers,healthy,NC,16.0,22.0,49.9,,,,,yes,9205431.0
6,Pontocerebellar Hypoplasia,patients,PCH patients,4.0,2.0,7.33,4-11,4.0,11.0,6.0,yes,9461104.0
1418,,healthy,,546.0,872.0,22.39,,18.0,35.0,,yes,9564100.0
23,,healthy,community-dwelling young men,23.0,0.0,29.9,,,,,yes,9548384.0
173,tuberous sclerosis complex,patients,TSC patients,,,,,,,,yes,9308181.0
24,internet addiction,patients,IA,14.0,10.0,20.58,,,,,no,8939409.0
23,HC,healthy,HC,10.0,13.0,21.13,,,,,no,8939409.0
16,dementia with Lewy bodies,patients,DLB,,,,,,,,yes,3984441.0
17,no history of psychiatric or neurological brain disease,healthy,controls,,,,,,,,yes,3984441.0
31,anorexia nervosa,patients,AN,0.0,31.0,,,,,,yes,3913832.0
35,no personal or family history of eating disorders,healthy,HC,0.0,35.0,,,,,,yes,3913832.0
20,,healthy,Dataset 1: Algebra,,,,,,,,yes,4352055.0
19,,healthy,Dataset 2: Multitasking,,,,,,,,yes,4352055.0
20,major depression,patients,primary sample,,,,18-65,18.0,65.0,,yes,5416685.0
19,none,healthy,primary sample,,,,18-65,18.0,65.0,,yes,5416685.0
19,major depression,patients,validation sample,,,,18-65,18.0,65.0,,yes,5416685.0
19,none,healthy,validation sample,,,,18-65,18.0,65.0,,yes,5416685.0
20,,healthy,healthy,9.0,11.0,,21-31,21.0,31.0,,yes,8837589.0
17,,healthy,healthy,7.0,10.0,,21-31,21.0,31.0,,yes,8837589.0
56,none,healthy,healthy controls,30.0,26.0,,,,,,yes,7118554.0
43,major depressive disorder,patients,MDD patients,13.0,30.0,,,,,,yes,7118554.0
28,autism spectrum disorder,patients,ASD,20.0,8.0,14.58,,,,,yes,8213933.0
27,typically developing (TD),healthy,TD,18.0,9.0,14.49,,,,,yes,8213933.0
90,"absence of daily cannabis use at any period in their lifetime, as well as an absence of current illicit drug use in the past 60 days",healthy,CON,,,,,,,,yes,7416060.0
54,"self-reported history of regular cannabis use resulting in a minimum of 5,000 separate lifetime occasions of use",patients,CAN,,,,,,,,yes,7416060.0
31,,healthy,HC,,,,,,,,yes,8933317.0
35,Temporal lobe epilepsymemory‐intact”,patients,memoryintact,,,,,,,,yes,8933317.0
31,Temporal lobe epilepsymemory‐deficits”,patients,memorydeficit,,,,,,,,yes,8933317.0
160,none,healthy,HCs (FBIRN),115.0,45.0,37.04,19-59,19.0,59.0,,yes,7721229.0
151,schizophrenia,patients,SZ (FBIRN),115.0,36.0,38.77,18-62,18.0,62.0,,yes,7721229.0
314,none,healthy,HCs (ABIDE1),249.0,65.0,17.04,6.47-56.20,6.0,56.0,,yes,7721229.0
255,autism spectrum disorder,patients,ASD (ABIDE1),224.0,31.0,17.05,7.00-55.40,7.0,55.0,,yes,7721229.0
18,lung cancer,patients,lung cancer patients before chemotherapy,,,,48-70,48.0,70.0,,yes,7275001.0
18,lung cancer,patients,lung cancer patients after chemotherapy,,,,48-70,48.0,70.0,,yes,7275001.0
21,,healthy,healthy controls,,,,48-70,48.0,70.0,,yes,7275001.0
820,,healthy,Human Connectome Project (HCP),,,,,,,,yes,6492297.0
23,,healthy,HC,15.0,8.0,31.1,19-44,19.0,44.0,,yes,5761874.0
25,temporal lobe epilepsy,patients,TLE,13.0,12.0,33.6,20-45,20.0,45.0,,yes,5761874.0
163,HC,healthy,HC,117.0,46.0,36.9,,,,,yes,9057100.0
151,schizophrenia,patients,SZ,114.0,37.0,37.8,,,,,yes,9057100.0
16,none,healthy,awake volunteers,13.0,3.0,,18-40,18.0,40.0,,yes,6787094.0
16,none,healthy,propofol-anaesthetised volunteers,13.0,3.0,,18-40,18.0,40.0,,yes,6787094.0
22,"disorders of consciousness (DOC; unresponsive wakefulness syndrome/vegetative state  or minimally conscious state, MCS)",patients,DOC patients,14.0,8.0,,17-70,17.0,70.0,,yes,6787094.0
18,juvenile myoclonic epilepsy,patients,JME patients,3.0,15.0,30.1,20-48,20.0,48.0,,yes,6412974.0
25,,healthy,healthy controls,14.0,10.0,33.2,,,,,yes,6412974.0
50,first-episode schizophrenia with auditory verbal hallucinations,patients,AVH,,,,,,,,yes,9435010.0
50,first-episode schizophrenia without auditory verbal hallucinations (NAVH),patients,NAVH,,,,,,,,yes,9435010.0
50,,healthy,HC,,,,,,,,yes,9435010.0
17,Dementia with Lewy bodies,patients,DLB,13.0,4.0,71.88,60-82,60.0,82.0,,yes,6902076.0
20,,healthy,HC,9.0,11.0,67.8,56-77,56.0,77.0,,yes,6902076.0
24,multiple system atrophy,patients,MSA patients,,,,,,,,yes,7485713.0
20,HC,healthy,healthy controls,,,,,,,,yes,7485713.0
34,schizophrenia,patients,unmedicated,,,,,,,,yes,5292583.0
29,schizophrenia,patients,1 week risperidone treatment,,,,,,,,yes,5292583.0
24,schizophrenia,patients,6 weeks risperidone treatment,,,,,,,,yes,5292583.0
35,,healthy,baseline,,,,,,,,yes,5292583.0
19,,healthy,6 weeks,,,,,,,,yes,5292583.0
163,healthy controls,healthy,HC,117.0,46.0,36.9,,,,,yes,6611425.0
151,schizophrenia,patients,SZ,114.0,37.0,37.8,,,,,yes,6611425.0
21,heroin relapsers,patients,relapsers,21.0,0.0,35.6,,,,,yes,4990879.0
19,heroin non-relapsers,patients,non-relapsers,19.0,0.0,39.3,,,,,yes,4990879.0
44,"drug-naive, first-episode schizophrenia",patients,patients with schizophrenia,,,,18-37,18.0,37.0,,yes,6197719.0
42,unaffected siblings,patients,unaffected siblings,,,,18-37,18.0,37.0,,yes,6197719.0
44,,healthy,healthy controls,,,,18-37,18.0,37.0,,yes,6197719.0
102,,healthy,Oulu dataset,36.0,66.0,21.5,20-23,20.0,23.0,,yes,3775427.0
20,fibromyalgia,patients,FM,0.0,20.0,46.4,22-70,22.0,70.0,,yes,6820536.0
20,none,healthy,HC,0.0,20.0,42.1,21-70,21.0,70.0,,yes,6820536.0
21,none,healthy,healthy volunteers,12.0,14.0,23.04,18-35,18.0,35.0,,yes,6697392.0
29,,healthy,healthy volunteers,,,,,,,,yes,7563756.0
21,posttraumatic stress disorder,patients,PTSD,,,,,,,,yes,5030332.0
48,pedophilic child sexual offenders,patients,convicted CSOs,48.0,0.0,,,,,,yes,6678781.0
31,pedophilic child sexual offenders,patients,non-convicted CSOs,31.0,0.0,,,,,,yes,6678781.0
17,,healthy,right-handed native German volunteers with no neurological or psychiatric history,5.0,12.0,24.0,18-31,18.0,31.0,,yes,5902547.0
11,right middle cerebral artery infarction,patients,right MCA infarction,11.0,0.0,56.2,45-68,45.0,68.0,,yes,8154462.0
9,,healthy,healthy controls,9.0,0.0,53.7,40-67,40.0,67.0,,yes,8154462.0
15,no history of neurological or psychiatric illness,healthy,students,7.0,8.0,23.8,19-28,19.0,28.0,,yes,5324609.0
18,neovascular age-related macular degeneration,patients,nAMD,9.0,9.0,,,55.0,,,yes,8544331.0
18,healthy controls (HCs),healthy,HCs,9.0,9.0,,,,,,yes,8544331.0
20,amyotrophic lateral sclerosis,patients,ALS patients,,,,,,,,yes,3447931.0
20,,healthy,healthy volunteers,,,,,,,,yes,3447931.0
24,,healthy,Study 1,0.0,24.0,24.0,20-30,20.0,30.0,,yes,3965851.0
18,,healthy,Study 2,0.0,18.0,24.0,20-30,20.0,30.0,,yes,3965851.0
19,,healthy,working with children (WC),9.0,10.0,24.08,,,,,yes,7395771.0
19,,healthy,not working with children (NWC),9.0,10.0,24.08,,,,,yes,7395771.0
69,chronic dieters,patients,chronic dieters,0.0,69.0,19.38,18-23,18.0,23.0,,yes,5460048.0
17,panic disorder,patients,PD patients,2.0,15.0,,,,,,yes,6382839.0
17,HC,healthy,HC,4.0,13.0,,,,,,yes,6382839.0
44,"drug-naive, first-episode schizophrenia",patients,patients with schizophrenia,,,,18-37,18.0,37.0,,yes,6197719.0
42,unaffected siblings,patients,unaffected siblings,,,,18-37,18.0,37.0,,yes,6197719.0
44,,healthy,healthy controls,,,,18-37,18.0,37.0,,yes,6197719.0
15,committed Christians,patients,Christians,7.0,8.0,,18-30,18.0,30.0,,yes,2748718.0
15,nonbelievers,patients,Nonbelievers,7.0,8.0,,18-30,18.0,30.0,,yes,2748718.0
23,,healthy,,18.0,5.0,22.0,,,,,yes,4330553.0
26,psychogenic erectile dysfunction,patients,pED,26.0,0.0,26.8,21-32,21.0,32.0,,yes,6290711.0
26,none,healthy,NC,26.0,0.0,28.5,25-32,25.0,32.0,,yes,6290711.0
26,typically developing,healthy,overall,17.0,9.0,11.42,8-16,8.0,16.0,,yes,7005761.0
16,typically developing,healthy,7-repeat absent,10.0,6.0,,,,,,yes,7005761.0
10,typically developing,healthy,7-repeat present,7.0,3.0,,,,,,yes,7005761.0
15,Autism Spectrum Disorder,patients,ASD,12.0,3.0,38.0,,,,,yes,2648877.0
18,non-autistic,healthy,control,13.0,5.0,32.0,,,,,yes,2648877.0
21,problematic tinnitus,patients,initial,10.0,11.0,,21-72,21.0,72.0,,no,6667657.0
12,problematic tinnitus,patients,pre-MBCT,,,,,,,,yes,6667657.0
10,problematic tinnitus,patients,post-MBCT,,,,,,,,yes,6667657.0
8,problematic tinnitus,patients,follow-up,,,,,,,,yes,6667657.0
21,post stroke depression,patients,temporal lobe subgroup,,,,60-70,60.0,70.0,,yes,5665859.0
30,post stroke depression,patients,frontal lobe subgroup,,,,60-70,60.0,70.0,,yes,5665859.0
