pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
2494616,phantom limb pain,C0031315,PHANTOM LIMB PAIN,0.9794905185699463,13.0,270,,
2494616,phantom limb pain,C4048296,Phantom Limb Pain,0.9794905185699463,13.0,270,,
2494616,phantom limb pain,C3495442,Phantom pain,0.8421396017074585,13.0,270,,
2494616,phantom limb pain,C0030196,pain limb,0.7109892964363098,13.0,270,,
2494616,phantom limb pain,C0452135,Phantom limb syndrome without pain,0.6966620087623596,13.0,270,,
2648877,Autism Spectrum Disorder,C0524528,Autism spectrum disorder,0.9845767617225647,15.0,123,,
2648877,Autism Spectrum Disorder,C1510586,Autism spectrum disorder,0.9845767617225647,15.0,123,,
2648877,Autism Spectrum Disorder,C0004352,Autism disorder,0.7902024388313293,15.0,123,,
2648877,Autism Spectrum Disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7291615009307861,15.0,123,,
2648877,Autism Spectrum Disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.721701443195343,15.0,123,,
2748718,nonbelievers,C0002771,Pain Relievers,0.6171939969062805,15.0,115,,
2748718,nonbelievers,C0004951,Believe,0.5784448385238647,15.0,115,,
2748718,committed Christians,C0008532,Christian,0.6148087382316589,15.0,116,,
3045463,Parkinson's Disease,C0030567,DISEASE PARKINSON'S,0.9629952907562256,21.0,409,,
3182403,Parkinson's disease,C0030567,DISEASE PARKINSON'S,0.9629952907562256,21.0,212,,
3324921,epilepsy,C0014544,epilepsy,0.9930600523948669,5.0,479,,
3324921,epilepsy,C0014547,Local epilepsy,0.8565506935119629,5.0,479,,
3324921,epilepsy,C0014553,Minor epilepsy,0.8548762202262878,5.0,479,,
3324921,epilepsy,C0393725,Eating epilepsy,0.8358542323112488,5.0,479,,
3324921,epilepsy,C0376532,epilepsy roland,0.8218892216682434,5.0,479,,
3409150,nicotine-deprived smokers,C0047964,Nicotine-Derived Nitrosamine Ketone,0.5472185611724854,18.0,239,,
3409150,nicotine-deprived smokers,C0389836,Nicotine-Derived Nitrosamine Alcohol,0.5383540391921997,18.0,239,,
3409150,nicotine-deprived smokers,C0337664,Smokers,0.5347498655319214,18.0,239,,
3409150,nicotine-deprived smokers,C0028040,NICOTINE,0.5174999237060547,18.0,239,,
3423412,Alzheimer Disease,C0002395,ALZHEIMER DISEASE,0.9341862797737122,14.0,482,,
3423412,Alzheimer Disease,C1364818,Alzheimer disease,0.9341862797737122,14.0,482,,
3423412,Alzheimer Disease,C1418985,Alzheimer disease 3,0.9084566235542297,14.0,482,,
3423412,Alzheimer Disease,C1843013,Alzheimer disease 3,0.9084566235542297,14.0,482,,
3423412,Alzheimer Disease,C1418986,Alzheimer disease 4,0.9060426950454712,14.0,482,,
3423412,Mild Cognitive Impairment,C1270972,Mild cognitive impairment,0.9720510244369507,8.0,483,,
3423412,Mild Cognitive Impairment,C0338656,cognitive impairment,0.8798452019691467,8.0,483,,
3423412,Mild Cognitive Impairment,C3554639,Severe cognitive impairment,0.7759852409362793,8.0,483,,
3447931,amyotrophic lateral sclerosis,C0002736,Amyotrophic lateral sclerosis,0.972338080406189,20.0,103,,
3447931,amyotrophic lateral sclerosis,C1862939,Amyotrophic Lateral Sclerosis 1,0.95508873462677,20.0,103,,
3447931,amyotrophic lateral sclerosis,C1822695,amyotrophic lateral sclerosis 4,0.9438249468803406,20.0,103,,
3447931,amyotrophic lateral sclerosis,C1414860,amyotrophic lateral sclerosis 6,0.9394366145133972,20.0,103,,
3447931,amyotrophic lateral sclerosis,C2931786,Amyotrophic Lateral Sclerosis 6,0.9394366145133972,20.0,103,,
3492343,none,C0456148,None,0.9886488318443298,58.0,145,,
3492343,none,C0549184,None,0.9886488318443298,58.0,145,,
3492343,none,C1546509,none,0.9886488318443298,58.0,145,,
3492343,none,C1547191,none,0.9886488318443298,58.0,145,,
3492343,none,C1550083,None,0.9886488318443298,58.0,145,,
3510214,mal de debarquement syndrome,C1608983,Mal de debarquement syndrome,0.9310316443443298,20.0,227,,
3510214,mal de debarquement syndrome,C0853695,syndrome de,0.6530311703681946,20.0,227,,
3510214,mal de debarquement syndrome,C0878681,Dent syndrome,0.6516091823577881,20.0,227,,
3510214,mal de debarquement syndrome,C4303593,DEND syndrome,0.5567460060119629,20.0,227,,
3510214,mal de debarquement syndrome,C0039082,Syndrome,0.5411238670349121,20.0,227,,
3511796,chronic cigarette smokers,C0337667,cigarette smokers,0.8205202221870422,45.0,249,,
3511796,chronic cigarette smokers,C0337666,cigar smokers,0.669887363910675,45.0,249,,
3511796,chronic cigarette smokers,C5419817,Smoked Cigarettes,0.652274489402771,45.0,249,,
3511796,chronic cigarette smokers,C0700219,cigarette smoking,0.642917811870575,45.0,249,,
3511796,chronic cigarette smokers,C5235936,Electronic Cigarette Smoke Exposure,0.6412444710731506,45.0,249,,
3554651,proficient deaf readers,C5204275,HR Proficient,0.555964469909668,11.0,268,,
3554651,less proficient deaf readers,C5204275,HR Proficient,0.5095498561859131,10.0,269,,
3701149,auditory hallucination,C0233762,AUDITORY HALLUCINATION,0.9715023040771484,12.0,438,,
3701149,auditory hallucination,C0018524,HALLUCINATION,0.7635247111320496,12.0,438,,
3701149,22q11.2 Deletion Syndrome,C0012236,22q11.2 deletion syndrome,0.9288032054901123,13.0,439,,
3701149,22q11.2 Deletion Syndrome,C0220704,22q11.2 Deletion Syndrome,0.9288032054901123,13.0,439,,
3701149,22q11.2 Deletion Syndrome,C2936346,22q11 Deletion Syndrome,0.842059314250946,13.0,439,,
3701149,22q11.2 Deletion Syndrome,C4518343,Distal 22q11.2 microdeletion syndrome,0.8059272766113281,13.0,439,,
3701149,22q11.2 Deletion Syndrome,C1853490,Deletion 22q13 Syndrome,0.7591739892959595,13.0,439,,
3742334,chronic marijuana users,C0205191,chronic,0.5726951360702515,10.0,271,,
3742334,chronic marijuana users,C1555457,Chronic,0.5726951360702515,10.0,271,,
3742334,chronic marijuana users,C0008679,chronic disorders,0.5049537420272827,10.0,271,,
3777673,obsessive-compulsive disorder,C0028768,Obsessive-Compulsive Disorder,0.9727429151535034,19.0,469,,
3777673,obsessive-compulsive disorder,C1420214,obsessive-compulsive disorder 1,0.9617857336997986,19.0,469,,
3777673,obsessive-compulsive disorder,C0009595,Obsessive-Compulsive Personality Disorder,0.8704097270965576,19.0,469,,
3791281,binge drinkers,C0556346,binge drink,0.7454811334609985,12.0,426,,
3791281,binge drinkers,C0556338,Drinker,0.6526684761047363,12.0,426,,
3791281,binge drinkers,C0457801,non drinker,0.5923289060592651,12.0,426,,
3791281,binge drinkers,C0262816,Syringe Drivers,0.550137460231781,12.0,426,,
3791281,binge drinkers,C0337676,Social drinker,0.5141023397445679,12.0,426,,
3842522,autism spectrum disorder,C0524528,Autism spectrum disorder,0.9845767617225647,42.0,433,,
3842522,autism spectrum disorder,C1510586,Autism spectrum disorder,0.9845767617225647,42.0,433,,
3842522,autism spectrum disorder,C0004352,Autism disorder,0.7902024388313293,42.0,433,,
3842522,autism spectrum disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7291615009307861,42.0,433,,
3842522,autism spectrum disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.721701443195343,42.0,433,,
3877773,Tourette syndrome,C0040517,Tourette Syndrome,0.9815427660942078,20.0,276,,
3877773,Tourette syndrome,C0039082,syndrome,0.7029404640197754,20.0,276,,
3893192,healthy,C3898900,Healthy,0.9904220700263977,26.0,311,,
3893192,healthy,C0452415,Healthy Eating,0.791326642036438,26.0,311,,
3893192,healthy,C2963171,Healthy Aging,0.7907637357711792,26.0,311,,
3893192,healthy,C0018684,Health,0.7903434038162231,26.0,311,,
3893192,healthy,C2986479,Healthy Control,0.7621602416038513,26.0,311,,
3893192,healthy,C3898900,Healthy,0.9904220700263977,25.0,312,,
3893192,healthy,C0452415,Healthy Eating,0.791326642036438,25.0,312,,
3893192,healthy,C2963171,Healthy Aging,0.7907637357711792,25.0,312,,
3893192,healthy,C0018684,Health,0.7903434038162231,25.0,312,,
3893192,healthy,C2986479,Healthy Control,0.7621602416038513,25.0,312,,
