count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,id
29.0,Unresponsive Wakefulness Syndrome (UWS),patients,,,,,,,,,pmid_24025064
26.0,Minimally Conscious State (MCS),patients,,,,,,,,,pmid_24025064
21.0,,healthy,control individuals,,,,,,,,pmid_24025064
92.0,fibromyalgia,patients,,,,,,,,,pmid_25283470
95.0,schizophrenia,patients,,,,,,,,,pmid_25477799
93.0,healthy,controls,,,,,,,,,pmid_25477799
26.0,amyotrophic lateral sclerosis (ALS),patients,,,,,,,,,pmid_21368084
38.0,cocaine-dependent individuals,patients,,,,,,,,,pmid_22391134
38.0,,healthy,,,,,,,,,pmid_22391134
10.0,IBS,patients,,,,,,,,,pmid_16401465
10.0,healthy,controls,,,,,,,,,pmid_16401465
16.0,,healthy,right-handed male,16.0,0.0,,,,,,pmid_11897168
20.0,,healthy,meditation nave,,,,,,,,pmid_28110087
13.0,patients,patients,,,,,,,,,pmid_29326646
13.0,,healthy,,,,,,,,,pmid_29326646
24.0,end-stage renal disease (ESRD) patients,patients,before HD,,,,,,,,pmid_32601841
27.0,,healthy,,,,,,,,,pmid_32601841
3.0,ischemic stroke,patients,MCAO+EA,2.0,1.0,24.0,20-30,20.0,30.0,25.0,pmid_32576025
1.0,ischemic stroke,controls,MCAO,0.0,1.0,35.0,30-40,30.0,40.0,35.0,pmid_32576025
1.0,controls,controls,Sham,0.0,1.0,40.0,40-50,40.0,50.0,40.0,pmid_32576025
74.0,alcohol-dependent,patients,,,,,,,,,pmid_29058369
43.0,,healthy,,,,,,,,,pmid_29058369
39.0,professional pianists,patients,professional pianists,,,,,,,,pmid_24790186
36.0,,healthy,,,,,,,,,pmid_25260201
35.0,IGA,patients,,,,,,,,,pmid_25260201
16.0,ALS,patients,,,,,,,,,pmid_17385077
17.0,healthy,controls,,,,,,,,,pmid_17385077
9.0,peripheral lesions,patients,,,,,,,,,pmid_17385077
17.0,,healthy,,,,,,,,,pmid_20053347
15.0,,healthy,control subjects,,,,,,,,pmid_23867077
15.0,unmedicated remitted depressed patients,patients,unmedicated remitted depressed patients,,,,,,,,pmid_23867077
28.0,cannabis-using youth,patients,,,,,,,,,pmid_30768406
32.0,,healthy,,,,,,,,,pmid_30768406
20.0,healthy,patients,group 1,10.0,10.0,35.0,25-45,25.0,45.0,30.0,pmid_15893942
15.0,,healthy,group 2,8.0,7.0,42.0,35-50,35.0,50.0,45.0,pmid_15893942
5.0,,healthy,,3.0,2.0,,,,,,pmid_1729691
16.0,healthy,patients,compassion,8.0,8.0,30.0,20-40,20.0,40.0,30.0,pmid_31697955
18.0,dyslexic,patients,children,,,,,,,,pmid_19446640
24.0,,healthy,children,,,,,,,,pmid_19446640
23.0,MDD,patients,,,,,,,,,pmid_28910748
25.0,healthy,controls,,,,,,,,,pmid_28910748
119.0,alcohol-dependent,patients,,,,,,,,,pmid_29225356
97.0,healthy,control,,,,,,,,,pmid_29225356
9.0,DCD,patients,co-occurring DCD and ADHD,,,,,,,,pmid_29655169
20.0,ADHD,patients,,,,,,,,,pmid_29655169
18.0,DCD and ADHD,patients,,,,,,,,,pmid_29655169
20.0,TD,controls,,,,,,,,,pmid_29655169
19.0,,healthy,,10.0,9.0,,,,,,pmid_31673774
56.0,migraine without aura,patients,infrequent episodic migraine,,,,,,,,pmid_31352647
32.0,,healthy,,,,,,,,,pmid_31352647
27.0,MCI,patients,,,,,,,,,pmid_26167487
35.0,AD,patients,,,,,,,,,pmid_26167487
27.0,,healthy,,,,,,,,,pmid_26167487
50.0,healthy,patients,group 1,25.0,25.0,35.0,20-50,20.0,50.0,30.0,pmid_17920024
60.0,,healthy,group 2,30.0,30.0,40.0,25-55,25.0,55.0,35.0,pmid_17920024
157.0,,healthy,,157.0,0.0,39.06,6.4SD,,,,pmid_30046095
53.0,genetic high risk,patients,HR,,,,,,,,pmid_29292241
26.0,ultra-high risk,patients,UHR,,,,,,,,pmid_29292241
58.0,first-episode schizophrenia,patients,FES,,,,,,,,pmid_29292241
41.0,chronic schizophrenia,patients,ChSz,,,,,,,,pmid_29292241
39.0,,healthy,controls,,,,,,,,pmid_29292241
11.0,nonpathological,participants,nonpathological,5.0,6.0,35.0,25-45,25.0,45.0,35.0,pmid_21119848
11.0,pathological,participants,pathological,6.0,5.0,40.0,30-50,30.0,50.0,40.0,pmid_21119848
16.0,high risk,patients,young women,0.0,16.0,,,,,,pmid_28372994
