count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid,rank,start_char,end_char
15,healthy,healthy,adult volunteers,5,10,31.69,22-54,22,54,31,no,7981326,0,9579,10553
23,healthy,healthy,participants,18,5,222.0,222,222,222,222,no,4330553,0,10707,11145
16,healthy,healthy,pilot,9,7,18.35,18-35,18,35,18,no,3183226,0,28053,28467
17,healthy,healthy,fMRI,8,9,22.21,19-24,19,24,22,yes,6195265,0,13097,13950
45,healthy,patients,recipients,18,27,24.49,24-27,24,27,25,no,5428836,0,26550,27302
12,healthy,healthy,first experiment,6,6,26.0,23-39,23,39,26,no,3422286,0,8558,9073
14,healthy,healthy,second experiment,7,7,23.0,24-30,24,30,23,no,3422286,0,8558,9073
48,healthy,healthy,treatment,24,24,26.4,26.4±4.9,21,35,26,no,2993660,0,19298,19503
23,healthy,healthy,participants,11,12,24.2,18-31,18,31,24,no,4436102,0,11102,11949
18,none,healthy,none,9,9,30.3,30-34,30,34,30,no,6726765,0,7719,8450
15,healthy,healthy,undergraduate students,10,5,2022.0,20-22 years,20,22,21,yes,6989437,0,9041,9577
40,healthy,healthy,Tohoku University community,32,8,20.5,18-28,18,28,20,no,3605341,0,12059,12659
10,none,healthy,undergraduate and graduate students,4,6,20.8,none,18,25,20,no,6528067,0,11679,12501
20,healthy,healthy,participants,12,8,24.4,19-35 years,19,35,24,no,3147157,0,7853,8437
51,healthy,healthy,study1,31,41,43.71,27.49-55.91,27,55,43,no,6664004,0,9809,11672
53,healthy,healthy,study2,25,27,13.37,12.18-14.82,12,15,13,yes,6664004,0,9809,11672
20,healthy,healthy,undergraduate and postgraduate students,10,10,22.3,1928 years,19,28,22,no,7002496,0,9427,10109
20,healthy,healthy,participants,11,9,23.0,18-27,18,27,23,no,7339141,0,6763,7761
22,healthy,healthy,behavioral,17,5,24.5,19-59,19,59,24,no,4349631,0,5763,6450
16,healthy,healthy,imaging,11,5,25.5,20-59,20,59,25,yes,4349631,0,5763,6450
33,healthy,healthy,volunteers,17,16,25.3,25.3±2.8,22,28,25,no,3676955,0,3877,4423
18,neurologically healthy,healthy,University of Gothenburg,9,9,26.0,20-32,20,32,26,no,4318429,0,6580,6988
55,healthy,healthy,adolescents,17,38,13.082,12-14,12,14,13,no,7057279,0,6753,7414
40,healthy,healthy,participants,20,0,20.0,18-23 yrs,18,23,20,no,4370584,0,11424,11801
11,none,healthy,observers,8,3,33.1,25-47,25,47,33,no,6328158,0,9509,10064
12,none,healthy,none,12,0,31.0,31±9.6,18,55,31,no,3258233,0,6311,6921
34,none,healthy,none,19,15,25.24,20-30,20,30,25,no,7156375,0,46685,47319
15,none,healthy,none,8,7,25.5,20-30,20,30,25,no,2390848,0,22735,23247
23,healthy,healthy,behavioral,4,19,27.69,23.67-3.5,19,35,27,no,2144768,0,59146,59841
14,healthy,healthy,participants,5,9,27.7,27-7,27,7,27,no,6198067,0,8869,9939
43,healthy,healthy,fMRI,10,21,24.3,20-29 years,20,29,24,yes,6847157,0,10334,11086
23,community-dwelling young men,healthy,community-dwelling,23,0,29.96,29.96.9,29,30,29,no,9548384,0,4925,6082
19,healthy,healthy,paid volunteers,7,12,27.9,SD 7.4 years,0,0,0,yes,7456884,0,7752,8584
17,none,healthy,none,5,12,24.0,18-31,18,31,24,no,5902547,0,15536,16064
15,none,healthy,university students,13,2,22.33,20-25,20,25,22,no,4838249,0,6364,7265
29,healthy,healthy,participants,15,14,34.5,34.5±12.2,22,56,34,no,6868994,0,7334,7745
16,healthy,healthy,volunteers,8,8,25.6,22-30,22,30,25,no,3889700,0,16355,17140
1418,healthy,healthy,discovery and replication samples,546,872,22.39,18-35,18,35,22,no,9564100,0,24189,25345
