count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid,rank,start_char,end_char
15.0,healthy,healthy,adult volunteers,5.0,10.0,31.6,22-54,22.0,54.0,,yes,7981326.0,0,9579,10553
23.0,healthy,healthy,all_participants,18.0,5.0,22.0,,,,,no,4330553.0,0,10707,11145
15.0,healthy,healthy,fMRI participants,8.0,7.0,22.21,,,,,yes,6195265.0,0,13097,13950
45.0,healthy,healthy,all participants,18.0,27.0,24.49,,,,,yes,5428836.0,0,26550,27302
12.0,,healthy,experiment 1,6.0,6.0,26.0,23-39,23.0,39.0,,yes,3422286.0,0,8558,9073
14.0,,healthy,experiment 2,7.0,7.0,23.0,24-30,24.0,30.0,,yes,3422286.0,0,8558,9073
48.0,healthy,healthy,completed study,24.0,24.0,26.4,,,,,no,2993660.0,0,19298,19503
23.0,,healthy,study participants,11.0,12.0,24.2,18-31,18.0,31.0,,no,4436102.0,0,11102,11949
18.0,healthy,healthy,all participants,9.0,9.0,30.3,,,,,yes,6726765.0,0,7719,8450
13.0,healthy,healthy,undergraduate students,8.0,5.0,,20-22,20.0,22.0,,yes,6989437.0,0,9041,9577
40.0,healthy,healthy,volunteers,32.0,8.0,20.5,18-28,18.0,28.0,,yes,3605341.0,0,12059,12659
20.0,healthy,healthy,adults,12.0,8.0,24.4,19-35,19.0,35.0,,yes,3147157.0,0,7853,8437
51.0,,healthy,adolescents,26.0,25.0,13.98,12.03-15.94,12.0,15.0,,yes,6664004.0,0,9809,11672
20.0,healthy,healthy,students,10.0,10.0,22.3,19-28,19.0,28.0,,yes,7002496.0,0,9427,10109
20.0,,healthy,all_participants,9.0,11.0,23.0,18-27,18.0,27.0,,yes,7339141.0,0,6763,7761
22.0,healthy,healthy,Experiment 1,17.0,5.0,,19-41,19.0,41.0,,no,4349631.0,0,5763,6450
16.0,healthy,healthy,Experiment 2,11.0,5.0,,20-59,20.0,59.0,,yes,4349631.0,0,5763,6450
33.0,healthy,healthy,volunteers,17.0,16.0,25.3,,,,,yes,3676955.0,0,3877,4423
18.0,neurologically healthy,healthy,all participants,9.0,9.0,,20-32,20.0,32.0,,yes,4318429.0,0,6580,6988
55.0,healthy,healthy,adolescents,17.0,38.0,13.82,12-14,12.0,14.0,,yes,7057279.0,0,6753,7414
40.0,healthy,healthy,all_participants,20.0,20.0,20.0,18-23,18.0,23.0,,yes,4370584.0,0,11424,11801
11.0,,healthy,observers,8.0,3.0,33.1,25-47,25.0,47.0,,yes,6328158.0,0,9509,10064
12.0,,healthy,male participants,12.0,0.0,31.0,18-55,18.0,55.0,,yes,3258233.0,0,6311,6921
16.0,no history of neurological or psychiatric illness,healthy,healthy subjects,9.0,7.0,,18-35,18.0,35.0,,yes,3183226.0,0,28022,28467
33.0,,healthy,all participants,18.0,15.0,25.24,,,,,yes,7156375.0,0,46685,47319
18.0,healthy,healthy,fMRI participants,9.0,9.0,23.67,19-35,19.0,35.0,,yes,2144768.0,0,59146,59841
15.0,,healthy,all participants,8.0,7.0,,,,,,yes,2390848.0,0,22735,23247
