pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
2648877,Autism Spectrum Disorder,C0524528,Autism spectrum disorder,0.9845767617225647,15.0,108,,
2648877,Autism Spectrum Disorder,C1510586,Autism spectrum disorder,0.9845767617225647,15.0,108,,
2648877,Autism Spectrum Disorder,C0004352,Autism disorder,0.7902024388313293,15.0,108,,
2648877,Autism Spectrum Disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7291615009307861,15.0,108,,
2648877,Autism Spectrum Disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.721701443195343,15.0,108,,
3002948,phobic prone,C0033422,Prone,0.6658980846405029,15.0,180,,
3002948,phobic prone,C0349231,phobic disorder,0.5297921299934387,15.0,180,,
3002948,eating disorders prone,C0013473,EATING DISORDERS,0.8533963561058044,15.0,181,,
3002948,eating disorders prone,C0596170,binge disorders eating,0.7596011161804199,15.0,181,,
3002948,eating disorders prone,C0855228,Disordered Eating,0.7074334025382996,15.0,181,,
3002948,eating disorders prone,C4042784,Feeding and Eating Disorders,0.6898925304412842,15.0,181,,
3002948,eating disorders prone,C0013447,disorders earing,0.6843474507331848,15.0,181,,
3045463,Parkinson's disease,C0030567,DISEASE PARKINSON'S,0.9629952907562256,21.0,383,,
3182403,Parkinson's disease,C0030567,DISEASE PARKINSON'S,0.9629952907562256,21.0,194,,
3409150,Chinese smokers,C0008120,chinese,0.6990295648574829,18.0,220,,
3409150,Chinese smokers,C0018555,Chinese,0.6990295648574829,18.0,220,,
3409150,Chinese smokers,C0152035,chinese,0.6990295648574829,18.0,220,,
3409150,Chinese smokers,C4761455,Man Chinese,0.5925173759460449,18.0,220,,
3409150,Chinese smokers,C4761672,Li Chinese,0.5863176584243774,18.0,220,,
3423412,Alzheimer's disease,C0002395,alzheimer's disease,0.946372389793396,14.0,455,,
3423412,Alzheimer's disease,C1863052,Alzheimer's Disease 1,0.932833194732666,14.0,455,,
3423412,Alzheimer's disease,C1843013,Alzheimer's Disease 3,0.9258649349212646,14.0,455,,
3423412,Alzheimer's disease,C1847200,Alzheimer's Disease 4,0.9239505529403687,14.0,455,,
3423412,Alzheimer's disease,C3554452,Alzheimer's Disease 17,0.8971145153045654,14.0,455,,
3423412,Mild cognitive impairment,C1270972,Mild cognitive impairment,0.9720510244369507,8.0,456,,
3423412,Mild cognitive impairment,C0338656,cognitive impairment,0.8798452019691467,8.0,456,,
3423412,Mild cognitive impairment,C3554639,Severe cognitive impairment,0.7759852409362793,8.0,456,,
3447931,Amyotrophic lateral sclerosis,C0002736,Amyotrophic lateral sclerosis,0.972338080406189,20.0,91,,
3447931,Amyotrophic lateral sclerosis,C1862939,Amyotrophic Lateral Sclerosis 1,0.95508873462677,20.0,91,,
3447931,Amyotrophic lateral sclerosis,C1822695,amyotrophic lateral sclerosis 4,0.9438249468803406,20.0,91,,
3447931,Amyotrophic lateral sclerosis,C1414860,amyotrophic lateral sclerosis 6,0.9394366145133972,20.0,91,,
3447931,Amyotrophic lateral sclerosis,C2931786,Amyotrophic Lateral Sclerosis 6,0.9394366145133972,20.0,91,,
3502502,healthy,C3898900,Healthy,0.9904220700263977,24.0,206,,
3502502,healthy,C0452415,Healthy Eating,0.791326642036438,24.0,206,,
3502502,healthy,C2963171,Healthy Aging,0.7907637357711792,24.0,206,,
3502502,healthy,C0018684,Health,0.7903434038162231,24.0,206,,
3502502,healthy,C2986479,Healthy Control,0.7621602416038513,24.0,206,,
3502502,healthy,C3898900,Healthy,0.9904220700263977,46.0,207,,
3502502,healthy,C0452415,Healthy Eating,0.791326642036438,46.0,207,,
3502502,healthy,C2963171,Healthy Aging,0.7907637357711792,46.0,207,,
3502502,healthy,C0018684,Health,0.7903434038162231,46.0,207,,
3502502,healthy,C2986479,Healthy Control,0.7621602416038513,46.0,207,,
3510214,mal de debarquement syndrome,C1608983,Mal de debarquement syndrome,0.9310316443443298,20.0,208,,
3510214,mal de debarquement syndrome,C0853695,syndrome de,0.6530311703681946,20.0,208,,
3510214,mal de debarquement syndrome,C0878681,Dent syndrome,0.6516091823577881,20.0,208,,
3510214,mal de debarquement syndrome,C4303593,DEND syndrome,0.5567460060119629,20.0,208,,
3510214,mal de debarquement syndrome,C0039082,Syndrome,0.5411238670349121,20.0,208,,
3520927,apolipoprotein E 2/3,C0003595,Apolipoprotein E,0.8859776854515076,20.0,185,,
3520927,apolipoprotein E 2/3,C1412481,apolipoprotein E,0.8859776854515076,20.0,185,,
3520927,apolipoprotein E 2/3,C4308468,Apolipoprotein E,0.8859776854515076,20.0,185,,
3520927,apolipoprotein E 2/3,C0003591,apolipoprotein,0.8575111031532288,20.0,185,,
3520927,apolipoprotein E 2/3,C1325281,apolipoprotein,0.8575111031532288,20.0,185,,
3520927,apolipoprotein E 3/4,C0003595,Apolipoprotein E,0.8859776854515076,20.0,186,,
3520927,apolipoprotein E 3/4,C1412481,apolipoprotein E,0.8859776854515076,20.0,186,,
3520927,apolipoprotein E 3/4,C4308468,Apolipoprotein E,0.8859776854515076,20.0,186,,
3520927,apolipoprotein E 3/4,C0003591,apolipoprotein,0.8575111031532288,20.0,186,,
3520927,apolipoprotein E 3/4,C1325281,apolipoprotein,0.8575111031532288,20.0,186,,
3660406,younger adults,C0238598,Young adults,0.8487861752510071,19.0,190,,
3660406,younger adults,C0001675,Adults,0.6638367772102356,19.0,190,,
3660406,younger adults,C3554568,Young adult onset,0.6011301875114441,19.0,190,,
3660406,younger adults,C0043119,adults progeria,0.5983351469039917,19.0,190,,
3660406,younger adults,C0001792,Older Adults,0.5858050584793091,19.0,190,,
3660406,older adults,C0001792,Older Adults,0.9675685167312622,15.0,191,,
3660406,older adults,C5209212,Nutrition for Older Adults,0.7402023077011108,15.0,191,,
3660406,older adults,C0001675,Adults,0.721666693687439,15.0,191,,
3660406,older adults,C1456525,Exercise for Older Adults,0.7175512313842773,15.0,191,,
3660406,older adults,C5421794,"Mental Health, Older Adults",0.6958823800086975,15.0,191,,
3672681,healthy,C3898900,Healthy,0.9904220700263977,46.0,392,,
3672681,healthy,C0452415,Healthy Eating,0.791326642036438,46.0,392,,
3672681,healthy,C2963171,Healthy Aging,0.7907637357711792,46.0,392,,
3672681,healthy,C0018684,Health,0.7903434038162231,46.0,392,,
3672681,healthy,C2986479,Healthy Control,0.7621602416038513,46.0,392,,
3672681,healthy,C3898900,Healthy,0.9904220700263977,32.0,393,,
3672681,healthy,C0452415,Healthy Eating,0.791326642036438,32.0,393,,
3672681,healthy,C2963171,Healthy Aging,0.7907637357711792,32.0,393,,
3672681,healthy,C0018684,Health,0.7903434038162231,32.0,393,,
3672681,healthy,C2986479,Healthy Control,0.7621602416038513,32.0,393,,
3701149,Typically developing adolescents,C0870101,Adolescent Development,0.5987566709518433,22.0,412,,
3701149,Typically developing adolescents,C0205653,Adolescents,0.5978067517280579,22.0,412,,
3701149,Typically developing adolescents,C0237404,adolescents mother,0.5049275159835815,22.0,412,,
