pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
2494616,"unilateral, upper limb amputation and phantom limb pain",C0031315,PHANTOM LIMB PAIN,0.6671693325042725,13.0,75,8118,20615
2494616,"unilateral, upper limb amputation and phantom limb pain",C0239377,Upper limb pain,0.6447744965553284,13.0,75,8118,20615
2648877,Autism Spectrum Disorder,C0524528,Autism spectrum disorder,0.9845767617225647,15.0,9,10521,18387
2648877,Autism Spectrum Disorder,C1510586,Autism spectrum disorder,0.9845767617225647,15.0,9,10521,18387
2648877,Autism Spectrum Disorder,C0004352,Autism disorder,0.7902024388313293,15.0,9,10521,18387
2648877,Autism Spectrum Disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7291615009307861,15.0,9,10521,18387
2648877,Autism Spectrum Disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.721701443195343,15.0,9,10521,18387
3002948,phobic prone,C0033422,Prone,0.6658980846405029,15.0,59,8290,19457
3002948,phobic prone,C0349231,phobic disorder,0.5297921299934387,15.0,59,8290,19457
3002948,eating disorders prone,C0013473,EATING DISORDERS,0.8533963561058044,15.0,60,8290,19457
3002948,eating disorders prone,C0596170,binge disorders eating,0.7596011161804199,15.0,60,8290,19457
3002948,eating disorders prone,C0855228,Disordered Eating,0.7074334025382996,15.0,60,8290,19457
3002948,eating disorders prone,C4042784,Feeding and Eating Disorders,0.6898925304412842,15.0,60,8290,19457
3002948,eating disorders prone,C0013447,disorders earing,0.6843474507331848,15.0,60,8290,19457
3045463,idiopathic Parkinson's disease,C0030567,Idiopathic Parkinson's disease,0.9701851606369019,21.0,49,6018,21237
3182403,Parkinson's disease,C0030567,DISEASE PARKINSON'S,0.9629952907562256,21.0,357,0,26805
3324921,epilepsy,C0014544,epilepsy,0.9930600523948669,5.0,216,9056,28693
3324921,epilepsy,C0014547,Local epilepsy,0.8565506935119629,5.0,216,9056,28693
3324921,epilepsy,C0014553,Minor epilepsy,0.8548762202262878,5.0,216,9056,28693
3324921,epilepsy,C0393725,Eating epilepsy,0.8358542323112488,5.0,216,9056,28693
3324921,epilepsy,C0376532,epilepsy roland,0.8218892216682434,5.0,216,9056,28693
3409150,smokers,C0337664,Smokers,0.9901642799377441,18.0,154,8385,20226
3409150,smokers,C0337671,ex smokers,0.9168155789375305,18.0,154,8385,20226
3409150,smokers,C3241966,Smoker,0.822004497051239,18.0,154,8385,20226
3409150,smokers,C0399478,Smokers keratosis,0.79575514793396,18.0,154,8385,20226
3409150,smokers,C0337666,cigar smokers,0.7600803375244141,18.0,154,8385,20226
3423412,Alzheimer disease,C0002395,ALZHEIMER DISEASE,0.9341862797737122,14.0,382,2069,24627
3423412,Alzheimer disease,C1364818,Alzheimer disease,0.9341862797737122,14.0,382,2069,24627
3423412,Alzheimer disease,C1418985,Alzheimer disease 3,0.9084566235542297,14.0,382,2069,24627
3423412,Alzheimer disease,C1843013,Alzheimer disease 3,0.9084566235542297,14.0,382,2069,24627
3423412,Alzheimer disease,C1418986,Alzheimer disease 4,0.9060426950454712,14.0,382,2069,24627
3423412,mild cognitive impairment,C1270972,Mild cognitive impairment,0.9720510244369507,8.0,383,2069,24627
3423412,mild cognitive impairment,C0338656,cognitive impairment,0.8798452019691467,8.0,383,2069,24627
3423412,mild cognitive impairment,C3554639,Severe cognitive impairment,0.7759852409362793,8.0,383,2069,24627
3447931,amyotrophic lateral sclerosis,C0002736,Amyotrophic lateral sclerosis,0.972338080406189,20.0,324,0,25604
