count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid,rank,start_char,end_char
15.0,,healthy,healthy adults,5.0,10.0,31.69,22-54,22.0,54.0,,yes,7981326,0,9579,10553
23.0,none,healthy,healthy participants,18.0,5.0,222.0,,,,,yes,4330553,0,10707,11145
16.0,no history of neurological or psychiatric illness,healthy,all,9.0,7.0,,18-35,18.0,35.0,,yes,3183226,0,28053,28467
15.0,none,healthy,right-handed,8.0,7.0,22.21,,,,,yes,6195265,0,13097,13950
45.0,none,healthy,healthy,18.0,27.0,24.49,,,,,yes,5428836,0,26550,27302
12.0,,healthy,first experiment,6.0,6.0,26.0,23-39,23.0,39.0,,yes,3422286,0,8558,9073
14.0,,healthy,second experiment,7.0,7.0,23.0,24-30,24.0,30.0,,yes,3422286,0,8558,9073
48.0,none,healthy,treatment group 1,24.0,24.0,26.4,,,,,yes,2993660,0,19298,19503
23.0,,healthy,all,11.0,12.0,24.2,18-31,18.0,31.0,,no,4436102,0,11102,11949
18.0,none,healthy,right-handed volunteers,9.0,9.0,30.3,26-34,26.0,34.0,,yes,6726765,0,7719,8450
15.0,none,healthy,undergraduate students,10.0,5.0,,20-22,20.0,22.0,,yes,6989437,0,9041,9577
40.0,"No subject had a history of neurological, psychiatric, or major medical disorders",healthy,healthy volunteers,32.0,8.0,20.5,18-28,18.0,28.0,,yes,3605341,0,12059,12659
10.0,,healthy,students,4.0,6.0,20.8,,,,,yes,6528067,0,11679,12501
20.0,,healthy,healthy adults,12.0,8.0,24.4,19-35,19.0,35.0,,no,3147157,0,7853,8437
51.0,,healthy,adolescents,26.0,25.0,13.98,12.03-15.94,12.0,15.0,,yes,6664004,0,9809,11672
20.0,none,healthy,healthy undergraduate and postgraduate students,10.0,10.0,22.3,19-28,19.0,28.0,,yes,7002496,0,9427,10109
20.0,,healthy,,9.0,11.0,23.0,18-27,18.0,27.0,,yes,7339141,0,6763,7761
16.0,none,healthy,Experiment 2,11.0,5.0,,20-59,20.0,59.0,,yes,4349631,0,5763,6450
33.0,none,healthy,right-handed volunteers,17.0,16.0,25.3,,,,,no,3676955,0,3877,4423
18.0,none,healthy,University of Gothenburg,9.0,9.0,,20-32,20.0,32.0,,yes,4318429,0,6580,6988
55.0,,healthy,adolescents,17.0,38.0,13.082,12-14,12.0,14.0,,yes,7057279,0,6753,7414
40.0,,healthy,,20.0,20.0,20.0,18-23,18.0,23.0,,yes,4370584,0,11424,11801
11.0,none,healthy,right-handed observers,8.0,3.0,33.1,25-47,25.0,47.0,,no,6328158,0,9509,10064
18.0,none,healthy,right-handed healthy volunteers,9.0,9.0,23.67,19-35,19.0,35.0,,yes,2144768,0,59146,59841
11.0,none,healthy,healthy,7.0,4.0,28.0,21-35,21.0,35.0,,yes,6198067,0,8869,9939
31.0,,healthy,,10.0,21.0,24.3,20-29,20.0,29.0,,yes,6847157,0,10334,11086
23.0,,healthy,community-dwelling young men,23.0,0.0,29.96,,,,,no,9548384,0,4925,6082
19.0,none,healthy,healthy volunteers,12.0,7.0,27.9,,,,,yes,7456884,0,7752,8584
60.0,,healthy,participants,,,,,,,,yes,5902547,2,16064,19777
15.0,none,healthy,university students,15.0,0.0,22.33,,,,,no,4838249,0,6364,7265
29.0,none,healthy,all participants,15.0,14.0,34.5,,,,,yes,6868994,0,7334,7745
15.0,none,healthy,,7.0,8.0,25.6,22-30,22.0,30.0,,yes,3889700,0,16355,17140
1418.0,none,healthy,young participants,546.0,872.0,22.39,18-35,18.0,35.0,,no,9564100,0,24189,25345
55.0,,healthy,White male participants,55.0,0.0,24.255,18-35,18.0,35.0,,yes,6434022,0,30465,32004
24.0,without a history of neurological or psychological complications,healthy,Study 1,0.0,24.0,24.0,20-30,20.0,30.0,,yes,3965851,0,13949,14774
18.0,without a history of neurological or psychological complications,healthy,Study 2,0.0,18.0,24.0,20-30,20.0,30.0,,yes,3965851,0,13949,14774
13.0,,healthy,DCG,5.0,8.0,23.1,20-26,20.0,26.0,,yes,4034409,0,13409,14663
13.0,,healthy,TCG,4.0,9.0,23.5,21-26,21.0,26.0,,yes,4034409,0,13409,14663
31.0,normal neurological history,healthy,Duke University students,16.0,15.0,20.0,18-22,18.0,22.0,20.0,yes,3539852,0,18645,19836
