pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
2494616,phantom limb pain,C0031315,PHANTOM LIMB PAIN,0.9794905185699463,13,188,,
2494616,phantom limb pain,C4048296,Phantom Limb Pain,0.9794905185699463,13,188,,
2494616,phantom limb pain,C3495442,Phantom pain,0.8421396017074585,13,188,,
2494616,phantom limb pain,C0030196,pain limb,0.7109892964363098,13,188,,
2494616,phantom limb pain,C0452135,Phantom limb syndrome without pain,0.6966620087623596,13,188,,
2561002,right-handed,C0919262,Right-Handed DNA,0.8494227528572083,19,43,,
2561002,right-handed,C1517773,Right-Handed Beta-Alpha Superhelix,0.5896397233009338,19,43,,
2561002,right-handed,C0205090,right sided,0.5322900414466858,19,43,,
2561002,right-handed,C0444532,right sided,0.5322900414466858,19,43,,
2561002,right-handed,C0043442,Left-Handed DNA,0.5246121287345886,19,43,,
2561002,left-handed,C0043442,Left-Handed DNA,0.8424458503723145,15,44,,
2561002,left-handed,C1516692,Left-Handed Twist,0.7570056915283203,15,44,,
2561002,left-handed,C1148747,left-handed Z-DNA binding,0.6445634961128235,15,44,,
2561002,left-handed,C0919262,Right-Handed DNA,0.5448070764541626,15,44,,
2748718,nonbelievers,C0002771,Pain Relievers,0.6171939969062805,15,41,,
2748718,nonbelievers,C0004951,Believe,0.5784448385238647,15,41,,
2748718,Christians,C0344346,christians,0.9938357472419739,15,42,,
2748718,Christians,C0008532,Christian,0.8474553227424622,15,42,,
2748718,Christians,C0242220,Protestant Christian,0.6515681743621826,15,42,,
2748718,Christians,C0030328,disease weber christians,0.6396371722221375,15,42,,
2748718,Christians,C2678194,Christianson Syndrome,0.6355597972869873,15,42,,
3045463,Parkinson's disease,C0030567,DISEASE PARKINSON'S,0.9629952907562256,21,5,,
3409150,nicotine-deprived smokers,C0047964,Nicotine-Derived Nitrosamine Ketone,0.5472185611724854,18,40,,
3409150,nicotine-deprived smokers,C0389836,Nicotine-Derived Nitrosamine Alcohol,0.5383540391921997,18,40,,
3409150,nicotine-deprived smokers,C0337664,Smokers,0.5347498655319214,18,40,,
3409150,nicotine-deprived smokers,C0028040,NICOTINE,0.5174999237060547,18,40,,
3423412,Alzheimer disease,C0002395,ALZHEIMER DISEASE,0.9341862797737122,14,11,,
3423412,Alzheimer disease,C1364818,Alzheimer disease,0.9341862797737122,14,11,,
3423412,Alzheimer disease,C1418985,Alzheimer disease 3,0.9084566235542297,14,11,,
3423412,Alzheimer disease,C1843013,Alzheimer disease 3,0.9084566235542297,14,11,,
3423412,Alzheimer disease,C1418986,Alzheimer disease 4,0.9060426950454712,14,11,,
3423412,mild cognitive impairment,C1270972,Mild cognitive impairment,0.9720510244369507,8,12,,
3423412,mild cognitive impairment,C0338656,cognitive impairment,0.8798452019691467,8,12,,
3423412,mild cognitive impairment,C3554639,Severe cognitive impairment,0.7759852409362793,8,12,,
3447931,amyotrophic lateral sclerosis,C0002736,Amyotrophic lateral sclerosis,0.972338080406189,20,38,,
3447931,amyotrophic lateral sclerosis,C1862939,Amyotrophic Lateral Sclerosis 1,0.95508873462677,20,38,,
3447931,amyotrophic lateral sclerosis,C1822695,amyotrophic lateral sclerosis 4,0.9438249468803406,20,38,,
3447931,amyotrophic lateral sclerosis,C1414860,amyotrophic lateral sclerosis 6,0.9394366145133972,20,38,,
3447931,amyotrophic lateral sclerosis,C2931786,Amyotrophic Lateral Sclerosis 6,0.9394366145133972,20,38,,
3492343,none,C0456148,None,0.9886488318443298,58,20,,
3492343,none,C0549184,None,0.9886488318443298,58,20,,
