pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
8883821,schizophrenia (schizophrenia),C0036341,schizophrenia,0.9129205942153931,28,0,,
8883821,autism spectrum disorder (autism spectrum disorders),C0524528,Autism spectrum disorder,0.9151028394699097,20,1,,
8883821,autism spectrum disorder (autism spectrum disorders),C1510586,Autism spectrum disorder,0.9151028394699097,20,1,,
8883821,autism spectrum disorder (autism spectrum disorders),C0004352,Autism disorder,0.7178959846496582,20,1,,
8883821,autism spectrum disorder (autism spectrum disorders),C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.6777045726776123,20,1,,
8883821,autism spectrum disorder (autism spectrum disorders),C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.6707634329795837,20,1,,
9407088,autism spectrum disorder,C0524528,Autism spectrum disorder,1.0,1112,3,,
9407088,autism spectrum disorder,C1510586,Autism spectrum disorder,1.0,1112,3,,
9407088,autism spectrum disorder,C0004352,Autism disorder,0.8036827445030212,1112,3,,
9407088,autism spectrum disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7405830025672913,1112,3,,
9407088,autism spectrum disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.7330023646354675,1112,3,,
9407088,autism spectrum disorder,C0524528,Autism spectrum disorder,1.0,1114,4,,
9407088,autism spectrum disorder,C1510586,Autism spectrum disorder,1.0,1114,4,,
9407088,autism spectrum disorder,C0004352,Autism disorder,0.8036827445030212,1114,4,,
9407088,autism spectrum disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7405830025672913,1114,4,,
9407088,autism spectrum disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.7330023646354675,1114,4,,
8785614,arterial ischemic stroke (arterial ischemic stroke),C0948008,Ischemic stroke,0.821998119354248,26,7,,
8785614,arterial ischemic stroke (arterial ischemic stroke),C5680049,Pediatric arterial ischemic stroke,0.8014748692512512,26,7,,
8785614,arterial ischemic stroke (arterial ischemic stroke),C4763940,Non-ischemic Stroke,0.6470802426338196,26,7,,
8785614,periventricular venous infarction (periventricular venous infarction),C5237503,Periventricular,0.6566748023033142,26,8,,
8785614,periventricular venous infarction (periventricular venous infarction),C0392041,Testicular infarction,0.6058995723724365,26,8,,
8785614,periventricular venous infarction (periventricular venous infarction),C0018827,ventricular,0.5865625739097595,26,8,,
8785614,periventricular venous infarction (periventricular venous infarction),C1522565,Ventricular,0.5865625739097595,26,8,,
8785614,periventricular venous infarction (periventricular venous infarction),C4331000,Periventricular Region,0.5815370678901672,26,8,,
9230060,affective violence (VA),C0042693,violence,0.5144426226615906,6,11,,
9230060,non-violent crime (non-violence),C5556942,Non-Viable,0.5635234713554382,7,12,,
9230060,non-violent crime (non-violence),C1518392,Non-Visceral,0.5578678846359253,7,12,,
9230060,non-violent crime (non-violence),C0042693,Violent Crime,0.5523657202720642,7,12,,
9230060,non-violent crime (non-violence),C0302535,Non-vital tooth,0.5253719091415405,7,12,,
8782893,attention/deficit hyperactivity disorder,C1263846,Attention Deficit Hyperactivity Disorder,0.8728547692298889,167,16,,
8782893,attention/deficit hyperactivity disorder,C0339002,Attention deficit disorder without hyperactivity,0.7822327017784119,167,16,,
8978988,GNE myopathy with congenital thrombocytopenia,C0272278,Congenital thrombocytopenia,0.7709707617759705,1,19,,
8978988,GNE myopathy with congenital thrombocytopenia,C0040034,THROMBOCYTOPENIA,0.6551616787910461,1,19,,
8978988,GNE myopathy with congenital thrombocytopenia,C0392386,Thrombocytopenia,0.6551616787910461,1,19,,
8978988,GNE myopathy with congenital thrombocytopenia,C0005818,THROMBOCYTOPATHY,0.649576723575592,1,19,,
8978988,GNE myopathy with congenital thrombocytopenia,C3710589,Congenital Myopathy with Caps,0.6420186758041382,1,19,,
8933759,LMesial temporal lobe epilepsy,C0014556,temporal lobe epilepsy,0.8501549959182739,12,20,,
8933759,LMesial temporal lobe epilepsy,C1842564,Familial temporal lobe epilepsy,0.7809966802597046,12,20,,
8933759,LMesial temporal lobe epilepsy,C4749273,Benign familial mesial temporal lobe epilepsy,0.7602789998054504,12,20,,
8933759,LMesial temporal lobe epilepsy,C4551957,"Epilepsy, Familial Temporal Lobe 1",0.6825541257858276,12,20,,
8933759,LMesial temporal lobe epilepsy,C4749367,Mesial temporal lobe epilepsy with hippocampal sclerosis,0.6639383435249329,12,20,,
8933759,RMesial temporal lobe epilepsy,C0014556,temporal lobe epilepsy,0.8505703806877136,11,21,,
8933759,RMesial temporal lobe epilepsy,C1842564,Familial temporal lobe epilepsy,0.7813782691955566,11,21,,
8933759,RMesial temporal lobe epilepsy,C4749273,Benign familial mesial temporal lobe epilepsy,0.7606504559516907,11,21,,
8933759,RMesial temporal lobe epilepsy,C4551957,"Epilepsy, Familial Temporal Lobe 1",0.682887852191925,11,21,,
8933759,RMesial temporal lobe epilepsy,C4749367,Mesial temporal lobe epilepsy with hippocampal sclerosis,0.6642627120018005,11,21,,
9205431,APOE-4 carriers,C0007294,carriers,0.6121917963027954,38,23,,
9205431,APOE-4 carriers,C3888060,Carriers,0.6121917963027954,38,23,,
9205431,APOE-4 carriers,C1736727,Dental Carriers,0.5158060193061829,38,23,,
9205431,APOE-4 carriers,C0560175,Carrier,0.5092262029647827,38,23,,
9205431,APOE-4 carriers,C1325398,carrier,0.5092262029647827,38,23,,
9461104,Pontocerebellar Hypoplasia (Pontocerebellar hypoplasia),C0266468,Pontocerebellar Hypoplasia,0.9530061483383179,6,25,,
9461104,Pontocerebellar Hypoplasia (Pontocerebellar hypoplasia),C1261175,Pontocerebellar hypoplasia,0.9530061483383179,6,25,,
9461104,Pontocerebellar Hypoplasia (Pontocerebellar hypoplasia),C5442006,Pontocerebellar hypoplasia type 1,0.8687232136726379,6,25,,
9461104,Pontocerebellar Hypoplasia (Pontocerebellar hypoplasia),C2932714,Pontocerebellar Hypoplasia Type 2,0.865042507648468,6,25,,
9461104,Pontocerebellar Hypoplasia (Pontocerebellar hypoplasia),C1842687,Pontocerebellar hypoplasia type 3,0.8621416091918945,6,25,,
9308181,tuberous sclerosis complex,C0041341,tuberous sclerosis complex,1.0,173,28,,
9308181,tuberous sclerosis complex,C2247022,tuberous sclerosis complex,1.0,173,28,,
9308181,tuberous sclerosis complex,C4317139,tuberous sclerosis complex 1 protein,0.9197196364402771,173,28,,
9308181,tuberous sclerosis complex,C0291147,Tuberous Sclerosis Complex 2 Protein,0.9154935479164124,173,28,,
9308181,tuberous sclerosis complex,C0694894,tuberous sclerosis 1,0.8308829069137573,173,28,,
8939409,internet addiction,C5392078,Internet Addiction,1.0,24,29,,
8939409,internet addiction,C0085281,Addiction,0.7473107576370239,24,29,,
8939409,internet addiction,C0282111,internet,0.664474606513977,24,29,,
8939409,internet addiction,C4505067,Addiction medicine,0.6151947975158691,24,29,,
8939409,internet addiction,C4505163,Food Addiction,0.6064435243606567,24,29,,
3984441,dementia with Lewy bodies,C0752347,Dementia with Lewy Bodies,0.9999999403953552,16,31,,
3984441,dementia with Lewy bodies,C0085200,Lewy bodies,0.8099823594093323,16,31,,
3984441,dementia with Lewy bodies,C0752347,Dementia with Lewy Bodies,0.9999999403953552,16,134,,
3984441,dementia with Lewy bodies,C0085200,Lewy bodies,0.8099823594093323,16,134,,
3913832,anorexia nervosa,C0003125,Anorexia nervosa,1.0,31,33,,
3913832,anorexia nervosa,C5396958,Orthorexia nervosa,0.8318778276443481,31,33,,
3913832,anorexia nervosa,C5568567,Prepubertal anorexia nervosa,0.7663750648498535,31,33,,
3913832,anorexia nervosa,C0003123,Anorexia,0.71235591173172,31,33,,
3913832,anorexia nervosa,C0003125,Anorexia nervosa,1.0,31,439,,
3913832,anorexia nervosa,C5396958,Orthorexia nervosa,0.8318778276443481,31,439,,
3913832,anorexia nervosa,C5568567,Prepubertal anorexia nervosa,0.7663750648498535,31,439,,
3913832,anorexia nervosa,C0003123,Anorexia,0.71235591173172,31,439,,
5416685,major depression,C0041696,Major Depression,1.0,20,37,,
5416685,major depression,C1269683,major depression,1.0,20,37,,
5416685,major depression,C0024517,major depressive episode,0.7280328273773193,20,37,,
5416685,major depression,C0041696,Major Depression,1.0,19,39,,
5416685,major depression,C1269683,major depression,1.0,19,39,,
5416685,major depression,C0024517,major depressive episode,0.7280328273773193,19,39,,
7118554,major depressive disorder,C0041696,Major Depressive Disorder,1.0,43,44,,
7118554,major depressive disorder,C1269683,Major Depressive Disorder,1.0,43,44,,
7118554,major depressive disorder,C1837929,Major Depressive Disorder 1,0.9817220568656921,43,44,,
7118554,major depressive disorder,C1837529,Major Depressive Disorder 2,0.9764902591705322,43,44,,
7118554,major depressive disorder,C0011581,depressive disorder,0.8105667233467102,43,44,,
