count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid
28.0,schizophrenia,patients,Sz,20.0,8.0,,21-54 years,21.0,54.0,,,8883821.0
20.0,autism spectrum disorder,patients,ASD,16.0,4.0,,19-43 years,19.0,43.0,,,8883821.0
30.0,neurotypical controls,healthy,controls,22.0,8.0,,19-54 years,19.0,54.0,,,8883821.0
1112.0,autism spectrum disorder,patients,ASD patients,,,,,,,,,9407088.0
573.0,normal controls,healthy,normal controls,,,,,,,,,9407088.0
1114.0,autism spectrum disorder,patients,ASD patients,,,,,,,,,9407088.0
593.0,normal controls,healthy,normal controls,,,,,,,,,9407088.0
26.0,arterial ischemic stroke,patients,AIS,,,13.0,6-19,6.0,19.0,,yes,8785614.0
26.0,periventricular venous infarction,patients,PVI,,,11.9,6-19,6.0,19.0,,yes,8785614.0
31.0,controls,healthy,controls,,,13.2,6-19,6.0,19.0,,yes,8785614.0
7.0,predatory violence (VP),patients,VP,7.0,0.0,,,,,,yes,9230060.0
6.0,affective violence (VA),patients,VA,6.0,0.0,,,,,,yes,9230060.0
7.0,non-violent crime,patients,NV,7.0,0.0,,,,,,yes,9230060.0
20.0,healthy controls (HC),healthy,HC,20.0,0.0,,,,,,yes,9230060.0
134.0,typically developing,healthy,5-year-olds,72.0,62.0,5.34,5.0-5.5,5.0,5.0,5.0,,9108497.0
216.0,"no history of genetic psychiatric or neurological illness, psychiatric treatment, or drug or alcohol abuse",patients,young adults,,,,,,,,yes,8828908.0
167.0,attention/deficit hyperactivity disorder,patients,ADHD,111.0,56.0,10.74,5-18,5.0,18.0,,yes,8782893.0
23.0,healthy,healthy,MEG Center,,,,,,,,,8752963.0
89.0,healthy,healthy,Human Connectome Project,44.0,45.0,28.5,22-35,22.0,35.0,,,8752963.0
1.0,GNE myopathy with congenital thrombocytopenia,patients,GNE myopathy,1.0,0.0,29.0,29,29.0,29.0,29.0,yes,8978988.0
12.0,left mesial temporal lobe epilepsy with hippocampal sclerosis,patients,LMTLE,,,,,,,,,8933759.0
11.0,right mesial temporal lobe epilepsy with hippocampal sclerosis,patients,RMTLE,,,,,,,,,8933759.0
23.0,healthy controls,healthy,HC,,,,,,,,,8933759.0
38.0,APOE-4 carriers,patients,APOE-4 carriers,16.0,22.0,49.9,40-60,40.0,60.0,49.0,,9205431.0
38.0,noncarriers,healthy,noncarriers,22.0,16.0,49.9,40-60,40.0,60.0,49.0,,9205431.0
6.0,Pontocerebellar Hypoplasia,patients,"PCH types 10, 7, 11",3.0,2.0,7.33,6-8,6.0,8.0,7.0,yes,9461104.0
1418.0,healthy,healthy,overall,546.0,872.0,22.39,18-35,18.0,35.0,22.0,,9564100.0
945.0,healthy,healthy,discovery,,,,,,,,,9564100.0
473.0,healthy,healthy,replication,,,,,,,,,9564100.0
23.0,healthy controls,healthy,community-dwelling young men,23.0,0.0,29.96,20-40,20.0,40.0,30.0,,9548384.0
173.0,tuberous sclerosis complex,patients,TSC patients,,,,,,,,yes,9308181.0
24.0,Internet Addiction,patients,IA,14.0,10.0,20.58,18-25,18.0,25.0,20.0,,8939409.0
23.0,Healthy Controls (HC),healthy,HC,10.0,13.0,21.13,18-25,18.0,25.0,21.0,,8939409.0
16.0,Dementia with Lewy bodies,patients,DLB patients,,,,,,,,,3984441.0
17.0,healthy controls,healthy,controls,,,,,,,,,3984441.0
31.0,Anorexia Nervosa,patients,AN,0.0,31.0,,,,,,yes,3913832.0
35.0,Healthy Controls (HC),healthy,HC,0.0,35.0,,,,,,yes,3913832.0
20.0,,patients,algebra task,,,,,,,,,4352055.0
19.0,,patients,multitasking,,,,,,,,,4352055.0
20.0,unipolar major depression,patients,primary sample,,,,,,,,yes,5416685.0
19.0,unipolar major depression,patients,validation sample,,,,,,,,yes,5416685.0
19.0,healthy controls,healthy,primary sample,,,,,,,,yes,5416685.0
20.0,healthy controls,healthy,validation sample,,,,,,,,yes,5416685.0
17.0,healthy,healthy,healthy subjects,7.0,10.0,,21-31,21.0,31.0,,yes,8837589.0
56.0,healthy controls,healthy,healthy controls,30.0,26.0,,,,,,,7118554.0
43.0,major depressive disorder,patients,MDD patients,13.0,30.0,,,,,,,7118554.0
28.0,autism spectrum disorder,patients,ASD,20.0,8.0,14.58,14.0-15.0,14.0,15.0,15.0,,8213933.0
27.0,typically developing (TD) controls,healthy,TD,18.0,9.0,14.49,14.0-15.0,14.0,15.0,14.0,,8213933.0
54.0,Chronic cannabis users,patients,CAN,,,,,,,,,7416060.0
90.0,Controls (CON),healthy,CON,,,,,,,,,7416060.0
31.0,healthy controls (HC),healthy,HC,,,,,,,,yes,8933317.0
66.0,temporal lobe epilepsy  with unilateral hippocampal sclerosis,patients,TLEHS,,,,,,,,yes,8933317.0
35.0,memory intact,patients,TLEMI,,,,,,,,yes,8933317.0
31.0,memory deficit,patients,TLEMD,,,,,,,,yes,8933317.0
160.0,healthy controls (HCs),healthy,HCs,115.0,45.0,37.04,19-59,19.0,59.0,,yes,7721229.0
151.0,schizophrenia,patients,SZ,115.0,36.0,38.77,18-62,18.0,62.0,,yes,7721229.0
314.0,healthy controls (HCs),healthy,HCs,249.0,65.0,17.04,6.47-56.20,6.0,56.0,,yes,7721229.0
255.0,autism spectrum disorder,patients,ASD,224.0,31.0,17.05,7.00-55.40,7.0,55.0,,yes,7721229.0
18.0,lung cancer,patients,lung cancer patients after chemotherapy,,,,,,,,yes,7275001.0
21.0,healthy controls (HCs),healthy,healthy controls,,,,48-70,48.0,70.0,,yes,7275001.0
