group_name,subgroup_name,count,diagnosis,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid
patients,schizophrenia,28,schizophrenia,20.0,8.0,,21-54,21.0,54.0,,yes,8883821.0
patients,autism spectrum disorder,20,autism spectrum disorder,16.0,4.0,,19-43,19.0,43.0,,yes,8883821.0
healthy,neurotypical controls,30,,22.0,8.0,,19-54,19.0,54.0,,yes,8883821.0
patients,ASD,539,autism spectrum disorder,,,,,,,,yes,9407088.0
healthy,controls,573,,,,,,,,,yes,9407088.0
patients,AIS,26,arterial ischemic stroke,,,13.02,,,,,yes,8785614.0
patients,PVI,26,periventricular venous infarction,,,11.93,,,,,yes,8785614.0
healthy,controls,31,,,,13.25,,,,,yes,8785614.0
patients,predatory violent offenders,7,predatory violent offenders,7.0,0.0,,,,,,yes,9230060.0
patients,affective violent offenders,6,affective violent offenders,6.0,0.0,,,,,,yes,9230060.0
patients,non-violent offenders,7,non-violent offenders,7.0,0.0,,,,,,yes,9230060.0
healthy,healthy controls,20,,20.0,0.0,,,,,,yes,9230060.0
healthy,included,121,,72.0,62.0,5.34,5.08-5.22,5.08,5.22,,yes,9108497.0
healthy,excluded,25,,,,,,,,,no,9108497.0
healthy,young adults,216,,,,,,,,,yes,8828908.0
patients,children and adolescents,167,varying levels of ADHD symptoms,111.0,56.0,10.74,5-18,5.0,18.0,,yes,8782893.0
healthy,HCP dataset,89,,44.0,45.0,,22-35,22.0,35.0,,yes,8752963.0
healthy,Tübingen dataset,23,,,,,,,,,yes,8752963.0
patients,GNE myopathy patient,1,GNE myopathy with congenital thrombocytopenia,1.0,0.0,29.0,29-29,29.0,29.0,29.0,yes,8978988.0
patients,LMTLE,12,left mesial temporal lobe epilepsy with hippocampal sclerosis,,,,,,,,yes,8933759.0
patients,RMTLE,11,right mesial temporal lobe epilepsy with hippocampal sclerosis,,,,,,,,yes,8933759.0
healthy,HC,23,,,,,,,,,yes,8933759.0
healthy,noncarriers,38,cognitively intact,16.0,22.0,49.9,40-60,40.0,60.0,,yes,9205431.0
patients,APOE-4 carriers,38,cognitively intact with APOE-4 genotype,16.0,22.0,49.9,40-60,40.0,60.0,,yes,9205431.0
patients,PCH patients,6,Pontocerebellar hypoplasia (PCH),3.0,2.0,7.3,,,,,yes,9461104.0
healthy,all participants,1418,,546.0,872.0,22.39,18-35,18.0,35.0,,yes,9564100.0
healthy,discovery sample,945,,,,,,,,,yes,9564100.0
healthy,replication sample,473,,,,,,,,,yes,9564100.0
healthy,community-dwelling young men,23,healthy,23.0,0.0,29.9,,,,,yes,9548384.0
patients,TSC1 variants,27,Tuberous sclerosis complex with TSC1 gene variants,4.0,17.0,,,,,,yes,9308181.0
patients,TSC2 variants,134,Tuberous sclerosis complex with TSC2 gene variants,48.0,59.0,,,,,,yes,9308181.0
patients,internet addiction,24,internet addiction,14.0,10.0,20.58,null,,,,yes,8939409.0
healthy,healthy controls,23,,10.0,13.0,21.13,null,,,,yes,8939409.0
patients,DLB,16,dementia with Lewy bodies,,,,,,,,yes,3984441.0
healthy,controls,17,,,,,,,,,yes,3984441.0
patients,AN,31,anorexia nervosa,0.0,31.0,,,,,,yes,3913832.0
healthy,HC,31,,0.0,31.0,,,,,,yes,3913832.0
healthy,subjects,18,,,,,,,,,yes,4352055.0
patients,primary sample,20,unipolar major depression,,,,18-65,18.0,65.0,,yes,5416685.0
healthy,primary sample controls,19,,,,,18-65,18.0,65.0,,yes,5416685.0
patients,validation sample,19,major depression with comorbid anxiety disorders,,,,18-65,18.0,65.0,,yes,5416685.0
healthy,validation sample controls,19,,,,,18-65,18.0,65.0,,yes,5416685.0
healthy,all participants,17,,7.0,10.0,26.0,21-31,21.0,31.0,,yes,8837589.0
healthy,controls,56,,30.0,26.0,,,,,,yes,7118554.0
patients,MDD,43,Major Depressive Disorder,13.0,30.0,,,,,,yes,7118554.0
patients,ASD,28,autism spectrum disorder,20.0,8.0,14.58,null,,,,yes,8213933.0
healthy,TD,27,typically developing,18.0,9.0,14.49,null,,,,yes,8213933.0
healthy,controls,90,,,,,,,,,yes,7416060.0
patients,cannabis users,54,chronic cannabis use,,,,,,,,yes,7416060.0
healthy,controls,31,,,,,,,,,yes,8933317.0
patients,TLE with memory intact,35,temporal lobe epilepsy with hippocampal sclerosis,,,,,,,,yes,8933317.0
patients,TLE with memory deficit,31,temporal lobe epilepsy with hippocampal sclerosis,,,,,,,,yes,8933317.0
healthy,controls,160,,115.0,45.0,37.04,19-59,19.0,59.0,,yes,7721229.0
patients,schizophrenia,151,schizophrenia,115.0,36.0,38.77,18-62,18.0,62.0,,yes,7721229.0
healthy,controls,314,,249.0,65.0,17.04,6.47-56.20,6.47,56.2,,yes,7721229.0
patients,autism spectrum disorder,255,autism spectrum disorder,224.0,31.0,17.05,7.00-55.40,7.0,55.4,,yes,7721229.0
patients,lung cancer patients before chemotherapy,18,lung cancer,,,,48-70,48.0,70.0,,yes,7275001.0
patients,lung cancer patients after chemotherapy,18,lung cancer,,,,48-70,48.0,70.0,,yes,7275001.0
healthy,healthy controls,21,,,,,48-70,48.0,70.0,,yes,7275001.0
healthy,HCP subjects,820,,,,,,,,,yes,6492297.0
healthy,controls,23,,15.0,8.0,31.1,19-44,19.0,44.0,,yes,5761874.0
patients,temporal lobe epilepsy,25,temporal lobe epilepsy,13.0,12.0,33.6,20-45,20.0,45.0,,yes,5761874.0
healthy,controls,163,,117.0,46.0,36.9,,,,,yes,9057100.0
patients,schizophrenia,151,schizophrenia,114.0,37.0,37.8,,,,,yes,9057100.0
healthy,awake,16,,12.0,4.0,29.0,18-40,18.0,40.0,,yes,6787094.0
healthy,anaesthetized,16,,12.0,4.0,29.0,18-40,18.0,40.0,,yes,6787094.0
patients,disorders of consciousness,22,Unresponsive Wakefulness Syndrome/Vegetative State or Minimally Conscious State,14.0,8.0,,17-70,17.0,70.0,,yes,6787094.0
patients,JME patients,18,Juvenile myoclonic epilepsy,3.0,15.0,30.1,20-48,20.0,48.0,,yes,6412974.0
healthy,healthy controls,25,,14.0,10.0,33.2,,,,,yes,6412974.0
patients,AVH,50,drug-naive first-episode schizophrenia with auditory verbal hallucinations,,,,,,,,yes,9435010.0
patients,NAVH,50,drug-naive first-episode schizophrenia without auditory verbal hallucinations,,,,,,,,yes,9435010.0
healthy,controls,50,,,,,,,,,yes,9435010.0
patients,DLB,17,Dementia with Lewy bodies,13.0,4.0,71.88,60-82,60.0,82.0,,yes,6902076.0
healthy,HC,20,,9.0,11.0,67.8,56-77,56.0,77.0,,yes,6902076.0
patients,MSA-c type,24,multiple system atrophy cerebellar type,,,,,,,,yes,7485713.0
healthy,controls,20,,,,,,,,,yes,7485713.0
healthy,controls,35,,,,,,,,,yes,5292583.0
patients,schizophrenia,34,schizophrenia,,,,,,,,yes,5292583.0
