pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
2494616,phantom limb pain,C0031315,PHANTOM LIMB PAIN,0.9794905185699463,13,259,,
2494616,phantom limb pain,C4048296,Phantom Limb Pain,0.9794905185699463,13,259,,
2494616,phantom limb pain,C3495442,Phantom pain,0.8421396017074585,13,259,,
2494616,phantom limb pain,C0030196,pain limb,0.7109892964363098,13,259,,
2494616,phantom limb pain,C0452135,Phantom limb syndrome without pain,0.6966620087623596,13,259,,
2648877,Autism Spectrum Disorder,C0524528,Autism spectrum disorder,0.9845767617225647,15,120,,
2648877,Autism Spectrum Disorder,C1510586,Autism spectrum disorder,0.9845767617225647,15,120,,
2648877,Autism Spectrum Disorder,C0004352,Autism disorder,0.7902024388313293,15,120,,
2648877,Autism Spectrum Disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7291615009307861,15,120,,
2648877,Autism Spectrum Disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.721701443195343,15,120,,
3002948,phobic prone,C0033422,Prone,0.6658980846405029,15,191,,
3002948,phobic prone,C0349231,phobic disorder,0.5297921299934387,15,191,,
3002948,eating disorders prone,C0013473,EATING DISORDERS,0.8533963561058044,15,192,,
3002948,eating disorders prone,C0596170,binge disorders eating,0.7596011161804199,15,192,,
3002948,eating disorders prone,C0855228,Disordered Eating,0.7074334025382996,15,192,,
3002948,eating disorders prone,C4042784,Feeding and Eating Disorders,0.6898925304412842,15,192,,
3002948,eating disorders prone,C0013447,disorders earing,0.6843474507331848,15,192,,
3045463,Parkinson's disease,C0030567,DISEASE PARKINSON'S,0.9629952907562256,21,400,,
3182403,Parkinson's disease,C0030567,DISEASE PARKINSON'S,0.9629952907562256,21,202,,
3324921,epilepsy,C0014544,epilepsy,0.9930600523948669,5,470,,
3324921,epilepsy,C0014547,Local epilepsy,0.8565506935119629,5,470,,
3324921,epilepsy,C0014553,Minor epilepsy,0.8548762202262878,5,470,,
3324921,epilepsy,C0393725,Eating epilepsy,0.8358542323112488,5,470,,
3324921,epilepsy,C0376532,epilepsy roland,0.8218892216682434,5,470,,
3409150,nicotine addiction,C0028043,nicotine addiction,0.9585933089256287,18,229,,
3409150,nicotine addiction,C5241305,Nicotine Addiction,0.9585933089256287,18,229,,
3409150,nicotine addiction,C0085281,Addiction,0.6845893859863281,18,229,,
3409150,nicotine addiction,C0028040,NICOTINE,0.6720529198646545,18,229,,
3409150,nicotine addiction,C4505067,Addiction medicine,0.6587857604026794,18,229,,
3423412,Alzheimer's disease,C0002395,alzheimer's disease,0.946372389793396,14,472,,
3423412,Alzheimer's disease,C1863052,Alzheimer's Disease 1,0.932833194732666,14,472,,
3423412,Alzheimer's disease,C1843013,Alzheimer's Disease 3,0.9258649349212646,14,472,,
3423412,Alzheimer's disease,C1847200,Alzheimer's Disease 4,0.9239505529403687,14,472,,
3423412,Alzheimer's disease,C3554452,Alzheimer's Disease 17,0.8971145153045654,14,472,,
3423412,Mild Cognitive Impairment,C1270972,Mild cognitive impairment,0.9720510244369507,8,473,,
3423412,Mild Cognitive Impairment,C0338656,cognitive impairment,0.8798452019691467,8,473,,
3423412,Mild Cognitive Impairment,C3554639,Severe cognitive impairment,0.7759852409362793,8,473,,
