count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid
28,schizophrenia,patients,Sz,20.0,8.0,,21-54,21.0,54.0,,yes,8883821.0
20,autism spectrum disorder,patients,ASD,16.0,4.0,,19-43,19.0,43.0,,yes,8883821.0
30,,healthy,neurotypical controls,22.0,8.0,,19-54,19.0,54.0,,yes,8883821.0
1,autism,patients,sub50795,0.0,1.0,8.0,8-8,8.0,8.0,8.0,yes,9407088.0
1,autism,patients,sub50625,1.0,0.0,7.0,7-7,7.0,7.0,7.0,yes,9407088.0
1,autism,patients,sub51581,1.0,0.0,64.0,64-64,64.0,64.0,64.0,yes,9407088.0
1,autism,patients,sub50526,1.0,0.0,50.0,50-50,50.0,50.0,50.0,yes,9407088.0
26,arterial ischemic stroke,patients,AIS,,,13.02,6-19,6.0,19.0,,yes,8785614.0
26,periventricular venous infarction,patients,PVI,,,11.93,6-19,6.0,19.0,,yes,8785614.0
31,none,healthy,controls,,,13.25,6-19,6.0,19.0,,yes,8785614.0
7,predatory violence,patients,VP,7.0,0.0,,,,,,yes,9230060.0
6,affective violence,patients,VA,6.0,0.0,,,,,,yes,9230060.0
7,non-violent crime,patients,NV,7.0,0.0,,,,,,yes,9230060.0
20,none,healthy,HC,20.0,0.0,,,,,,yes,9230060.0
134,typically developing,healthy,5-year-olds,72.0,62.0,5.34,5.08-5.22,5.0,5.0,,yes,9108497.0
216,"no history of genetic psychiatric or neurological illness, psychiatric treatment, or drug or alcohol abuse",healthy,young adults,,,,,,,,yes,8828908.0
167,attention/deficit hyperactivity disorder,patients,children and adolescents,111.0,56.0,10.74,5-18,5.0,18.0,,yes,8782893.0
23,,healthy,MEG Center,,,,,,,,yes,8752963.0
89,,healthy,HCP,44.0,45.0,,22-35,22.0,35.0,,yes,8752963.0
1,GNE myopathy with congenital thrombocytopenia,patients,young male patient,1.0,0.0,29.0,29-29,29.0,29.0,29.0,yes,8978988.0
12,left mesial temporal lobe epilepsy with hippocampal sclerosis,patients,LMTLE,,,,,,,,yes,8933759.0
11,right mesial temporal lobe epilepsy with hippocampal sclerosis,patients,RMTLE,,,,,,,,yes,8933759.0
23,,healthy,HC,,,,,,,,yes,8933759.0
38,APOE-4 carriers,patients,APOE,16.0,22.0,49.9,40-60,40.0,60.0,,yes,9205431.0
38,noncarriers,healthy,NC,16.0,22.0,49.9,40-60,40.0,60.0,,yes,9205431.0
6,Pontocerebellar hypoplasia,patients,PCH patients,4.0,2.0,7.33,4-11,4.0,11.0,5.95,yes,9461104.0
1418,none,healthy,discovery and replication sample,546.0,872.0,22.39,18-35,18.0,35.0,,yes,9564100.0
23,,healthy,community-dwelling young men,23.0,0.0,29.9,,,,,yes,9548384.0
173,Tuberous Sclerosis Complex,patients,TSC patients,,,,,,,,yes,9308181.0
24,internet addiction,patients,IA,14.0,10.0,20.58,18-23,18.0,23.0,,no,8939409.0
23,none,healthy,HC,10.0,13.0,21.13,18-24,18.0,24.0,,no,8939409.0
16,dementia with Lewy bodies,patients,DLB,,,,,,,,yes,3984441.0
17,none,healthy,controls,,,,,,,,yes,3984441.0
31,anorexia nervosa,patients,AN,0.0,31.0,,,,,,yes,3913832.0
35,none,healthy,HC,0.0,35.0,,,,,,yes,3913832.0
20,,healthy,Dataset 1: Algebra,,,,,,,,yes,4352055.0
19,,healthy,Dataset 2: Multitasking,,,,,,,,yes,4352055.0
20,unipolar major depression,patients,primary sample,,,,18-65,18.0,65.0,,yes,5416685.0
19,none,healthy,primary sample,,,,18-65,18.0,65.0,,yes,5416685.0
19,unipolar major depression,patients,validation sample,,,,18-65,18.0,65.0,,yes,5416685.0
19,none,healthy,validation sample,,,,18-65,18.0,65.0,,yes,5416685.0
17,,healthy,healthy,7.0,10.0,,21-31,21.0,31.0,,yes,8837589.0
56,,healthy,healthy controls,30.0,26.0,,,,,,yes,7118554.0
43,major depressive disorder,patients,MDD patients,13.0,30.0,,,,,,yes,7118554.0
28,autism spectrum disorder,patients,ASD,20.0,8.0,14.58,,,,,yes,8213933.0
27,typically developing,healthy,TD,18.0,9.0,14.49,,,,,yes,8213933.0
90,,healthy,controls,,,,,,,,yes,7416060.0
54,cannabis use,patients,cannabis users,,,,,,,,yes,7416060.0
31,,healthy,HC,,,,,,,,yes,8933317.0
35,Temporal lobe epilepsy with memory intact,patients,TLEMI,,,,,,,,yes,8933317.0
31,Temporal lobe epilepsy with memory deficit,patients,TLEMD,,,,,,,,yes,8933317.0
160,,healthy,HCs (FBIRN),115.0,45.0,37.04,19-59,19.0,59.0,,yes,7721229.0
151,schizophrenia,patients,SZ (FBIRN),115.0,36.0,38.77,18-62,18.0,62.0,,yes,7721229.0
314,,healthy,HCs (ABIDE1),249.0,65.0,17.04,6.47-56.20,6.0,56.0,,yes,7721229.0
255,autism spectrum disorder,patients,ASD (ABIDE1),224.0,31.0,17.05,7.00-55.40,7.0,55.0,,yes,7721229.0
18,lung cancer,patients,lung cancer patients before chemotherapy,,,,48-70,48.0,70.0,,yes,7275001.0
18,lung cancer,patients,lung cancer patients after chemotherapy,,,,48-70,48.0,70.0,,yes,7275001.0
21,,healthy,healthy controls,,,,48-70,48.0,70.0,,yes,7275001.0
820,,healthy,Human Connectome Project participants,,,,,,,,yes,6492297.0
23,,healthy,HC,15.0,8.0,31.1,19-44,19.0,44.0,,yes,5761874.0
25,temporal lobe epilepsy,patients,TLE,13.0,12.0,33.6,20-45,20.0,45.0,,yes,5761874.0
163,,healthy,HC,117.0,46.0,36.9,,,,,yes,9057100.0
151,schizophrenia,patients,SZ,114.0,37.0,37.8,,,,,yes,9057100.0
16,none,healthy,awake volunteers,13.0,3.0,29.0,18-40,18.0,40.0,,yes,6787094.0
16,none,healthy,propofol-anaesthetised volunteers,13.0,3.0,29.0,18-40,18.0,40.0,,yes,6787094.0
22,disorders of consciousness,patients,patients with disorders of consciousness,14.0,8.0,,17-70,17.0,70.0,,yes,6787094.0
25,,healthy,healthy controls,14.0,10.0,33.2,,,,,yes,6412974.0
18,juvenile myoclonic epilepsy,patients,JME patients,3.0,15.0,30.1,20-48,20.0,48.0,,yes,6412974.0
50,schizophrenia with auditory verbal hallucinations,patients,AVH,,,,,,,,yes,9435010.0
50,schizophrenia without auditory verbal hallucinations (NAVH),patients,NAVH,,,,,,,,yes,9435010.0
50,,healthy,healthy controls,,,,,,,,yes,9435010.0
20,,healthy,HC,9.0,11.0,67.8,56-77,56.0,77.0,,yes,6902076.0
17,Dementia with Lewy bodies,patients,DLB,13.0,4.0,71.88,60-82,60.0,82.0,,yes,6902076.0
24,multiple system atrophy,patients,MSA-c type,,,,,,,,yes,7485713.0
20,healthy,healthy,HC,,,,,,,,yes,7485713.0
34,schizophrenia,patients,unmedicated,,,,,,,,yes,5292583.0
29,schizophrenia,patients,1 week risperidone treatment,,,,,,,,yes,5292583.0
24,schizophrenia,patients,6 weeks risperidone treatment,,,,,,,,yes,5292583.0
35,none,healthy,baseline,,,,,,,,yes,5292583.0
19,none,healthy,6 weeks,,,,,,,,yes,5292583.0
163,none,healthy,healthy controls,117.0,46.0,36.9,,0.0,0.0,0.0,yes,6611425.0
151,schizophrenia,patients,schizophrenia patients,114.0,37.0,37.8,,0.0,0.0,0.0,yes,6611425.0
19,non-relapse,patients,non-relapsers,19.0,0.0,39.3,32-46,32.0,46.0,,yes,4990879.0
21,relapse,patients,relapsers,21.0,0.0,35.6,30-41,30.0,41.0,,yes,4990879.0
44,"drug-naive, first-episode schizophrenia",patients,patients,,,,18-37,18.0,37.0,,yes,6197719.0
42,unaffected siblings,patients,unaffected siblings,,,,18-37,18.0,37.0,,yes,6197719.0
44,none,healthy,healthy controls,,,,18-37,18.0,37.0,,yes,6197719.0
102,,healthy,Oulu dataset,36.0,66.0,21.5,20-23,20.0,23.0,,yes,3775427.0
20,fibromyalgia,patients,FM,0.0,20.0,46.4,22-70,22.0,70.0,,yes,6820536.0
20,none,healthy,HC,0.0,20.0,42.1,21-70,21.0,70.0,,yes,6820536.0
21,,healthy,healthy volunteers,12.0,14.0,23.04,18-35,18.0,35.0,,yes,6697392.0
29,,healthy,healthy volunteers,,,,,,,,yes,7563756.0
21,posttraumatic stress disorder,patients,PTSD patients,,,,,,,,yes,5030332.0
48,pedophilia/hebephilia,patients,convicted CSOs,48.0,0.0,,,,,,yes,6678781.0
31,pedophilia/hebephilia,patients,non-convicted CSOs,31.0,0.0,,,,,,yes,6678781.0
17,,healthy,healthy,5.0,12.0,24.0,18-31,18.0,31.0,,yes,5902547.0
11,right middle cerebral artery infarction,patients,right MCA infarction,11.0,0.0,56.2,45-68,45.0,68.0,,yes,8154462.0
9,none,healthy,healthy controls,9.0,0.0,53.7,40-67,40.0,67.0,,yes,8154462.0
15,,healthy,righthanded students,7.0,8.0,23.8,19-28,19.0,28.0,,yes,5324609.0
18,neovascular age-related macular degeneration,patients,nAMD,9.0,9.0,,,55.0,,,yes,8544331.0
18,,healthy,HCs,9.0,9.0,,,,,,yes,8544331.0
20,amyotrophic lateral sclerosis,patients,ALS patients,,,,,,,,yes,3447931.0
20,none,healthy,healthy volunteers,,,,,,,,yes,3447931.0
24,,healthy,Study 1,0.0,24.0,24.0,20-30,20.0,30.0,,yes,3965851.0
18,,healthy,Study 2,0.0,18.0,24.0,20-30,20.0,30.0,,yes,3965851.0
19,none,healthy,working with children,9.0,10.0,24.08,20-30,20.0,30.0,,yes,7395771.0
19,none,healthy,not working with children,9.0,10.0,24.08,20-30,20.0,30.0,,yes,7395771.0
69,chronic dieters,patients,chronic dieters,0.0,69.0,19.38,18-23,18.0,23.0,,yes,5460048.0
17,panic disorder,patients,PD patients,2.0,15.0,,,,,,yes,6382839.0
17,none,healthy,HC,4.0,13.0,,,,,,yes,6382839.0
44,"drug-naive, first-episode schizophrenia",patients,patients with schizophrenia,,,,18-37,18.0,37.0,,yes,6197719.0
42,unaffected siblings,patients,unaffected siblings,,,,18-37,18.0,37.0,,yes,6197719.0
44,healthy,healthy,healthy controls,,,,18-37,18.0,37.0,,yes,6197719.0
15,nonbelievers,healthy,nonbelievers,7.0,8.0,,,,,,yes,2748718.0
15,committed Christians,patients,committed Christians,7.0,8.0,,,,,,yes,2748718.0
23,none,healthy,healthy participants,18.0,5.0,22.0,22-22,22.0,22.0,22.0,yes,4330553.0
26,psychogenic erectile dysfunction,patients,pED,26.0,0.0,26.8,21-32,21.0,32.0,,yes,6290711.0
26,healthy,healthy,NC,26.0,0.0,28.5,25-32,25.0,32.0,,yes,6290711.0
26,none,healthy,typically developing children and adolescents,17.0,9.0,11.42,8-16,8.0,16.0,,yes,7005761.0
15,Autism Spectrum Disorder,patients,ASD,12.0,3.0,38.0,,,,,yes,2648877.0
18,non-autistic,healthy,control,13.0,5.0,32.0,,,,,yes,2648877.0
12,chronic tinnitus,patients,initial MRI scanning session,,,,,21.0,72.0,,yes,6667657.0
10,chronic tinnitus,patients,post-MBCT session,,,,,21.0,72.0,,yes,6667657.0
8,chronic tinnitus,patients,follow-up scan 8 weeks after the conclusion of the study,,,,,21.0,72.0,,yes,6667657.0
21,post stroke depression,patients,temporal lobe subgroup,,,,60-70,60.0,70.0,,yes,5665859.0
30,post stroke depression,patients,frontal lobe subgroup,,,,60-70,60.0,70.0,,yes,5665859.0
21,post stroke depression,patients,parietal lobe subgroup,,,,60-70,60.0,70.0,,yes,5665859.0
15,none,healthy,control group,,,,60-70,60.0,70.0,,yes,5665859.0
11,depression,patients,depressed patients,5.0,6.0,61.0,61-61,61.0,61.0,61.0,yes,4589842.0
11,none,healthy,healthy controls,5.0,6.0,56.0,56-56,56.0,56.0,56.0,yes,4589842.0
16,dementia with Lewy bodies,patients,DLB patients,,,,,,,,yes,3984441.0
17,no history of psychiatric or neurological brain disease,healthy,controls,,,,,,,,yes,3984441.0
25,postpartum,patients,postpartum women,0.0,25.0,,,,,,yes,7272423.0
32,none,healthy,control group,0.0,32.0,,,,,,yes,7272423.0
19,none,healthy,healthy volunteers,10.0,9.0,22.8,19-31,19.0,31.0,,yes,3869649.0
10,,healthy,healthy subjects,7.0,3.0,27.72,21-34,21.0,34.0,,yes,4029023.0
272,self-reported normal audition,healthy,all participants,123.0,149.0,24.45,18-68,18.0,68.0,,yes,4115625.0
18,neurologically healthy,healthy,healthy,9.0,9.0,,20-32,20.0,32.0,,yes,4318429.0
12,Left mesial temporal lobe epilepsy (LMesial temporal lobe epilepsy),patients,LMTLE,,,,,,,,yes,4017227.0
11,Right mesial temporal lobe epilepsy (RMesial temporal lobe epilepsy),patients,RMTLE,,,,,,,,yes,4017227.0
19,none,healthy,controls,,,,,,,,yes,4017227.0
67,,healthy,adolescents,36.0,31.0,15.6,13-18,13.0,18.0,,yes,8379626.0
58,none,healthy,all participants,26.0,32.0,24.02,22-26,22.0,26.0,,yes,3492343.0
16,healthy,healthy,healthy,9.0,7.0,,18-35,18.0,35.0,,yes,3183226.0
220,none,healthy,adolescents,115.0,105.0,14.61,14-15,14.0,15.0,,yes,3991323.0
28,none,healthy,adults,17.0,11.0,25.24,20-39,20.0,39.0,,yes,3991323.0
47,,healthy,female undergraduate students,0.0,47.0,19.62,,,,,yes,5548834.0
17,,healthy,children,8.0,9.0,7.4,6.9-7.8,6.0,8.0,,yes,3780305.0
18,,healthy,Lyon University students,8.0,10.0,22.5,20-24,20.0,24.0,,yes,6344389.0
157,psychopathy,patients,incarcerated females,0.0,157.0,,18-50,18.0,50.0,,yes,4174863.0
46,none,healthy,non-incarcerated females,0.0,46.0,,18-50,18.0,50.0,,yes,4174863.0
6,,healthy,Visual task dataset,4.0,2.0,,,,,,yes,5596109.0
10,,healthy,"Test-retest task-related datasets for motor, language, and spatial attention",4.0,6.0,,50-58,50.0,58.0,52.5,yes,5596109.0
25,,healthy,Test-retest NYU resting-state datasets,,,,,,,,yes,5596109.0
20,no history of neurological or psychiatric disease,healthy,healthy undergraduate and postgraduate students,10.0,10.0,22.3,19-28,19.0,28.0,,yes,7002496.0
20,none,healthy,typically developing preschool children,,,5.8,5.2-6.8,5.0,6.0,,yes,4274095.0
38,attention-deficit/hyperactivity disorder,patients,adults with ADHD,18.0,20.0,40.5,,,,,yes,6347794.0
20,attention-deficit/hyperactivity disorder,patients,ADHD adults,16.0,4.0,34.9,,,,,yes,6347794.0
20,,healthy,healthy participants,14.0,6.0,31.2,,,,,yes,6347794.0
22,Type 2 diabetes mellitus-cognitive impairment,patients,T2DM-CI,,,,,,,,yes,7829678.0
31,Type 2 diabetes mellitus-NC,patients,T2DM-NC,,,,,,,,yes,7829678.0
39,,healthy,HC,,,,,,,,yes,7829678.0
233,none,healthy,all participants,116.0,117.0,16.1,9.9-26.6,9.0,26.0,,yes,5390693.0
51,,healthy,adolescents,26.0,25.0,13.98,12.03-15.94,12.0,15.0,,yes,6664004.0
8,right-sided cerebral palsy,patients,patients with right-sided cerebral palsy,3.0,5.0,19.125,10-30,10.0,30.0,,yes,6878729.0
34,No participants reported a history of neurological disorders or current use of steroid medication,healthy,older adults,14.0,20.0,73.2,56-83,56.0,83.0,,yes,7779563.0
25,,healthy,healthy subjects,8.0,17.0,,23-41,23.0,41.0,,yes,3483694.0
37,No previous history of neurological disease or mental illness,healthy,HCs,,,,,40.0,80.0,,yes,8315277.0
39,mild White matter hyperintensities,patients,mild WMHs,,,,,40.0,80.0,,yes,8315277.0
37,moderate White matter hyperintensities,patients,moderate WMHs,,,,,40.0,80.0,,yes,8315277.0
28,severe White matter hyperintensities,patients,severe WMHs,,,,,40.0,80.0,,yes,8315277.0
28,autism spectrum disorder,patients,children and adolescents,,,13.43,,10.0,17.0,,yes,5870086.0
58,early onsetD,patients,EOD,,,,18-29,18.0,29.0,,yes,5598991.0
62,later onsetD,patients,LOD,,,,30-44,30.0,44.0,,yes,5598991.0
60,,healthy,young HC,,,,not specified,,,,yes,5598991.0
52,,healthy,old HC,,,,not specified,,,,yes,5598991.0
12,,healthy,right-handed,5.0,7.0,25.8,,,,,yes,7649291.0
21,,healthy,right-handed male volunteers,21.0,0.0,25.77,20-40,20.0,40.0,,yes,5776089.0
11,none,healthy,right-handed literate native English speakers,8.0,3.0,33.1,25-47,25.0,47.0,,yes,6328158.0
12,,healthy,healthy,6.0,6.0,25.4,20-40,20.0,40.0,,yes,2151069.0
12,,healthy,healthy volunteers,7.0,5.0,38.0,23-60,23.0,60.0,,yes,4075342.0
13,,healthy,Thirteen healthy human subjects,6.0,7.0,28.4,19-45,19.0,45.0,,yes,7430162.0
24,,healthy,healthy,12.0,12.0,,,,,,yes,3362560.0
10,N0S-N0S0 Masking level differences greater than 10 dB,patients,N0S-N0S0 MLDs,5.0,5.0,29.5,22-43,22.0,43.0,,yes,3407245.0
46,,healthy,KAIST participants,32.0,14.0,22.61,,,,,yes,7745153.0
33,,healthy,participants,18.0,15.0,25.242,,,,,yes,7156375.0
24,,healthy,Experiment 1 and 2,9.0,15.0,,,,,,yes,6016936.0
4,,healthy,Supplementary Experiment,,,,,,,,yes,6016936.0
103,no current or history of diagnosis of any Axis I psychiatric or substance (except nicotine) use disorders,healthy,healthy adults,52.0,51.0,32.5,18-72,18.0,72.0,,yes,3334814.0
18,Autism spectrum conditions,patients,ASC,,,30.4,20-40,20.0,40.0,,yes,4265725.0
18,none,healthy,TD,,,28.6,16.9-40.3,16.0,40.0,,yes,4265725.0
16,obesity,patients,obese women,0.0,16.0,46.31,35-55,35.0,55.0,,yes,5537800.0
30,chronic osteoarthritis,patients,verum acupuncture,,,,40-70,43.0,70.0,,yes,4175730.0
30,chronic osteoarthritis,patients,sham acupuncture,,,,40-70,43.0,70.0,,yes,4175730.0
23,,healthy,control subjects,,,15.2,15-16,15.0,16.0,,yes,4030253.0
18,Internet Addiction,patients,IA subjects,,,15.1,14-17,14.0,17.0,,yes,4030253.0
15,phobic prone,healthy,phobic prone,9.0,6.0,39.2,,,,,yes,3002948.0
15,eating disorders prone,healthy,eating disorders prone,10.0,5.0,34.4,,,,,yes,3002948.0
21,Posttraumatic stress disorder,patients,PTSD,6.0,15.0,21.5,18-31,18.0,31.0,,yes,6024199.0
21,trauma-exposed controls,healthy,trauma-exposed controls,7.0,14.0,22.1,18-37,18.0,37.0,,yes,6024199.0
20,APOE 2/3,healthy,APOE 2/3,,,,18-23,18.0,23.0,,yes,3520927.0
20,APOE 3/4,healthy,APOE 3/4,,,,18-23,18.0,23.0,,yes,3520927.0
21,,healthy,first group,8.0,13.0,24.9,19-30,19.0,30.0,,yes,5218407.0
20,,healthy,second group,8.0,12.0,25.1,19-30,19.0,30.0,,yes,5218407.0
17,,healthy,third group,7.0,10.0,25.0,19-30,19.0,30.0,,yes,5218407.0
19,none,healthy,younger adults,5.0,14.0,22.6,18-27,18.0,27.0,,yes,3660406.0
15,none,healthy,older adults,5.0,10.0,61.1,51-71,51.0,71.0,,yes,3660406.0
21,Parkinson's disease,patients,Parkinson's disease,13.0,8.0,60.8,44-73,44.0,73.0,,yes,3182403.0
56,,healthy,overall,54.0,2.0,34.4,21-60,21.0,60.0,,yes,5460049.0
31,,healthy,healthy volunteers,10.0,21.0,24.3,20-29,20.0,29.0,,yes,6847157.0
12,,healthy,young adults,8.0,4.0,25.2,,,,,yes,6585311.0
10,chronic post-stroke hemiparesis,patients,stroke survivors,6.0,4.0,66.7,,,,,yes,6585311.0
9,,healthy,age-matched controls,4.0,5.0,64.2,,,,,yes,6585311.0
35,,healthy,controls,26.0,9.0,27.12,,,,,yes,8550949.0
31,schizophrenia or schizoaffective disorder,patients,drug-free patients,26.0,5.0,26.64,,,,,yes,8550949.0
29,,healthy,healthy,16.0,13.0,23.6,21-33,21.0,33.0,,yes,7989009.0
18,,healthy,healthy,11.0,7.0,26.7,18-60,18.0,60.0,22.5,yes,2775905.0
21,bipolar disorderD,patients,BDD,,,,16-48,16.0,48.0,,yes,6246657.0
40,major depressive disorder,patients,MDD,,,,16-48,16.0,48.0,,yes,6246657.0
70,healthy,healthy,HC,,,,16-48,16.0,48.0,,yes,6246657.0
24,,healthy,healthy volunteers,12.0,12.0,26.0,23-34,23.0,34.0,,yes,3502502.0
46,,healthy,healthy volunteers,21.0,25.0,30.0,19-63,19.0,63.0,,yes,3502502.0
20,mal de debarquement syndrome,patients,MdDS,5.0,15.0,43.4,27-66,27.0,66.0,,yes,3510214.0
20,none,healthy,control,,,43.0,23-59,23.0,59.0,,yes,3510214.0
12,,healthy,Experiment 1,,,,,,,,yes,2995581.0
18,,healthy,Experiment 2,,,,,,,,yes,2995581.0
284,,healthy,right-handers,71.0,71.0,26.8,,,,,yes,4319399.0
284,,healthy,left-handers,73.0,69.0,24.4,,,,,yes,4319399.0
15,,healthy,healthy male volunteers,15.0,0.0,22.33,,,,,yes,4838249.0
28,none,healthy,healthy,15.0,13.0,26.39,23-30,23.0,30.0,,yes,7481390.0
