count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,age_mean_female,age_median_female,age_minimum_female,age_maximum_female,age_mean_male,age_median_male,age_minimum_male,age_maximum_male,pmcid
28.0,schizophrenia,patients,Sz,20.0,8.0,,21-54,21.0,54.0,,,,,,,,,,,8883821.0
20.0,autism spectrum disorder,patients,ASD,16.0,4.0,,19-43,19.0,43.0,,,,,,,,,,,8883821.0
30.0,neurotypical controls,healthy,controls,22.0,8.0,,19-54,19.0,54.0,,,,,,,,,,,8883821.0
1112.0,autism spectrum disorder patients and normal controls,patients,ASD patients,,,,,,,,,,,,,,,,,9407088.0
1114.0,ASD patients and normal controls,healthy,normal controls,,,,,,,,,,,,,,,,,9407088.0
26.0,arterial ischemic stroke,patients,AIS,,,13.0,6-19,6.0,19.0,,yes,,,,,,,,,8785614.0
26.0,periventricular venous infarction,patients,PVI,,,11.9,6-19,6.0,19.0,,yes,,,,,,,,,8785614.0
31.0,controls,healthy,controls,,,13.2,6-19,6.0,19.0,,yes,,,,,,,,,8785614.0
7.0,predatory violence,patients,VP,7.0,0.0,,,,,,,,,,,,,,,9230060.0
6.0,affective violence,patients,VA,6.0,0.0,,,,,,,,,,,,,,,9230060.0
7.0,non-violent crime,patients,NV,7.0,0.0,,,,,,,,,,,,,,,9230060.0
20.0,healthy non-criminals,healthy,HC,20.0,0.0,,,,,,,,,,,,,,,9230060.0
134.0,typically developing,patients,5-year-olds,72.0,62.0,5.34,5.0-5.5,5.0,5.0,5.0,,,,,,,,,,9108497.0
216.0,,patients,young adults,,,,,,,,yes,,,,,,,,,8828908.0
167.0,attention/deficit hyperactivity disorder,patients,ADHD,111.0,56.0,10.74,5-18,5.0,18.0,,yes,,,,,,,,,8782893.0
23.0,healthy,healthy,MEG Center,,,,,,,,,,,,,,,,,8752963.0
89.0,healthy,healthy,Human Connectome Project,44.0,45.0,28.5,22-35,22.0,35.0,,,,,,,,,,,8752963.0
1.0,GNE myopathy with congenital thrombocytopenia,patients,young male patient,1.0,0.0,29.0,29,29.0,29.0,29.0,yes,,,,,,,,,8978988.0
12.0,LMesial temporal lobe epilepsy,patients,LMTLE,,,,,,,,,,,,,,,,,8933759.0
11.0,RMesial temporal lobe epilepsy,patients,RMTLE,,,,,,,,,,,,,,,,,8933759.0
23.0,healthy controls,healthy,HC,,,,,,,,,,,,,,,,,8933759.0
38.0,APOE-4 carriers,patients,APOE-4 carriers,16.0,22.0,49.9,40-60,40.0,60.0,49.0,,,,,,,,,,9205431.0
38.0,noncarriers,healthy,noncarriers,22.0,16.0,49.9,40-60,40.0,60.0,49.0,,,,,,,,,,9205431.0
6.0,Pontocerebellar Hypoplasia,patients,PCH,3.0,2.0,7.33,6-8,6.0,8.0,7.0,,,,,,,,,,9461104.0
1.0,Pontocerebellar Hypoplasia,patients,PCH type 11,1.0,0.0,8.0,8,8.0,8.0,8.0,,,,,,,,,,9461104.0
1.0,Pontocerebellar Hypoplasia,patients,PCH type 7,1.0,1.0,7.0,7,7.0,7.0,7.0,,,,,,,,,,9461104.0
1418.0,healthy,healthy,overall,546.0,872.0,22.39,18-35,18.0,35.0,22.0,,,,,,,,,,9564100.0
945.0,healthy,healthy,discovery,,,,,,,,,,,,,,,,,9564100.0
473.0,healthy,healthy,replication,,,,,,,,,,,,,,,,,9564100.0
23.0,healthy,healthy,community-dwelling young men,23.0,0.0,29.96,20-40,20.0,40.0,30.0,,,,,,,,,,9548384.0
173.0,Tuberous Sclerosis Complex,patients,TSC Patients,,,,,,,,yes,,,,,,,,,9308181.0
24.0,internet addiction,patients,IA,14.0,10.0,20.58,18-25,18.0,25.0,20.0,,,,,,,,,,8939409.0
23.0,healthy controls,healthy,HC,10.0,13.0,21.13,19-24,19.0,24.0,21.0,,,,,,,,,,8939409.0
16.0,Dementia with Lewy bodies,patients,DLB,,,,,,,,,,,,,,,,,3984441.0
17.0,Healthy controls,healthy,controls,,,,,,,,,,,,,,,,,3984441.0
31.0,Anorexia Nervosa,patients,AN,0.0,31.0,,,,,,yes,,,,,,,,,3913832.0
35.0,Healthy Controls (HC),healthy,HC,0.0,35.0,,,,,,yes,,,,,,,,,3913832.0
20.0,,patients,algebra task,,,,,,,,,,,,,,,,,4352055.0
19.0,,patients,multitasking,,,,,,,,,,,,,,,,,4352055.0
20.0,unipolar major depression,patients,primary sample,,,,,,,,yes,,,,,,,,,5416685.0
19.0,unipolar major depression,patients,validation sample,,,,,,,,yes,,,,,,,,,5416685.0
19.0,healthy controls,healthy,primary sample,,,,,,,,yes,,,,,,,,,5416685.0
20.0,healthy controls,healthy,validation sample,,,,,,,,yes,,,,,,,,,5416685.0
17.0,healthy,healthy,healthy,7.0,10.0,,,21.0,31.0,,,,,,,,,,,8837589.0
43.0,major depressive disorder,patients,MDD patients,13.0,30.0,,,,,,,,,,,,,,,7118554.0
56.0,healthy,healthy,healthy controls,30.0,26.0,,,,,,,,,,,,,,,7118554.0
28.0,autism spectrum disorder,patients,ASD,20.0,8.0,14.58,14-16,14.0,16.0,15.0,,,,,,,,,,8213933.0
27.0,typically developing,healthy,TD,18.0,9.0,14.49,14-16,14.0,16.0,15.0,,,,,,,,,,8213933.0
54.0,chronic cannabis users,patients,CAN,,,,,,,,,,,,,,,,,7416060.0
90.0,controls,healthy,CON,,,,,,,,,,,,,,,,,7416060.0
35.0,memory intact,patients,MI,,,,,,,,,,,,,,,,,8933317.0
31.0,memory deficit,patients,MD,,,,,,,,,,,,,,,,,8933317.0
31.0,healthy,healthy,HC,,,,,,,,,,,,,,,,,8933317.0
160.0,healthy controls,healthy,HCs,115.0,45.0,37.04,,19.0,59.0,37.0,,,,,,,,,,7721229.0
151.0,schizophrenia,patients,SZ,115.0,36.0,38.77,,18.0,62.0,38.0,,,,,,,,,,7721229.0
314.0,healthy controls,healthy,HCs,249.0,65.0,17.04,,6.0,56.0,17.0,,,,,,,,,,7721229.0
255.0,autism spectrum disorder,patients,ASD,224.0,31.0,17.05,,7.0,55.0,17.0,,,,,,,,,,7721229.0
18.0,lung cancer,patients,lung cancer patients,,,,,,,,yes,,,,,,,,,7275001.0
21.0,healthy controls,healthy,healthy controls,,,,48-70,48.0,70.0,,yes,,,,,,,,,7275001.0
820.0,,patients,HCP,,,,,,,,yes,,,,,,,,,6492297.0
23.0,healthy controls,healthy,HC,15.0,8.0,31.16,19-44,19.0,44.0,31.0,,,,,,,,,,5761874.0
25.0,temporal lobe epilepsy,patients,TLE,13.0,12.0,33.67,20-45,20.0,45.0,33.0,,,,,,,,,,5761874.0
163.0,healthy,healthy,HC,117.0,46.0,36.9,,,,,,,,,,,,,,9057100.0
151.0,schizophrenia,patients,SZ,114.0,37.0,37.8,,,,,,,,,,,,,,9057100.0
16.0,healthy,healthy,propofol anaesthesia,13.0,3.0,,18-40,18.0,40.0,,yes,,,,,,,,,6787094.0
22.0,Disorders of Consciousness (DOC),patients,DOC patients,14.0,8.0,,17-70,17.0,70.0,,yes,,,,,,,,,6787094.0
18.0,Juvenile myoclonic epilepsy,patients,JME,3.0,15.0,30.1,20-48,20.0,48.0,,yes,,,,,,,,,6412974.0
25.0,healthy,healthy,controls,14.0,10.0,33.2,,,,,yes,,,,,,,,,6412974.0
50.0,auditory verbal hallucinations,patients,AVH,,,,,,,,,,,,,,,,,9435010.0
50.0,without auditory verbal hallucination (NAVH),patients,NAVH,,,,,,,,,,,,,,,,,9435010.0
50.0,healthy controls,healthy,HC,,,,,,,,,,,,,,,,,9435010.0
17.0,Dementia with Lewy bodies,patients,DLB,13.0,4.0,71.88,,60.0,82.0,,,,,,,,,,,6902076.0
20.0,Healthy controls,healthy,HC,9.0,11.0,67.8,,56.0,77.0,,,,,,,,,,,6902076.0
24.0,multiple system atrophy,patients,MSA patients,,,,,,,,yes,,,,,,,,,7485713.0
20.0,healthy controls,healthy,HCs,,,,,,,,yes,,,,,,,,,7485713.0
34.0,schizophrenia,patients,unmedicated,,,,,,,,,,,,,,,,,5292583.0
29.0,schizophrenia,patients,after 1 week,,,,,,,,,,,,,,,,,5292583.0
24.0,schizophrenia,patients,after 6 weeks,,,,,,,,,,,,,,,,,5292583.0
35.0,healthy,healthy,baseline,,,,,,,,,,,,,,,,,5292583.0
19.0,healthy,healthy,after 6 weeks,,,,,,,,,,,,,,,,,5292583.0
163.0,healthy controls,healthy,HC,117.0,46.0,36.9,,,,,,,,,,,,,,6611425.0
151.0,schizophrenia,patients,SZ,114.0,37.0,37.8,,,,,,,,,,,,,,6611425.0
21.0,heroin relapse,patients,relapsers,21.0,0.0,35.6,,,,36.0,,,,,,,,,,4990879.0
19.0,non-relapse,patients,non-relapsers,19.0,0.0,39.3,,,,39.0,,,,,,,,,,4990879.0
44.0,"drug-naive, first-episode schizophrenia",patients,patients,,,,,,,,yes,,,,,,,,,6197719.0
42.0,unaffected siblings,patients,siblings,,,,,,,,yes,,,,,,,,,6197719.0
102.0,,patients,Oulu dataset,36.0,66.0,21.5,20-23,20.0,23.0,21.0,,,,,,,,,,3775427.0
20.0,Fibromyalgia,patients,FM,0.0,20.0,46.4,22-70,22.0,70.0,46.0,,,,,,,,,,6820536.0
20.0,Healthy Controls,healthy,HC,0.0,20.0,42.1,21-70,21.0,70.0,42.0,,,,,,,,,,6820536.0
21.0,healthy,healthy,healthy volunteers,12.0,14.0,23.04,18-35,18.0,35.0,23.0,,,,,,,,,,6697392.0
0.0,,healthy,,,,,,,,,,,,,,,,,,6697392.0
29.0,healthy,healthy,trigeminal nociception,,,,,,,,yes,,,,,,,,,7563756.0
21.0,posttraumatic stress disorder,patients,PTSD patients,,,,,,,,,,,,,,,,,5030332.0
38.0,pedophilic child sexual offenders (convicted),patients,convicted CSOs,38.0,0.0,,,,,,yes,,,,,,,,,6678781.0
23.0,pedophilic child sexual offenders (non-convicted),patients,non-convicted CSOs,23.0,0.0,,,,,,yes,,,,,,,,,6678781.0
41.0,,patients,Experiment 1,16.0,25.0,19.0,18-20,18.0,20.0,19.0,,,,,,,,,,5902547.0
44.0,,patients,Experiment 2,11.0,33.0,22.0,18-31,18.0,31.0,22.0,,,,,,,,,,5902547.0
17.0,,patients,Study 2,5.0,12.0,24.0,18-31,18.0,31.0,24.0,,,,,,,,,,5902547.0
11.0,right middle cerebral artery infarction,patients,stroke patients,11.0,0.0,56.2,45-68,45.0,68.0,,yes,,,,,,,,,8154462.0
9.0,healthy controls,healthy,age-matched controls,9.0,0.0,53.7,40-67,40.0,67.0,,yes,,,,,,,,,8154462.0
15.0,,patients,,7.0,8.0,23.8,,,,,yes,,,,,,,,,5324609.0
18.0,neovascular age-related macular degeneration,patients,nAMD,9.0,9.0,,55-80,55.0,80.0,,,,,,,,,,,8544331.0
18.0,healthy controls,healthy,HC,9.0,9.0,,55-80,55.0,80.0,,,,,,,,,,,8544331.0
20.0,amyotrophic lateral sclerosis,patients,ALS patients,,,,,,,,yes,,,,,,,,,3447931.0
20.0,healthy,healthy,healthy volunteers,,,,,,,,yes,,,,,,,,,3447931.0
24.0,,patients,Study 1,0.0,24.0,24.0,20-30,20.0,30.0,24.0,yes,,,,,,,,,3965851.0
18.0,,patients,Study 2,0.0,18.0,24.0,20-30,20.0,30.0,24.0,yes,,,,,,,,,3965851.0
19.0,healthy,healthy,WC,9.0,10.0,24.08,21-30,21.0,30.0,24.0,,,,,,,,,,7395771.0
19.0,healthy,healthy,NWC,9.0,10.0,24.08,21-30,21.0,30.0,24.0,,,,,,,,,,7395771.0
75.0,chronic dieters,patients,females,0.0,75.0,19.38,18-23,18.0,23.0,19.0,,,,,,,,,,5460048.0
17.0,panic disorder,patients,PD patients,2.0,15.0,,,,,,yes,,,,,,,,,6382839.0
17.0,healthy controls,healthy,HC,4.0,13.0,,,,,,yes,,,,,,,,,6382839.0
44.0,"drug-naive, first-episode schizophrenia",patients,patients,,,,,,,,,,,,,,,,,6197719.0
42.0,unaffected siblings,patients,siblings,,,,,,,,,,,,,,,,,6197719.0
44.0,healthy controls,healthy,controls,,,,,,,,,,,,,,,,,6197719.0
15.0,nonbelievers,patients,nonbelievers,7.0,8.0,,18-30,18.0,30.0,,,,,,,,,,,2748718.0
15.0,committed Christians,patients,Christians,7.0,8.0,,18-30,18.0,30.0,,,,,,,,,,,2748718.0
23.0,healthy,healthy,participants,18.0,5.0,22.0,20-25,20.0,25.0,22.0,,,,,,,,,,4330553.0
26.0,psychogenic erectile dysfunction,patients,pED,26.0,0.0,26.0,25-30,25.0,30.0,26.0,,,,,,,,,,6290711.0
26.0,healthy controls,healthy,NC,26.0,0.0,28.0,25-30,25.0,30.0,28.0,,,,,,,,,,6290711.0
26.0,healthy,healthy,typically developing,17.0,9.0,11.42,8-16,8.0,16.0,11.0,,,,,,,,,,7005761.0
16.0,healthy,patients,7-repeat absent,10.0,6.0,,,,,,,,,,,,,,,7005761.0
10.0,healthy,patients,7-repeat present,7.0,3.0,,,,,,,,,,,,,,,7005761.0
15.0,Autism Spectrum Disorder,patients,ASD,12.0,3.0,38.0,25-51,25.0,51.0,38.0,,,,,,,,,,2648877.0
18.0,Control,healthy,Control,13.0,5.0,32.0,24-40,24.0,40.0,32.0,,,,,,,,,,2648877.0
12.0,tinnitus,patients,imaged participants,1.0,11.0,,,21.0,72.0,,,,,,,,,,,6667657.0
21.0,post stroke depression,patients,temporal lobe,,,,,,,,,,,,,,,,,5665859.0
30.0,post stroke depression,patients,frontal lobe,,,,,,,,,,,,,,,,,5665859.0
21.0,post stroke depression,patients,parietal lobe,,,,,,,,,,,,,,,,,5665859.0
15.0,healthy,healthy,control,,,,,,,,,,,,,,,,,5665859.0
11.0,depressed patients,patients,depressed,5.0,6.0,,6-18,6.0,18.0,,yes,,,,,,,,,4589842.0
11.0,healthy controls,healthy,controls,5.0,6.0,,5-8,5.0,8.0,,yes,,,,,,,,,4589842.0
16.0,Dementia with Lewy bodies,patients,DLB,,,,,,,,,,,,,,,,,3984441.0
17.0,Healthy controls,healthy,controls,,,,,,,,,,,,,,,,,3984441.0
25.0,postpartum,patients,postpartum women,0.0,25.0,,,,,,yes,,,,,,,,,7272423.0
32.0,healthy,healthy,controls,0.0,32.0,,,,,,yes,,,,,,,,,7272423.0
19.0,,healthy,adult volunteers,10.0,9.0,22.8,19-31,19.0,31.0,,yes,,,,,,,,,3869649.0
10.0,healthy,healthy,healthy subjects,7.0,3.0,27.72,22-35,22.0,35.0,27.0,,,,,,,,,,4029023.0
149.0,healthy,healthy,female,0.0,149.0,24.5,18-68,18.0,68.0,,yes,,,,,,,,,4115625.0
123.0,healthy,healthy,male,123.0,0.0,24.4,18-61,18.0,61.0,,yes,,,,,,,,,4115625.0
18.0,healthy,healthy,neurologically healthy subjects,9.0,9.0,26.0,20-32,20.0,32.0,26.0,,,,,,,,,,4318429.0
23.0,Left mesial temporal lobe epilepsy (LMesial temporal lobe epilepsy),patients,LMTLE,11.0,12.0,,3-63,3.0,63.0,,yes,,,,,,,,,4017227.0
11.0,Right mesial temporal lobe epilepsy (RMesial temporal lobe epilepsy),patients,RMTLE,2.0,9.0,,0.66-23,0.66,23.0,,yes,,,,,,,,,4017227.0
19.0,Healthy controls,healthy,controls,10.0,9.0,,,,,,yes,,,,,,,,,4017227.0
67.0,healthy,healthy,adolescents,36.0,31.0,15.6,,13.0,18.0,15.0,,,,,,,,,,8379626.0
58.0,none,patients,right-handed,26.0,32.0,24.02,22-26,22.0,26.0,24.0,,,,,,,,,,3492343.0
16.0,healthy,healthy,healthy subjects,9.0,7.0,29.0,18-35,18.0,35.0,29.0,yes,,,,,,,,,3183226.0
220.0,healthy,healthy,adolescents,115.0,105.0,14.61,14-15,14.0,15.0,14.0,,,,,,,,,,3991323.0
28.0,healthy,healthy,adults,17.0,11.0,25.24,20-39,20.0,39.0,25.0,,,,,,,,,,3991323.0
47.0,,healthy,female undergraduate students,0.0,47.0,19.62,17-24,17.0,24.0,19.0,,,,,,,,,,5548834.0
17.0,,patients,children,8.0,9.0,7.4,6.9-7.8,6.0,8.0,7.0,,,,,,,,,,3780305.0
18.0,healthy,healthy,right-handed volunteers,8.0,10.0,22.5,20-25,20.0,25.0,22.0,,,,,,,,,,6344389.0
0.0,,healthy,,,,,,,,,,,,,,,,,,6344389.0
157.0,psychopathy,patients,incarcerated,0.0,157.0,,,,,,,,,,,,,,,4174863.0
46.0,none,healthy,non-incarcerated,0.0,46.0,,,,,,,,,,,,,,,4174863.0
6.0,healthy,healthy,visual task dataset,4.0,2.0,,,,,,,,,,,,,,,5596109.0
10.0,healthy,healthy,test-retest task-related datasets,4.0,6.0,52.5,,50.0,58.0,,,,,,,,,,,5596109.0
25.0,healthy,healthy,test-retest NYU resting-state datasets,,,,,,,,,,,,,,,,,5596109.0
20.0,healthy,healthy,undergraduate and postgraduate students,10.0,10.0,22.3,19-28,19.0,28.0,22.0,,,,,,,,,,7002496.0
20.0,healthy,healthy,typically developing preschool children,10.0,10.0,5.8,5.2-6.8,5.0,7.0,6.0,yes,,,,,,,,,4274095.0
38.0,attention-deficit/hyperactivity disorder,patients,methylphenidate-nave adults,18.0,20.0,40.5,,,,,,,,,,,,,,6347794.0
22.0,Type 2 diabetes mellitus-cognitive impairment,patients,T2DM-CI,,,,,,,,yes,,,,,,,,,7829678.0
31.0,Type 2 diabetes mellitus-NC,patients,T2DM-NC,,,,,,,,yes,,,,,,,,,7829678.0
39.0,HC,healthy,HC,,,,,,,,yes,,,,,,,,,7829678.0
233.0,,patients,,116.0,117.0,16.1,9.9-26.6,9.0,27.0,16.0,,,,,,,,,,5390693.0
117.0,,patients,females,0.0,117.0,,,,,,,,,,,,,,,5390693.0
116.0,,patients,males,116.0,0.0,,,,,,,,,,,,,,,5390693.0
53.0,,patients,adolescents,26.0,27.0,13.37,12.18-14.82,12.0,15.0,13.0,,,,,,,,,,6664004.0
51.0,,patients,adolescents,32.0,25.0,13.98,12.03-15.94,12.0,15.0,14.0,,,,,,,,,,6664004.0
8.0,right-sided cerebral palsy,patients,UCP,3.0,5.0,,,13.0,30.0,,yes,,,,,,,,,6878729.0
34.0,,patients,older adults,14.0,20.0,73.2,56-83,56.0,83.0,73.0,,,,,,,,,,7779563.0
25.0,healthy,healthy,self-reflection,8.0,17.0,,23-41,23.0,41.0,,yes,,,,,,,,,3483694.0
104.0,White matter hyperintensities,patients,mild WMHs,,,,,,,,,,,,,,,,,8315277.0
39.0,White matter hyperintensities,patients,moderate WMHs,,,,,,,,,,,,,,,,,8315277.0
28.0,White matter hyperintensities,patients,severe WMHs,,,,,,,,,,,,,,,,,8315277.0
37.0,healthy controls,healthy,HCs,,,,,,,,,,,,,,,,,8315277.0
28.0,Autism Spectrum Disorder,patients,ASD,,,13.43,10-17,10.0,17.0,,yes,,,,,,,,,5870086.0
58.0,early onsetD,patients,EOD,50.0,8.0,,18-29,18.0,29.0,,yes,,,,,,,,,5598991.0
62.0,later onsetD,patients,LOD,,,,30-44,30.0,44.0,,yes,,,,,,,,,5598991.0
60.0,HC,healthy,young HC,49.0,11.0,,,,,,yes,,,,,,,,,5598991.0
52.0,HC,healthy,old HC,,,,,,,,yes,,,,,,,,,5598991.0
12.0,healthy,healthy,right-handed participants,5.0,7.0,25.8,21-30,21.0,30.0,26.0,,,,,,,,,,7649291.0
21.0,healthy,healthy,right-handed male volunteers,21.0,0.0,25.77,20-40,20.0,40.0,,yes,,,,,,,,,5776089.0
11.0,none,healthy,right-handed observers,8.0,3.0,33.1,25-47,25.0,47.0,33.0,,,,,,,,,,6328158.0
12.0,none,healthy,right-handed adults,6.0,6.0,25.4,20-40,20.0,40.0,,yes,,,,,,,,,2151069.0
12.0,healthy,healthy,healthy volunteers,7.0,5.0,38.0,23-60,23.0,60.0,38.0,,,,,,,,,,4075342.0
13.0,healthy,healthy,healthy subjects,6.0,7.0,28.4,,19.0,45.0,28.0,,,,,,,,,,7430162.0
24.0,healthy,healthy,right-handed participants,12.0,12.0,,,,,,,,,,,,,,,3362560.0
