pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
8883821,schizophrenia,C0036341,schizophrenia,0.9999999403953552,28.0,0,,
8883821,schizophrenia,C0220702,SCHIZOPHRENIA 1,0.9719115495681763,28.0,0,,
8883821,schizophrenia,C1864010,SCHIZOPHRENIA 2,0.9640104174613953,28.0,0,,
8883821,schizophrenia,C1838069,SCHIZOPHRENIA 3,0.95782870054245,28.0,0,,
8883821,schizophrenia,C1864153,SCHIZOPHRENIA 5,0.9558221101760864,28.0,0,,
8883821,autism spectrum disorder,C0524528,Autism spectrum disorder,1.0,20.0,1,,
8883821,autism spectrum disorder,C1510586,Autism spectrum disorder,1.0,20.0,1,,
8883821,autism spectrum disorder,C0004352,Autism disorder,0.8036827445030212,20.0,1,,
8883821,autism spectrum disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7405830025672913,20.0,1,,
8883821,autism spectrum disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.7330023646354675,20.0,1,,
9407088,autism spectrum disorder patients and normal controls,C0524528,Autism spectrum disorder,0.6804090142250061,1112.0,3,,
9407088,autism spectrum disorder patients and normal controls,C1510586,Autism spectrum disorder,0.6804090142250061,1112.0,3,,
9407088,autism spectrum disorder patients and normal controls,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.5926331877708435,1112.0,3,,
9407088,autism spectrum disorder patients and normal controls,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.5809548497200012,1112.0,3,,
9407088,autism spectrum disorder patients and normal controls,C0004352,Autism disorder,0.5468330383300781,1112.0,3,,
8785614,arterial ischemic stroke,C0948008,Ischemic stroke,0.8777574300765991,26.0,5,,
8785614,arterial ischemic stroke,C5680049,Pediatric arterial ischemic stroke,0.8608078956604004,26.0,5,,
8785614,arterial ischemic stroke,C4763940,Non-ischemic Stroke,0.693488597869873,26.0,5,,
8785614,periventricular venous infarction,C5237503,Periventricular,0.6849964261054993,26.0,6,,
8785614,periventricular venous infarction,C0392041,Testicular infarction,0.624754786491394,26.0,6,,
8785614,periventricular venous infarction,C4331000,Periventricular Region,0.6139251589775085,26.0,6,,
8785614,periventricular venous infarction,C0021308,Infarction,0.6011111736297607,26.0,6,,
8785614,periventricular venous infarction,C0018827,ventricular,0.5976987481117249,26.0,6,,
9230060,predatory violence,C0042693,violence,0.680648684501648,7.0,8,,
9230060,predatory violence,C0032942,Predatory Behavior,0.5933613181114197,7.0,8,,
9230060,predatory violence,C0150215,prevention violence,0.580951452255249,7.0,8,,
9230060,predatory violence,C1456721,Teen Violence,0.5256344079971313,7.0,8,,
9230060,predatory violence,C3162149,Violence control,0.5237234234809875,7.0,8,,
9230060,affective violence,C0042693,violence,0.6773481965065002,6.0,9,,
9230060,affective violence,C0013987,affective state,0.6357586979866028,6.0,9,,
9230060,affective violence,C5539408,Affective aura,0.608011782169342,6.0,9,,
