count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,id
50.0,healthy,patients,group 1,25.0,25.0,35.0,20-50,20.0,50.0,30.0,pmid_8799180
40.0,,healthy,group 2,20.0,20.0,45.0,30-60,30.0,60.0,40.0,pmid_8799180
29.0,Unresponsive Wakefulness Syndrome (UWS),patients,,,,,,,,,pmid_24025064
26.0,Minimally Conscious State (MCS),patients,,,,,,,,,pmid_24025064
21.0,,healthy,patients' relatives,,,,,,,,pmid_24025064
92.0,fibromyalgia,patients,,,,,,,,,pmid_25283470
95.0,schizophrenia,patients,,,,,,,,,pmid_25477799
93.0,healthy,controls,,,,,,,,,pmid_25477799
26.0,amyotrophic lateral sclerosis (ALS),patients,,,,,,,,,pmid_21368084
38.0,cocaine-dependent individuals,patients,,,,,,,,,pmid_22391134
38.0,,healthy,,,,,,,,,pmid_22391134
10.0,IBS,patients,,5.0,5.0,40.0,30-50,30.0,50.0,40.0,pmid_16401465
10.0,healthy,controls,,5.0,5.0,45.0,35-55,35.0,55.0,45.0,pmid_16401465
16.0,,healthy,right-handed male,16.0,0.0,,,,,,pmid_11897168
20.0,,healthy,meditation nave,,,,,,,,pmid_28110087
13.0,patients,patients,,,,,,,,,pmid_29326646
13.0,,healthy,,,,,,,,,pmid_29326646
1.0,MDD,patients,adults,0.0,1.0,,,,,,pmid_18579575
1.0,,healthy,unmedicated,0.0,1.0,,,,,,pmid_18579575
1.0,,healthy,acutely medicated,0.0,1.0,,,,,,pmid_18579575
24.0,end-stage renal disease,patients,before HD,,,,,,,,pmid_32601841
27.0,,healthy,,,,,,,,,pmid_32601841
1.0,ischemic stroke,MCAO+EA,,,,,,,,,pmid_32576025
1.0,untreated model,MCAO,,,,,,,,,pmid_32576025
1.0,sham-operated,Sham,,,,,,,,,pmid_32576025
74.0,alcohol-dependent,patients,A allele carriers,,,,,,,,pmid_29058369
43.0,control,controls,C allele homozygous,,,,,,,,pmid_29058369
39.0,,healthy,,,,,,,,,pmid_24790186
35.0,IGA,patients,,,,22.28,,,,,pmid_25260201
36.0,,healthy,,,,22.2,,,,,pmid_25260201
16.0,ALS,patients,,,,,,,,,pmid_17385077
17.0,healthy,controls,,,,,,,,,pmid_17385077
9.0,peripheral lesions,patients,,,,,,,,,pmid_17385077
17.0,,healthy,,,,,,,,,pmid_20053347
15.0,,healthy,control subjects,,,,,,,,pmid_23867077
15.0,unmedicated remitted depressed patients,patients,unmedicated remitted depressed patients,,,,,,,,pmid_23867077
28.0,cannabis-using youth,patients,,,,,,,,,pmid_30768406
32.0,,healthy,,,,,,,,,pmid_30768406
50.0,healthy,patients,group 1,25.0,25.0,35.0,20-50,20.0,50.0,30.0,pmid_15893942
30.0,,healthy,group 2,15.0,15.0,45.0,30-60,30.0,60.0,40.0,pmid_15893942
5.0,healthy,patients,group1,3.0,2.0,35.0,25-45,25.0,45.0,35.0,pmid_1729691
8.0,,healthy,group2,4.0,4.0,42.0,30-55,30.0,55.0,42.0,pmid_1729691
18.0,dyslexic,patients,children,10.0,8.0,11.1,9.7-12.5 years,9.7,12.5,10.9,pmid_19446640
24.0,,healthy,children,12.0,12.0,11.2,9.7-12.5 years,9.7,12.5,11.3,pmid_19446640
23.0,MDD,patients,,,,,,,,,pmid_28910748
25.0,healthy,controls,,,,,,,,,pmid_28910748
20.0,healthy,patients,group 1,10.0,10.0,35.0,25-45,25.0,45.0,30.0,pmid_17893237
15.0,,healthy,group 2,8.0,7.0,42.0,35-50,35.0,50.0,45.0,pmid_17893237
119.0,alcohol-dependent,patients,,,,,,,,,pmid_29225356
97.0,healthy,control,,,,,,,,,pmid_29225356
9.0,DCD,patients,co-occurring DCD and ADHD,,,,,,,,pmid_29655169
20.0,ADHD,patients,,,,,,,,,pmid_29655169
20.0,TD,controls,,,,,,,,,pmid_29655169
19.0,,healthy,,10.0,9.0,,,,,,pmid_31673774
56.0,migraine without aura,patients,infrequent episodic migraine,,,,,,,,pmid_31352647
56.0,migraine without aura,patients,frequent episodic migraine,,,,,,,,pmid_31352647
56.0,migraine without aura,patients,chronic migraine,,,,,,,,pmid_31352647
32.0,,healthy,,,,,,,,,pmid_31352647
27.0,MCI,patients,,,,,,,,,pmid_26167487
35.0,AD,patients,,,,,,,,,pmid_26167487
27.0,,healthy,,,,,,,,,pmid_26167487
