pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
9407088,autism spectrum disorder patients and normal controls,C0524528,Autism spectrum disorder,0.6804090142250061,1112,0,,
9407088,autism spectrum disorder patients and normal controls,C1510586,Autism Spectrum Disorder,0.6804090142250061,1112,0,,
9407088,autism spectrum disorder patients and normal controls,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.5926331877708435,1112,0,,
9407088,autism spectrum disorder patients and normal controls,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.5809548497200012,1112,0,,
9407088,autism spectrum disorder patients and normal controls,C0004352,Autism disorder,0.5468330383300781,1112,0,,
3893192,happy,C0018592,Happy,1.0,26,3,,
3893192,happy,C3827648,Very happy,0.85002201795578,26,3,,
3893192,happy,C4084868,Was Happy,0.8217281103134155,26,3,,
3893192,happy,C4021029,Happy aspect,0.7787055373191833,26,3,,
3893192,happy,C1856115,Happy demeanor,0.711665689945221,26,3,,
3893192,unhappy,C1688635,Unhappy,1.0,25,4,,
3893192,unhappy,C4744614,Very unhappy,0.9032949805259705,25,4,,
3893192,unhappy,C4082799,Feel Unhappy,0.8373746871948242,25,4,,
3893192,unhappy,C4703428,Unhappy demeanor,0.7975078225135803,25,4,,
3893192,unhappy,C3274925,Unhappy With Appearance,0.7541390657424927,25,4,,
3045463,Parkinson's disease,C0030567,DISEASE PARKINSON'S,1.0,21,5,,
3045463,Parkinson's disease,C0030569,parkinson's disease secondary,0.8421570658683777,21,5,,
4416052,social anxiety disorder,C0031572,Social Anxiety Disorder,0.9999999403953552,53,7,,
4416052,social anxiety disorder,C0003469,Anxiety Disorder,0.8727912306785583,53,7,,
4416052,social anxiety disorder,C0424166,social anxiety,0.8707749843597412,53,7,,
4416052,social anxiety disorder,C0236748,organic anxiety disorder,0.7585169672966003,53,7,,
4416052,social anxiety disorder,C3887605,Dream anxiety disorder,0.7502233386039734,53,7,,
3423412,Alzheimer disease,C0002395,Alzheimer Disease,1.0,14,11,,
3423412,Alzheimer disease,C1364818,Alzheimer disease,1.0,14,11,,
3423412,Alzheimer disease,C2931257,Alzheimer disease 1,0.9817905426025391,14,11,,
3423412,Alzheimer disease,C1863051,ALZHEIMER DISEASE 2,0.9765615463256836,14,11,,
3423412,Alzheimer disease,C1418985,Alzheimer disease 3,0.9724722504615784,14,11,,
3423412,mild cognitive impairment,C1270972,Mild cognitive impairment,1.0,8,12,,
3423412,mild cognitive impairment,C0338656,cognitive impairment,0.9036532044410706,8,12,,
3423412,mild cognitive impairment,C3554639,Severe cognitive impairment,0.7969586253166199,8,12,,
4048172,chronic pain,C0150055,chronic pain,1.0,13,14,,
4048172,chronic pain,C1333034,Chronic Cancer Pain,0.8218636512756348,13,14,,
4048172,chronic pain,C0205191,chronic,0.8040075898170471,13,14,,
4048172,chronic pain,C1555457,Chronic,0.8040075898170471,13,14,,
4048172,chronic pain,C1171182,Chronic Pain Control,0.7845293879508972,13,14,,
3492343,none,C0456148,None,0.9999999403953552,58,20,,
3492343,none,C0549184,none,0.9999999403953552,58,20,,
3492343,none,C1546509,none,0.9999999403953552,58,20,,
3492343,none,C1547191,none,0.9999999403953552,58,20,,
3492343,none,C1550083,None,0.9999999403953552,58,20,,
5761874,temporal lobe epilepsy,C0014556,temporal lobe epilepsy,1.0,25,29,,
5761874,temporal lobe epilepsy,C1842564,Familial temporal lobe epilepsy,0.8796684145927429,25,29,,
5761874,temporal lobe epilepsy,C0376532,Centrotemporal epilepsy,0.7735133767127991,25,29,,
5761874,temporal lobe epilepsy,C2363129,Centrotemporal epilepsy,0.7735133767127991,25,29,,
5761874,temporal lobe epilepsy,C4551957,"Epilepsy, Familial Temporal Lobe 1",0.7649961709976196,25,29,,
3510214,mal de debarquement syndrome (mal de debarquement syndrome),C1608983,Mal de debarquement syndrome,0.9612685441970825,20,33,,
3510214,mal de debarquement syndrome (mal de debarquement syndrome),C4509839,Lopes Marques de Faria syndrome,0.5225355625152588,20,33,,
3510214,mal de debarquement syndrome (mal de debarquement syndrome),C0853695,syndrome de,0.5008312463760376,20,33,,
5598991,early onsetD,C5676787,Early fetal onset,0.652745246887207,58,34,,
5598991,early onsetD,C4053907,Early Onset Tylosis,0.6185979247093201,58,34,,
5598991,early onsetD,C1279919,early,0.6181648373603821,58,34,,
5598991,early onsetD,C0151526,Early onset of delivery,0.5975998640060425,58,34,,
