count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid
28,schizophrenia (Sz),patients,schizophrenia,20.0,8.0,,21-54,21,54,,yes,8883821.0
20,autism spectrum disorder (ASD),patients,autism,16.0,4.0,,19-43,19,43,,yes,8883821.0
30,neurotypical,healthy,control,22.0,8.0,,19-54,19,54,,yes,8883821.0
1112,ASD,patients,ABIDE I,,,,,,,,yes,9407088.0
1114,ASD,patients,ABIDE II,,,,,,,,yes,9407088.0
573,normal controls,healthy,ABIDE I,,,,,,,,yes,9407088.0
593,normal controls,healthy,ABIDE II,,,,,,,,yes,9407088.0
26,arterial ischemic stroke (AIS),patients,AIS,,,13.02,6-19,6,19,,yes,8785614.0
26,periventricular venous infarction (PVI),patients,PVI,,,11.93,6-19,6,19,,yes,8785614.0
31,,healthy,controls,,,13.25,6-19,6,19,,yes,8785614.0
7,predatory violence (VP),patients,VP,7.0,0.0,,,,,,yes,9230060.0
6,affective violence (VA),patients,VA,6.0,0.0,,,,,,yes,9230060.0
7,non-violent crime (NV),patients,NV,7.0,0.0,,,,,,yes,9230060.0
20,non-criminal,healthy,HC,20.0,0.0,,,,,,yes,9230060.0
134,typically developing,healthy,5-year-olds,72.0,62.0,5.34,5.08-5.22,5,5,,yes,9108497.0
216,,healthy,young adults with varying levels of early trauma,,,,,,,,yes,8828908.0
167,ADHD,patients,children and adolescents,111.0,56.0,10.74,5-18,5,18,,yes,8782893.0
23,,healthy,MEG Center,,,,,,,,yes,8752963.0
89,,healthy,HCP,44.0,45.0,,22-35,22,35,,yes,8752963.0
1,GNE myopathy with congenital thrombocytopenia,patients,young male patient,1.0,0.0,29.0,29-29,29,29,29,yes,8978988.0
12,LMTLE,patients,LMTLE,,,,,,,,yes,8933759.0
11,RMTLE,patients,RMTLE,,,,,,,,yes,8933759.0
23,,healthy,HC,,,,,,,,yes,8933759.0
38,APOE-4 carriers,patients,APOE,16.0,22.0,49.9,null,,,,yes,9205431.0
38,noncarriers,healthy,NC,16.0,22.0,49.9,null,,,,yes,9205431.0
6,Pontocerebellar Hypoplasia (PCH),patients,PCH patients,4.0,2.0,7.33,4-11,4,11,6,yes,9461104.0
1418,null,healthy,null,546.0,872.0,22.39,null,18,35,,yes,9564100.0
23,,healthy,community-dwelling young men,23.0,0.0,29.9,null,,,,yes,9548384.0
173,TSC,patients,TSC patients,,,,,,,,yes,9308181.0
24,IA,patients,IA,14.0,10.0,20.58,null,,,,no,8939409.0
23,HC,healthy,HC,10.0,13.0,21.13,null,,,,no,8939409.0
16,DLB,patients,DLB,,,,,,,,yes,3984441.0
17,no history of psychiatric or neurological brain disease,healthy,controls,,,,,,,,yes,3984441.0
31,AN,patients,AN,0.0,31.0,,,,,,yes,3913832.0
35,no personal or family history of eating disorders,healthy,HC,0.0,35.0,,,,,,yes,3913832.0
20,,healthy,Dataset 1: Algebra,,,,,,,,yes,4352055.0
19,,healthy,Dataset 2: Multitasking,,,,,,,,yes,4352055.0
20,major depression,patients,primary sample,,,,18-65,18,65,,yes,5416685.0
19,none,healthy,primary sample,,,,18-65,18,65,,yes,5416685.0
19,major depression,patients,validation sample,,,,18-65,18,65,,yes,5416685.0
19,none,healthy,validation sample,,,,18-65,18,65,,yes,5416685.0
20,,healthy,healthy,9.0,11.0,,21-31,21,31,,yes,8837589.0
17,,healthy,healthy,7.0,10.0,,21-31,21,31,,yes,8837589.0
56,none,healthy,healthy controls,30.0,26.0,,,,,,yes,7118554.0
43,MDD,patients,MDD patients,13.0,30.0,,,,,,yes,7118554.0
28,autism spectrum disorder (ASD),patients,ASD,20.0,8.0,14.58,null,,,,yes,8213933.0
27,typically developing (TD),healthy,TD,18.0,9.0,14.49,null,,,,yes,8213933.0
90,"absence of daily cannabis use at any period in their lifetime, as well as an absence of current illicit drug use in the past 60 days",healthy,CON,,,,,,,,yes,7416060.0
