pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
8883821,schizophrenia (schizophrenia),C0036341,schizophrenia,0.9129205942153931,28.0,0,,
8883821,autism spectrum disorder (autism spectrum disorders),C0524528,Autism spectrum disorder,0.9151028394699097,20.0,1,,
8883821,autism spectrum disorder (autism spectrum disorders),C1510586,Autism spectrum disorder,0.9151028394699097,20.0,1,,
8883821,autism spectrum disorder (autism spectrum disorders),C0004352,Autism disorder,0.7178959846496582,20.0,1,,
8883821,autism spectrum disorder (autism spectrum disorders),C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.6777045726776123,20.0,1,,
8883821,autism spectrum disorder (autism spectrum disorders),C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.6707634329795837,20.0,1,,
9407088,autism spectrum disorder,C0524528,Autism spectrum disorder,1.0,1112.0,3,,
9407088,autism spectrum disorder,C1510586,Autism spectrum disorder,1.0,1112.0,3,,
9407088,autism spectrum disorder,C0004352,Autism disorder,0.8036827445030212,1112.0,3,,
9407088,autism spectrum disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7405830025672913,1112.0,3,,
9407088,autism spectrum disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.7330023646354675,1112.0,3,,
9407088,autism spectrum disorder,C0524528,Autism spectrum disorder,1.0,1114.0,5,,
9407088,autism spectrum disorder,C1510586,Autism spectrum disorder,1.0,1114.0,5,,
9407088,autism spectrum disorder,C0004352,Autism disorder,0.8036827445030212,1114.0,5,,
9407088,autism spectrum disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7405830025672913,1114.0,5,,
9407088,autism spectrum disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.7330023646354675,1114.0,5,,
8785614,arterial ischemic stroke (arterial ischemic stroke),C0948008,Ischemic stroke,0.821998119354248,26.0,7,,
8785614,arterial ischemic stroke (arterial ischemic stroke),C5680049,Pediatric arterial ischemic stroke,0.8014748692512512,26.0,7,,
8785614,arterial ischemic stroke (arterial ischemic stroke),C4763940,Non-ischemic Stroke,0.6470802426338196,26.0,7,,
8785614,periventricular venous infarction (periventricular venous infarction),C5237503,Periventricular,0.6566748023033142,26.0,8,,
8785614,periventricular venous infarction (periventricular venous infarction),C0392041,Testicular infarction,0.6058995723724365,26.0,8,,
8785614,periventricular venous infarction (periventricular venous infarction),C0018827,ventricular,0.5865625739097595,26.0,8,,
8785614,periventricular venous infarction (periventricular venous infarction),C1522565,Ventricular,0.5865625739097595,26.0,8,,
8785614,periventricular venous infarction (periventricular venous infarction),C4331000,Periventricular Region,0.5815370678901672,26.0,8,,
9230060,affective violence (VA),C0042693,violence,0.5144426226615906,6.0,11,,
9230060,non-violent crime (non-violence),C5556942,Non-Viable,0.5635234713554382,7.0,12,,
9230060,non-violent crime (non-violence),C1518392,Non-Visceral,0.5578678846359253,7.0,12,,
9230060,non-violent crime (non-violence),C0042693,Violent Crime,0.5523657202720642,7.0,12,,
9230060,non-violent crime (non-violence),C0302535,Non-vital tooth,0.5253719091415405,7.0,12,,
8828908,"no history of genetic psychiatric or neurological illness, psychiatric treatment, or drug or alcohol abuse",C0004936,psychiatric illness,0.6331235766410828,216.0,15,,
8828908,"no history of genetic psychiatric or neurological illness, psychiatric treatment, or drug or alcohol abuse",C0033873,Psychiatric,0.6229697465896606,216.0,15,,
8828908,"no history of genetic psychiatric or neurological illness, psychiatric treatment, or drug or alcohol abuse",C3526598,Psychiatric,0.6229697465896606,216.0,15,,
8828908,"no history of genetic psychiatric or neurological illness, psychiatric treatment, or drug or alcohol abuse",C0017467,Geriatric Psychiatry,0.5468790531158447,216.0,15,,
8828908,"no history of genetic psychiatric or neurological illness, psychiatric treatment, or drug or alcohol abuse",C0242539,Psychiatric Will,0.5411956310272217,216.0,15,,
8782893,attention/deficit hyperactivity disorder,C1263846,Attention Deficit Hyperactivity Disorder,0.8728547692298889,167.0,16,,
8782893,attention/deficit hyperactivity disorder,C0339002,Attention deficit disorder without hyperactivity,0.7822327017784119,167.0,16,,
8978988,GNE myopathy with congenital thrombocytopenia,C0272278,Congenital thrombocytopenia,0.7709707617759705,1.0,19,,
8978988,GNE myopathy with congenital thrombocytopenia,C0040034,THROMBOCYTOPENIA,0.6551616787910461,1.0,19,,
8978988,GNE myopathy with congenital thrombocytopenia,C0392386,Thrombocytopenia,0.6551616787910461,1.0,19,,
8978988,GNE myopathy with congenital thrombocytopenia,C0005818,THROMBOCYTOPATHY,0.649576723575592,1.0,19,,
8978988,GNE myopathy with congenital thrombocytopenia,C3710589,Congenital Myopathy with Caps,0.6420186758041382,1.0,19,,
8933759,left mesial temporal lobe epilepsy with hippocampal sclerosis,C4749367,Mesial temporal lobe epilepsy with hippocampal sclerosis,0.9742648005485535,12.0,20,,
8933759,left mesial temporal lobe epilepsy with hippocampal sclerosis,C1504404,Hippocampal Sclerosis,0.646824061870575,12.0,20,,
8933759,left mesial temporal lobe epilepsy with hippocampal sclerosis,C0014556,temporal lobe epilepsy,0.6350229978561401,12.0,20,,
8933759,left mesial temporal lobe epilepsy with hippocampal sclerosis,C1842564,Familial temporal lobe epilepsy,0.589672327041626,12.0,20,,
8933759,left mesial temporal lobe epilepsy with hippocampal sclerosis,C4749273,Benign familial mesial temporal lobe epilepsy,0.5857443809509277,12.0,20,,
8933759,right mesial temporal lobe epilepsy with hippocampal sclerosis,C4749367,Mesial temporal lobe epilepsy with hippocampal sclerosis,0.967412531375885,11.0,21,,
8933759,right mesial temporal lobe epilepsy with hippocampal sclerosis,C1504404,Hippocampal Sclerosis,0.6422747373580933,11.0,21,,
8933759,right mesial temporal lobe epilepsy with hippocampal sclerosis,C0014556,temporal lobe epilepsy,0.6305567026138306,11.0,21,,
8933759,right mesial temporal lobe epilepsy with hippocampal sclerosis,C1842564,Familial temporal lobe epilepsy,0.5855249762535095,11.0,21,,
8933759,right mesial temporal lobe epilepsy with hippocampal sclerosis,C4749273,Benign familial mesial temporal lobe epilepsy,0.5816246271133423,11.0,21,,
9205431,APOE-4 carriers,C0007294,carriers,0.6121917963027954,38.0,23,,
9205431,APOE-4 carriers,C3888060,Carriers,0.6121917963027954,38.0,23,,
9205431,APOE-4 carriers,C1736727,Dental Carriers,0.5158060193061829,38.0,23,,
9205431,APOE-4 carriers,C0560175,Carrier,0.5092262029647827,38.0,23,,
9205431,APOE-4 carriers,C1325398,carrier,0.5092262029647827,38.0,23,,
9461104,Pontocerebellar Hypoplasia (Pontocerebellar hypoplasia),C0266468,Pontocerebellar Hypoplasia,0.9530061483383179,6.0,25,,
9461104,Pontocerebellar Hypoplasia (Pontocerebellar hypoplasia),C1261175,Pontocerebellar hypoplasia,0.9530061483383179,6.0,25,,
9461104,Pontocerebellar Hypoplasia (Pontocerebellar hypoplasia),C5442006,Pontocerebellar hypoplasia type 1,0.8687232136726379,6.0,25,,
