pmcid,diagnosis,umls_cui,umls_name,umls_prob,count,group_ix,start_char,end_char
8883821,schizophrenia,C0036341,schizophrenia,0.9999999403953552,28,0,,
8883821,schizophrenia,C0220702,SCHIZOPHRENIA 1,0.9719115495681763,28,0,,
8883821,schizophrenia,C1864010,SCHIZOPHRENIA 2,0.9640104174613953,28,0,,
8883821,schizophrenia,C1838069,SCHIZOPHRENIA 3,0.95782870054245,28,0,,
8883821,schizophrenia,C1864153,SCHIZOPHRENIA 5,0.9558221101760864,28,0,,
8883821,autism spectrum disorder,C0524528,Autism spectrum disorder,1.0,20,1,,
8883821,autism spectrum disorder,C1510586,Autism spectrum disorder,1.0,20,1,,
8883821,autism spectrum disorder,C0004352,Autism disorder,0.8036827445030212,20,1,,
8883821,autism spectrum disorder,C4286238,Autism Spectrum Disorder Gene Panel Reagents,0.7405830025672913,20,1,,
8883821,autism spectrum disorder,C4286239,Autism Spectrum Disorder Gene Mutation Reagents,0.7330023646354675,20,1,,
9407088,autism,C0004352,Autism,1.0,1,3,,
9407088,autism,C0004377,automatism,0.6898580193519592,1,3,,
9407088,autism,C0338986,Atypical autism,0.6631691455841064,1,3,,
9407088,autism,C0001889,Akinetic Autism,0.6326832175254822,1,3,,
9407088,autism,C0026884,MUTISM,0.6319591403007507,1,3,,
9407088,autism,C0004352,Autism,1.0,1,4,,
9407088,autism,C0004377,automatism,0.6898580193519592,1,4,,
9407088,autism,C0338986,Atypical autism,0.6631691455841064,1,4,,
9407088,autism,C0001889,Akinetic Autism,0.6326832175254822,1,4,,
9407088,autism,C0026884,MUTISM,0.6319591403007507,1,4,,
9407088,autism,C0004352,Autism,1.0,1,5,,
9407088,autism,C0004377,automatism,0.6898580193519592,1,5,,
9407088,autism,C0338986,Atypical autism,0.6631691455841064,1,5,,
9407088,autism,C0001889,Akinetic Autism,0.6326832175254822,1,5,,
9407088,autism,C0026884,MUTISM,0.6319591403007507,1,5,,
9407088,autism,C0004352,Autism,1.0,1,6,,
9407088,autism,C0004377,automatism,0.6898580193519592,1,6,,
9407088,autism,C0338986,Atypical autism,0.6631691455841064,1,6,,
9407088,autism,C0001889,Akinetic Autism,0.6326832175254822,1,6,,
9407088,autism,C0026884,MUTISM,0.6319591403007507,1,6,,
8785614,arterial ischemic stroke (arterial ischemic stroke),C0948008,Ischemic stroke,0.821998119354248,26,7,,
8785614,arterial ischemic stroke (arterial ischemic stroke),C5680049,Pediatric arterial ischemic stroke,0.8014748692512512,26,7,,
8785614,arterial ischemic stroke (arterial ischemic stroke),C4763940,Non-ischemic Stroke,0.6470802426338196,26,7,,
8785614,periventricular venous infarction (periventricular venous infarction),C5237503,Periventricular,0.6566748023033142,26,8,,
8785614,periventricular venous infarction (periventricular venous infarction),C0392041,Testicular infarction,0.6058995723724365,26,8,,
8785614,periventricular venous infarction (periventricular venous infarction),C0018827,ventricular,0.5865625739097595,26,8,,
8785614,periventricular venous infarction (periventricular venous infarction),C1522565,Ventricular,0.5865625739097595,26,8,,
8785614,periventricular venous infarction (periventricular venous infarction),C4331000,Periventricular Region,0.5815370678901672,26,8,,
9230060,predatory violence,C0042693,violence,0.680648684501648,7,10,,
9230060,predatory violence,C0032942,Predatory Behavior,0.5933613181114197,7,10,,
9230060,predatory violence,C0150215,prevention violence,0.580951452255249,7,10,,
9230060,predatory violence,C1456721,Teen Violence,0.5256344079971313,7,10,,
9230060,predatory violence,C3162149,Violence control,0.5237234234809875,7,10,,
9230060,affective violence,C0042693,violence,0.6773481965065002,6,11,,
9230060,affective violence,C0013987,affective state,0.6357586979866028,6,11,,
9230060,affective violence,C5539408,Affective aura,0.608011782169342,6,11,,
9230060,affective violence,C0871641,Affection,0.6045894622802734,6,11,,
9230060,affective violence,C0001721,affect,0.5836485028266907,6,11,,
9230060,non-violent crime,C0042693,Violent Crime,0.707638680934906,7,12,,
9230060,non-violent crime,C5556942,Non-Viable,0.5387466549873352,7,12,,
9230060,non-violent crime,C1518392,Non-Visceral,0.5333351492881775,7,12,,
9230060,non-violent crime,C0010325,crime,0.505096435546875,7,12,,
9230060,non-violent crime,C0302535,Non-vital tooth,0.5022646188735962,7,12,,
8782893,attention/deficit hyperactivity disorder,C1263846,Attention Deficit Hyperactivity Disorder,0.8728547692298889,167,16,,
8782893,attention/deficit hyperactivity disorder,C0339002,Attention deficit disorder without hyperactivity,0.7822327017784119,167,16,,
8978988,GNE myopathy with congenital thrombocytopenia,C0272278,Congenital thrombocytopenia,0.7709707617759705,1,19,,
8978988,GNE myopathy with congenital thrombocytopenia,C0040034,THROMBOCYTOPENIA,0.6551616787910461,1,19,,
8978988,GNE myopathy with congenital thrombocytopenia,C0392386,Thrombocytopenia,0.6551616787910461,1,19,,
8978988,GNE myopathy with congenital thrombocytopenia,C0005818,thrombocytopathy,0.649576723575592,1,19,,
8978988,GNE myopathy with congenital thrombocytopenia,C3710589,Congenital Myopathy with Caps,0.6420186758041382,1,19,,
8933759,left mesial temporal lobe epilepsy with hippocampal sclerosis,C4749367,Mesial temporal lobe epilepsy with hippocampal sclerosis,0.9742648005485535,12,20,,
8933759,left mesial temporal lobe epilepsy with hippocampal sclerosis,C1504404,Hippocampal Sclerosis,0.646824061870575,12,20,,
8933759,left mesial temporal lobe epilepsy with hippocampal sclerosis,C0014556,temporal lobe epilepsy,0.6350229978561401,12,20,,
8933759,left mesial temporal lobe epilepsy with hippocampal sclerosis,C1842564,Familial temporal lobe epilepsy,0.589672327041626,12,20,,
8933759,left mesial temporal lobe epilepsy with hippocampal sclerosis,C4749273,Benign familial mesial temporal lobe epilepsy,0.5857443809509277,12,20,,
