count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid
1112,ASD patients and normal controls,patients,ASD,,,,,,,,yes,9407088
12,null,healthy,first experiment,6.0,6.0,26.0,,23.0,39.0,26.0,yes,3422286
14,null,healthy,second experiment,7.0,7.0,23.0,,24.0,30.0,23.0,yes,3422286
26,healthy,healthy,happy,6.0,19.0,20.16,19-22,19.0,22.0,20.0,,3893192
25,healthy,patients,unhappy,8.0,17.0,20.36,19-22,19.0,22.0,20.0,,3893192
21,Parkinson's disease,patients,PD,14.0,7.0,67.0,64-75,64.0,75.0,67.0,,3045463
19,healthy,healthy,Control,12.0,7.0,64.6,55-73,55.0,73.0,64.0,,3045463
53,social anxiety disorder,patients,SAD,36.0,17.0,29.9,,18.0,44.0,29.0,,4416052
33,healthy control,healthy,Control,19.0,14.0,29.4,,20.0,40.0,29.0,,4416052
19,null,healthy,adult volunteers,10.0,9.0,22.8,19-31,19.0,31.0,22.0,,3869649
14,AD,patients,AD,4.0,10.0,66.9,58-78,58.0,78.0,67.0,,3423412
8,MCI,patients,MCI,3.0,5.0,66.37,55-78,55.0,78.0,66.0,,3423412
14,healthy,healthy,healthy elders,6.0,8.0,66.07,60-75,60.0,75.0,66.0,,3423412
13,chronic pain,patients,chronic pain group,4.0,9.0,51.8,43-65,43.0,65.0,52.0,,4048172
13,normal,healthy,normal control group,4.0,9.0,48.7,38-62,38.0,62.0,46.0,,4048172
10,healthy,healthy,healthy volunteers,3.0,7.0,39.8,18-50,18.0,50.0,39.0,,2935390
16,healthy,healthy,participants,10.0,6.0,30.1,18-40,18.0,40.0,30.0,,4072722
15,phobic prone,healthy,PP,9.0,6.0,39.2,,,,39.0,,3002948
15,eating disorders prone,healthy,EDP,10.0,5.0,34.4,,,,34.0,,3002948
58,none,patients,right-handed participants,26.0,32.0,24.02,,21.0,29.0,24.0,yes,3492343
15,null,healthy,null,8.0,7.0,,null,,,,yes,2390848
33,healthy,healthy,male,33.0,0.0,23.86,19-32,19.0,32.0,23.0,yes,4380440
21,healthy,healthy,overall,8.0,13.0,24.9,19-30,19.0,30.0,25.0,,5218407
20,healthy,healthy,final analysis,8.0,12.0,25.1,19-30,19.0,30.0,25.0,,5218407
17,healthy,healthy,second analysis,7.0,10.0,25.0,19-30,19.0,30.0,25.0,,5218407
30,healthy,healthy,control,15.0,15.0,25.0,20-30,20.0,30.0,25.0,yes,8699602
25,patients,patients,disease,10.0,15.0,40.0,35-45,35.0,45.0,40.0,yes,8699602
10,null,patients,MLD participants,5.0,5.0,29.5,23-43,23.0,43.0,29.0,yes,3407245
24,healthy,healthy,right-handed participants,12.0,12.0,27.0,20-40,20.0,40.0,27.0,,3362560
23,healthy controls,healthy,HC,15.0,8.0,31.1,19-44,19.0,44.0,31.0,,5761874
25,temporal lobe epilepsy,patients,TLE,13.0,12.0,33.6,20-45,20.0,45.0,33.0,,5761874
15,healthy,healthy,male,15.0,0.0,22.33,20-25,20.0,25.0,22.0,,4838249
0,,healthy,,,,,,,,,,4838249
30,healthy,healthy,control,15.0,15.0,25.0,20-30,20.0,30.0,25.0,yes,10956805
20,null,patients,algebra,,,,null,,,,,4352055
19,null,patients,multitasking,,,,null,,,,,4352055
20,mal de debarquement syndrome (MdDS),patients,MdDS subjects,5.0,15.0,43.4,,27.0,66.0,43.0,,3510214
20,normal controls,healthy,control subjects,,,43.0,,23.0,59.0,,,3510214
58,EOD,patients,EOD,27.0,31.0,23.98,18-29,18.0,29.0,24.0,yes,5598991
62,LOD,patients,LOD,15.0,47.0,36.06,30-44,30.0,44.0,36.0,yes,5598991
20,healthy,healthy,healthy participants,12.0,8.0,24.5,,18.0,30.0,24.0,yes,4477935
25,null,patients,female,0.0,25.0,21.04,null,,,,yes,4975394
20,ALS,patients,ALS patients,13.0,7.0,45.3,,,,,,3447931
20,healthy,healthy,healthy volunteers,14.0,6.0,47.0,,,,,,3447931
18,nicotine-deprived smokers,patients,smokers,18.0,0.0,25.11,,21.0,33.0,25.0,,3409150
15,nonbelievers,patients,nonbelievers,7.0,8.0,21.6,,18.0,30.0,,,2748718
15,Christians,patients,Christians,7.0,8.0,22.0,,18.0,30.0,,,2748718
19,none,patients,right-handers,7.0,12.0,24.7,19-30,19.0,30.0,,yes,2561002
15,none,patients,left-handers,5.0,10.0,26.1,21-35,21.0,35.0,,yes,2561002
21,childhood abuse,patients,Childhood Abuse,15.0,6.0,17.5,13-20,13.0,20.0,17.0,,5104469
19,psychiatric controls,patients,Psychiatric Controls,9.0,10.0,16.9,13-20,13.0,20.0,17.0,,5104469
27,healthy controls,healthy,Healthy Controls,21.0,6.0,17.5,13-20,13.0,20.0,17.0,,5104469
15,healthy,healthy,fMRI participants,8.0,7.0,22.21,20-25,20.0,25.0,22.0,,6195265
11,proficient,patients,proficient,3.0,8.0,28.73,,19.0,46.0,30.0,yes,3554651
10,less proficient,patients,less proficient,3.0,7.0,30.0,,19.0,45.0,30.0,yes,3554651
20,healthy,healthy,typically developing preschool children,,,5.8,5.2-6.8,5.0,7.0,6.0,yes,4274095
37,Parkinson's disease,patients,PD,17.0,20.0,58.68,,,,58.0,,4184784
34,healthy,healthy,HC,22.0,12.0,55.59,,,,55.0,,4184784
24,null,patients,Experiment 1,9.0,15.0,,null,,,,,6016936
10,null,patients,Experiment 2,,,,null,,,,,6016936
44,relapsing-remitting multiple sclerosis,patients,FMS,14.0,30.0,35.9,22-53,22.0,53.0,35.0,,6200185
