count,diagnosis,group_name,subgroup_name,male_count,female_count,age_mean,age_range,age_minimum,age_maximum,age_median,imaging_sample,pmcid,rank,start_char,end_char
31.0,,healthy,,14.0,17.0,27.0,20-40,20.0,40.0,,no,11014977,0,56202,57042
15.0,,healthy,,6.0,9.0,27.87,,,,,no,10984539,0,32464,33011
22.0,,healthy,,0.0,22.0,28.1,20-49,20.0,49.0,,no,10964920,0,8889,9559
20.0,,healthy,,11.0,9.0,36.19,19.6,,,,no,11039764,0,4667,5516
229.0,,healthy,neurotypical Han Chinese,114.0,115.0,21.62,17-29,17.0,29.0,,yes,10980722,0,7476,9267
73.0,,healthy,,29.0,44.0,22.3,18-39,18.0,39.0,,no,10956805,0,9936,11058
54.0,cocaine use disorder,patients,,,,,,,,,no,11035677,0,2922,4844
33.0,low-risk preterm,patients,preterm,,,25.33,20-32,20.0,32.0,,no,10917835,0,5207,6741
29.0,full-term,healthy,full-term,,,26.41,20-32,20.0,32.0,,no,10917835,0,5207,6741
25.0,,healthy,in-person non-smokers,,,,,,,,yes,10854308,0,20010,22512
17.0,nicotine-smoking,patients,in-person smokers,,,,,,,,yes,10854308,0,20010,22512
72.0,nicotine-smoking,patients,online smokers,,,,,,,,no,10854308,0,20010,22512
147.0,,healthy,online non-smokers,,,,,,,,no,10854308,0,20010,22512
13.0,,healthy,"fMRI, MEG, PET",9.0,1.0,24.0,19-29,19.0,29.0,,yes,10839845,0,6376,7755
36.0,major depressive disorder,patients,,10.0,26.0,28.03,null,,,,no,11026377,0,9944,11766
43.0,,healthy,,16.0,27.0,29.42,null,,,,no,11026377,0,9944,11766
31.0,Healthy Control,healthy,HC,,,,,,,,yes,10995093,0,20421,20910
27.0,Unipolar Depression,patients,UD,,,,,,,,yes,10995093,0,20421,20910
21.0,Bipolar Disorder Type I,patients,BD18 Type I,,,,,,,,yes,10995093,0,20421,20910
3.0,Bipolar Disorder Type II,patients,Type II,,,,,,,,yes,10995093,0,20421,20910
1460.0,,healthy,general population,,,,,,,,yes,10853141,1,22237,25997
736.0,depression,patients,depression cohort,,,,,,,,yes,10853141,1,22237,25997
52.0,cardiovascular disease,patients,cardiovascular disease cohort,,,,,,,,yes,10853141,1,22237,25997
